Date,BYKE
2017-01-02,165.15
2017-01-03,167.65
2017-01-04,170.0
2017-01-05,169.95
2017-01-06,172.15
2017-01-09,170.0
2017-01-10,171.75
2017-01-11,170.4
2017-01-12,169.7
2017-01-13,170.05
2017-01-16,169.15
2017-01-17,168.2
2017-01-18,166.6
2017-01-19,167.3
2017-01-20,165.6
2017-01-23,164.35
2017-01-24,165.05
2017-01-25,163.8
2017-01-27,163.2
2017-01-30,163.15
2017-01-31,161.55
2017-02-01,162.0
2017-02-02,163.5
2017-02-03,163.7
2017-02-06,162.95
2017-02-07,160.5
2017-02-08,157.7
2017-02-09,155.8
2017-02-10,155.65
2017-02-13,156.8
2017-02-14,166.7
2017-02-15,173.5
2017-02-16,185.15
2017-02-17,184.7
2017-02-20,180.1
2017-02-21,182.9
2017-02-22,180.15
2017-02-23,178.55
2017-02-27,176.45
2017-02-28,171.3
2017-03-01,167.35
2017-03-02,166.4
2017-03-03,166.25
2017-03-06,169.25
2017-03-07,172.95
2017-03-08,169.95
2017-03-09,169.85
2017-03-10,169.9
2017-03-14,172.45
2017-03-15,169.95
2017-03-16,184.8
2017-03-17,184.65
2017-03-20,185.1
2017-03-21,182.55
2017-03-22,180.55
2017-03-23,181.8
2017-03-24,183.3
2017-03-27,183.45
2017-03-28,184.5
2017-03-29,186.2
2017-03-30,184.05
2017-03-31,185.0
2017-04-03,182.3
2017-04-05,183.9
2017-04-06,182.9
2017-04-07,184.85
2017-04-10,190.9
2017-04-11,198.8
2017-04-12,204.85
2017-04-13,202.6
2017-04-17,208.85
2017-04-18,208.95
2017-04-19,204.1
2017-04-20,200.65
2017-04-21,206.5
2017-04-24,209.45
2017-04-25,209.05
2017-04-26,208.75
2017-04-27,212.05
2017-04-28,213.95
2017-05-02,208.3
2017-05-03,210.7
2017-05-04,211.15
2017-05-05,206.0
2017-05-08,205.25
2017-05-09,204.15
2017-05-10,211.2
2017-05-11,207.35
2017-05-12,206.05
2017-05-15,197.6
2017-05-16,202.4
2017-05-17,200.3
2017-05-18,194.75
2017-05-19,194.85
2017-05-22,194.65
2017-05-23,193.3
2017-05-24,190.35
2017-05-25,191.4
2017-05-26,195.8
2017-05-29,194.4
2017-05-30,190.55
2017-05-31,189.95
2017-06-01,188.35
2017-06-02,189.35
2017-06-05,189.4
2017-06-06,190.4
2017-06-07,190.0
2017-06-08,189.0
2017-06-09,189.6
2017-06-12,190.2
2017-06-13,189.6
2017-06-14,190.0
2017-06-15,189.15
2017-06-16,189.35
2017-06-19,189.95
2017-06-20,191.0
2017-06-21,189.3
2017-06-22,189.5
2017-06-23,185.35
2017-06-27,185.8
2017-06-28,185.05
2017-06-29,185.1
2017-06-30,187.25
2017-07-03,186.85
2017-07-04,188.2
2017-07-05,189.3
2017-07-06,192.75
2017-07-07,193.15
2017-07-10,191.6
2017-07-11,190.2
2017-07-12,191.2
2017-07-13,189.7
2017-07-14,192.6
2017-07-17,191.7
2017-07-18,188.2
2017-07-19,191.1
2017-07-20,188.35
2017-07-21,190.6
2017-07-24,188.9
2017-07-25,190.0
2017-07-26,205.6
2017-07-27,198.0
2017-07-28,202.4
2017-07-31,204.1
2017-08-01,202.05
2017-08-02,202.95
2017-08-03,198.3
2017-08-04,198.7
2017-08-07,199.0
2017-08-08,197.05
2017-08-09,194.65
2017-08-10,190.3
2017-08-11,191.4
2017-08-14,196.55
2017-08-16,193.7
2017-08-17,191.75
2017-08-18,189.65
2017-08-21,188.05
2017-08-22,185.1
2017-08-23,189.65
2017-08-24,185.0
2017-08-28,183.75
2017-08-29,183.4
2017-08-30,185.0
2017-08-31,185.45
2017-09-01,186.0
2017-09-04,185.2
2017-09-05,186.15
2017-09-06,183.25
2017-09-07,184.3
2017-09-08,183.05
2017-09-11,181.6
2017-09-12,181.6
2017-09-13,183.95
2017-09-14,183.3
2017-09-15,183.45
2017-09-18,182.05
2017-09-19,179.25
2017-09-20,173.45
2017-09-21,174.2
2017-09-22,173.3
2017-09-25,168.7
2017-09-26,173.25
2017-09-27,169.0
2017-09-28,171.75
2017-09-29,172.55
2017-10-03,175.5
2017-10-04,174.95
2017-10-05,174.95
2017-10-06,173.85
2017-10-09,171.65
2017-10-10,169.75
2017-10-11,170.4
2017-10-12,171.45
2017-10-13,168.1
2017-10-16,171.15
2017-10-17,168.35
2017-10-18,165.2
2017-10-19,166.6
2017-10-23,166.7
2017-10-24,168.95
2017-10-25,168.25
2017-10-26,164.9
2017-10-27,160.1
2017-10-30,159.4
2017-10-31,157.25
2017-11-01,157.75
2017-11-02,157.25
2017-11-03,156.2
2017-11-06,161.35
2017-11-07,156.9
2017-11-08,153.15
2017-11-09,155.85
2017-11-10,152.4
2017-11-13,157.45
2017-11-14,154.6
2017-11-15,152.4
2017-11-16,153.1
2017-11-17,154.5
2017-11-20,155.25
2017-11-21,154.15
2017-11-22,150.5
2017-11-23,150.9
2017-11-24,151.5
2017-11-27,152.8
2017-11-28,155.15
2017-11-29,167.3
2017-11-30,169.15
2017-12-01,170.3
2017-12-04,170.45
2017-12-05,171.3
2017-12-06,163.65
2017-12-07,163.5
2017-12-08,163.35
2017-12-11,165.9
2017-12-12,166.4
2017-12-13,164.95
2017-12-14,163.15
2017-12-15,166.25
2017-12-18,163.85
2017-12-19,173.3
2017-12-20,171.3
2017-12-21,173.1
2017-12-22,172.85
2017-12-26,179.8
2017-12-27,181.15
2017-12-28,175.35
2017-12-29,174.15
