Date,LICNETFN50
2017-01-03,82.7
2017-01-11,84.8
2017-01-13,85.45
2017-01-16,85.75
2017-01-17,85.85
2017-01-18,85.9
2017-01-19,85.75
2017-01-20,85.65
2017-01-23,85.4
2017-01-24,84.5
2017-01-25,86.35
2017-01-27,86.65
2017-01-30,87.4
2017-01-31,87.4
2017-02-01,87.15
2017-02-02,88.05
2017-02-03,88.65
2017-02-06,88.65
2017-02-07,87.85
2017-02-08,87.75
2017-02-09,87.75
2017-02-10,89.35
2017-02-13,88.05
2017-02-14,89.3
2017-02-15,88.85
2017-02-16,88.8
2017-02-17,104.0
2017-02-20,89.51
2017-02-21,88.9
2017-02-22,89.45
2017-02-23,89.75
2017-02-27,89.2
2017-02-28,90.5
2017-03-01,90.0
2017-03-02,90.5
2017-03-03,88.75
2017-03-06,90.3
2017-03-07,90.0
2017-03-08,90.2
2017-03-09,89.35
2017-03-10,89.5
2017-03-14,90.9
2017-03-15,91.05
2017-03-16,91.6
2017-03-17,92.0
2017-03-20,92.0
2017-03-21,92.75
2017-03-22,91.9
2017-03-23,91.95
2017-03-24,92.65
2017-03-27,91.8
2017-03-28,92.2
2017-03-29,92.55
2017-03-30,91.7
2017-03-31,91.9
2017-04-03,92.83
2017-04-05,93.65
2017-04-06,92.55
2017-04-07,93.0
2017-04-10,93.5
2017-04-11,94.1
2017-04-12,93.3
2017-04-13,93.5
2017-04-17,91.9
2017-04-18,93.8
2017-04-19,92.65
2017-04-20,92.8
2017-04-21,93.0
2017-04-24,92.8
2017-04-25,94.0
2017-04-26,94.8
2017-04-27,94.8
2017-04-28,94.9
2017-05-02,94.3
2017-05-03,93.75
2017-05-04,95.05
2017-05-05,94.95
2017-05-08,94.8
2017-05-09,94.95
2017-05-10,95.45
2017-05-11,95.95
2017-05-12,95.55
2017-05-15,95.9
2017-05-16,96.1
2017-05-17,96.5
2017-05-18,95.05
2017-05-19,96.1
2017-05-22,96.05
2017-05-23,95.5
2017-05-24,95.1
2017-05-25,96.15
2017-05-26,96.3
2017-05-29,96.3
2017-05-30,96.3
2017-05-31,97.3
2017-06-01,97.5
2017-06-02,96.85
2017-06-05,96.95
2017-06-06,97.85
2017-06-07,98.0
2017-06-08,97.9
2017-06-09,97.5
2017-06-12,97.5
2017-06-13,97.6
2017-06-14,97.35
2017-06-15,97.2
2017-06-16,96.08
2017-06-19,96.8
2017-06-20,98.55
2017-06-21,98.0
2017-06-22,98.55
2017-06-23,97.65
2017-06-27,95.85
2017-06-28,96.75
2017-06-29,97.25
2017-06-30,96.7
2017-07-03,97.5
2017-07-04,97.8
2017-07-05,98.1
2017-07-06,97.35
2017-07-07,98.4
2017-07-11,99.6
2017-07-12,99.65
2017-07-13,100.55
2017-07-14,100.45
2017-07-17,101.75
2017-07-18,101.35
2017-07-19,101.3
2017-07-20,101.8
2017-07-21,101.7
2017-07-24,101.75
2017-07-25,102.1
2017-07-26,102.15
2017-07-27,103.05
2017-07-28,101.05
2017-07-31,102.55
2017-08-01,101.9
2017-08-02,101.85
2017-08-03,102.0
2017-08-04,101.8
2017-08-07,101.85
2017-08-08,101.7
2017-08-09,100.3
2017-08-10,99.45
2017-08-11,98.0
2017-08-14,100.1
2017-08-16,99.8
2017-08-17,101.15
2017-08-18,100.37
2017-08-21,100.7
2017-08-22,100.0
2017-08-23,100.15
2017-08-24,99.4
2017-08-28,100.7
2017-08-29,100.35
2017-08-30,99.55
2017-08-31,101.65
2017-09-01,102.5
2017-09-04,102.55
2017-09-05,100.5
2017-09-06,101.95
2017-09-07,102.45
2017-09-08,102.4
2017-09-11,102.75
2017-09-12,103.85
2017-09-13,103.0
2017-09-14,104.1
2017-09-15,103.25
2017-09-18,104.3
2017-09-19,104.3
2017-09-20,104.2
2017-09-21,103.1
2017-09-22,102.95
2017-09-25,101.55
2017-09-26,100.0
2017-09-27,98.55
2017-09-28,99.6
2017-09-29,98.5
2017-10-03,100.0
2017-10-04,101.7
2017-10-05,101.2
2017-10-06,100.8
2017-10-09,102.85
2017-10-10,103.05
2017-10-11,101.0
2017-10-12,102.15
2017-10-13,104.1
2017-10-16,104.65
2017-10-17,105.0
2017-10-18,105.0
2017-10-23,104.5
2017-10-24,104.95
2017-10-25,105.35
2017-10-26,105.95
2017-10-27,105.95
2017-10-30,113.0
2017-10-31,104.35
2017-11-01,106.0
2017-11-02,107.3
2017-11-03,107.65
2017-11-06,105.75
2017-11-07,106.8
2017-11-08,106.0
2017-11-09,104.25
2017-11-10,104.07
2017-11-13,104.05
2017-11-14,103.05
2017-11-15,102.05
2017-11-16,102.8
2017-11-17,105.75
2017-11-20,103.8
2017-11-21,106.3
2017-11-22,106.0
2017-11-23,104.15
2017-11-24,106.75
2017-11-27,106.35
2017-11-28,106.55
2017-11-29,106.55
2017-11-30,103.66
2017-12-01,104.85
2017-12-04,104.5
2017-12-05,101.9
2017-12-06,102.0
2017-12-07,104.15
2017-12-08,105.55
2017-12-11,104.1
2017-12-12,103.6
2017-12-13,105.55
2017-12-14,102.7
2017-12-15,106.9
2017-12-18,106.9
2017-12-19,107.25
2017-12-20,107.65
2017-12-21,107.7
2017-12-22,107.8
2017-12-26,108.05
2017-12-27,108.0
2017-12-28,105.2
2017-12-29,109.5
