Date,LYPSAGEMS
2017-01-02,58.65
2017-01-03,58.85
2017-01-04,62.3
2017-01-05,63.35
2017-01-06,63.25
2017-01-09,55.5
2017-01-10,57.5
2017-01-11,53.65
2017-01-12,57.5
2017-01-13,57.3
2017-01-16,59.7
2017-01-17,59.45
2017-01-18,60.3
2017-01-19,61.95
2017-01-20,61.1
2017-01-23,62.0
2017-01-24,62.05
2017-01-25,64.15
2017-01-27,64.15
2017-01-30,65.0
2017-01-31,64.55
2017-02-01,65.05
2017-02-02,65.15
2017-02-03,65.45
2017-02-06,66.75
2017-02-07,69.8
2017-02-08,69.2
2017-02-09,70.7
2017-02-10,70.9
2017-02-13,68.9
2017-02-14,69.45
2017-02-15,67.95
2017-02-16,68.0
2017-02-17,67.55
2017-02-20,67.9
2017-02-21,69.2
2017-02-22,67.9
2017-02-23,67.7
2017-02-27,67.1
2017-02-28,69.05
2017-03-01,68.6
2017-03-02,67.2
2017-03-03,66.7
2017-03-06,66.3
2017-03-07,65.65
2017-03-08,64.85
2017-03-09,63.85
2017-03-10,63.35
2017-03-14,63.95
2017-03-15,62.45
2017-03-16,63.05
2017-03-17,63.3
2017-03-20,63.75
2017-03-21,64.2
2017-03-22,63.85
2017-03-23,68.8
2017-03-24,70.05
2017-03-27,70.05
2017-03-28,69.2
2017-03-29,66.85
2017-03-30,67.65
2017-03-31,67.9
2017-04-03,67.75
2017-04-05,70.5
2017-04-06,70.95
2017-04-07,70.1
2017-04-10,71.0
2017-04-11,69.7
2017-04-12,68.85
2017-04-13,66.75
2017-04-17,67.9
2017-04-18,66.7
2017-04-19,68.65
2017-04-20,67.05
2017-04-21,68.65
2017-04-24,69.25
2017-04-25,69.8
2017-04-26,67.8
2017-04-27,68.25
2017-04-28,68.25
2017-05-02,66.55
2017-05-03,66.3
2017-05-04,65.7
2017-05-05,64.7
2017-05-08,65.2
2017-05-09,65.15
2017-05-10,65.0
2017-05-11,65.8
2017-05-12,64.45
2017-05-15,64.75
2017-05-16,66.45
2017-05-17,66.5
2017-05-18,66.45
2017-05-19,64.7
2017-05-22,64.75
2017-05-23,64.9
2017-05-24,64.35
2017-05-25,62.95
2017-05-26,65.3
2017-05-29,63.6
2017-05-30,62.95
2017-05-31,62.85
2017-06-01,61.8
2017-06-02,60.5
2017-06-05,60.5
2017-06-06,59.9
2017-06-07,60.5
2017-06-08,60.6
2017-06-09,60.65
2017-06-12,60.6
2017-06-13,60.85
2017-06-14,61.5
2017-06-15,61.9
2017-06-16,61.5
2017-06-19,62.25
2017-06-20,62.1
2017-06-21,63.1
2017-06-22,62.75
2017-06-23,62.1
2017-06-27,62.0
2017-06-28,62.0
2017-06-29,58.5
2017-06-30,59.8
2017-07-03,56.65
2017-07-04,57.05
2017-07-05,58.4
2017-07-06,54.75
2017-07-07,56.7
2017-07-10,57.05
2017-07-11,52.5
2017-07-12,45.0
2017-07-13,44.75
2017-07-14,43.45
2017-07-17,43.0
2017-07-18,44.3
2017-07-19,41.8
2017-07-20,42.2
2017-07-21,41.4
2017-07-24,41.5
2017-07-25,41.6
2017-07-26,41.55
2017-07-27,42.1
2017-07-28,41.7
2017-07-31,42.0
2017-08-01,40.9
2017-08-02,41.75
2017-08-03,41.55
2017-08-04,41.25
2017-08-07,41.05
2017-08-08,40.85
2017-08-09,40.2
2017-08-10,40.5
2017-08-11,39.1
2017-08-14,39.4
2017-08-16,39.1
2017-08-17,39.85
2017-08-18,40.4
2017-08-21,40.8
2017-08-22,41.7
2017-08-23,41.45
2017-08-24,41.5
2017-08-28,40.9
2017-08-29,40.05
2017-08-30,39.8
2017-08-31,39.25
2017-09-01,39.3
2017-09-04,40.5
2017-09-05,39.3
2017-09-06,39.35
2017-09-07,39.3
2017-09-08,39.05
2017-09-11,39.5
2017-09-12,40.35
2017-09-13,39.2
2017-09-14,39.25
2017-09-15,47.1
2017-09-18,50.2
2017-09-19,49.4
2017-09-20,48.1
2017-09-21,46.3
2017-09-22,44.6
2017-09-25,43.2
2017-09-26,45.95
2017-09-27,45.65
2017-09-28,46.55
2017-09-29,47.7
2017-10-03,46.65
2017-10-04,45.55
2017-10-05,43.65
2017-10-06,42.6
2017-10-09,42.9
2017-10-10,41.5
2017-10-11,40.8
2017-10-12,41.15
2017-10-13,40.25
2017-10-16,39.4
2017-10-17,39.05
2017-10-18,38.2
2017-10-19,38.15
2017-10-23,39.05
2017-10-24,38.2
2017-10-25,37.7
2017-10-26,37.9
2017-10-27,37.35
2017-10-30,36.8
2017-10-31,36.2
2017-11-01,35.9
2017-11-02,37.1
2017-11-03,38.15
2017-11-06,39.15
2017-11-07,37.8
2017-11-08,36.95
2017-11-09,36.3
2017-11-10,37.6
2017-11-13,36.7
2017-11-14,35.9
2017-11-15,34.5
2017-11-16,34.8
2017-11-17,34.95
2017-11-20,35.6
2017-11-21,37.65
2017-11-22,37.8
2017-11-23,38.95
2017-11-24,39.7
2017-11-27,41.4
2017-11-28,39.5
2017-11-29,39.65
2017-11-30,40.05
2017-12-01,38.25
2017-12-04,39.05
2017-12-05,39.05
2017-12-06,38.8
2017-12-07,38.75
2017-12-08,37.25
2017-12-11,37.7
2017-12-12,36.85
2017-12-13,36.55
2017-12-14,36.25
2017-12-15,35.9
2017-12-18,36.5
2017-12-19,35.65
2017-12-20,36.0
2017-12-21,35.65
2017-12-22,35.9
2017-12-26,36.95
2017-12-27,41.35
2017-12-28,41.0
2017-12-29,40.15
