Date,JISLDVREQS
2017-01-02,58.7
2017-01-03,59.0
2017-01-04,63.8
2017-01-05,63.2
2017-01-06,62.2
2017-01-09,62.8
2017-01-10,63.1
2017-01-11,65.15
2017-01-12,64.25
2017-01-13,64.0
2017-01-16,63.5
2017-01-17,64.9
2017-01-18,64.75
2017-01-19,64.2
2017-01-20,61.7
2017-01-23,63.3
2017-01-24,63.25
2017-01-25,64.9
2017-01-27,65.7
2017-01-30,63.45
2017-01-31,62.85
2017-02-01,62.55
2017-02-02,62.55
2017-02-03,62.3
2017-02-06,62.1
2017-02-07,61.2
2017-02-08,62.25
2017-02-09,62.2
2017-02-10,62.75
2017-02-13,61.8
2017-02-14,60.8
2017-02-15,59.5
2017-02-16,58.9
2017-02-17,58.45
2017-02-20,58.7
2017-02-21,59.7
2017-02-22,60.0
2017-02-23,60.1
2017-02-27,59.15
2017-02-28,59.6
2017-03-01,60.15
2017-03-02,59.3
2017-03-03,58.55
2017-03-06,58.8
2017-03-07,59.35
2017-03-08,60.0
2017-03-09,59.85
2017-03-10,59.5
2017-03-14,59.75
2017-03-15,59.9
2017-03-16,60.4
2017-03-17,60.95
2017-03-20,60.95
2017-03-21,60.8
2017-03-22,60.1
2017-03-23,60.35
2017-03-24,60.7
2017-03-27,60.4
2017-03-28,60.25
2017-03-29,60.0
2017-03-30,59.95
2017-03-31,60.0
2017-04-03,62.55
2017-04-05,64.7
2017-04-06,64.5
2017-04-07,63.25
2017-04-10,63.85
2017-04-11,64.65
2017-04-12,63.25
2017-04-13,62.7
2017-04-17,63.35
2017-04-18,62.75
2017-04-19,66.05
2017-04-20,68.0
2017-04-21,66.65
2017-04-24,67.65
2017-04-25,70.25
2017-04-26,68.35
2017-04-27,67.2
2017-04-28,66.7
2017-05-02,67.2
2017-05-03,68.1
2017-05-04,67.05
2017-05-05,65.1
2017-05-08,64.7
2017-05-09,64.9
2017-05-10,66.55
2017-05-11,65.45
2017-05-12,63.5
2017-05-15,63.25
2017-05-16,63.65
2017-05-17,64.25
2017-05-18,62.2
2017-05-19,63.35
2017-05-22,62.8
2017-05-23,60.85
2017-05-24,59.35
2017-05-25,63.6
2017-05-26,65.55
2017-05-29,62.6
2017-05-30,63.4
2017-05-31,65.15
2017-06-01,65.4
2017-06-02,68.8
2017-06-05,68.25
2017-06-06,67.9
2017-06-07,68.65
2017-06-08,67.95
2017-06-09,68.5
2017-06-12,67.8
2017-06-13,67.65
2017-06-14,69.9
2017-06-15,68.5
2017-06-16,67.55
2017-06-19,67.65
2017-06-20,70.65
2017-06-21,69.6
2017-06-22,70.3
2017-06-23,67.6
2017-06-27,65.35
2017-06-28,65.75
2017-06-29,66.65
2017-06-30,66.05
2017-07-03,67.35
2017-07-04,67.2
2017-07-05,70.3
2017-07-06,70.8
2017-07-07,70.2
2017-07-10,69.6
2017-07-11,68.5
2017-07-12,67.25
2017-07-13,68.85
2017-07-14,68.35
2017-07-17,67.65
2017-07-18,66.8
2017-07-19,71.55
2017-07-20,70.25
2017-07-21,69.25
2017-07-24,69.45
2017-07-25,69.0
2017-07-26,68.5
2017-07-27,68.65
2017-07-28,67.85
2017-07-31,67.2
2017-08-01,66.65
2017-08-02,67.15
2017-08-03,66.1
2017-08-04,66.0
2017-08-07,66.35
2017-08-08,65.8
2017-08-09,64.85
2017-08-10,61.5
2017-08-11,59.6
2017-08-14,61.7
2017-08-16,62.4
2017-08-17,66.2
2017-08-18,64.2
2017-08-21,63.75
2017-08-22,61.35
2017-08-23,61.75
2017-08-24,62.0
2017-08-28,63.95
2017-08-29,62.1
2017-08-30,62.85
2017-08-31,63.35
2017-09-01,64.05
2017-09-04,61.95
2017-09-05,65.9
2017-09-06,65.45
2017-09-07,65.7
2017-09-08,64.55
2017-09-11,68.5
2017-09-12,66.9
2017-09-13,65.55
2017-09-14,65.85
2017-09-15,65.05
2017-09-18,64.75
2017-09-19,64.6
2017-09-20,66.25
2017-09-21,65.05
2017-09-22,63.4
2017-09-25,62.1
2017-09-26,61.5
2017-09-27,60.65
2017-09-28,59.85
2017-09-29,61.15
2017-10-03,61.15
2017-10-04,62.0
2017-10-05,61.7
2017-10-06,62.2
2017-10-09,63.1
2017-10-10,62.5
2017-10-11,60.35
2017-10-12,60.3
2017-10-13,59.65
2017-10-16,60.0
2017-10-17,62.1
2017-10-18,61.4
2017-10-19,61.7
2017-10-23,60.95
2017-10-24,61.3
2017-10-25,61.05
2017-10-26,61.05
2017-10-27,67.65
2017-10-30,67.4
2017-10-31,68.8
2017-11-01,68.5
2017-11-02,70.6
2017-11-03,76.0
2017-11-06,74.95
2017-11-07,71.65
2017-11-08,69.0
2017-11-09,71.9
2017-11-10,68.75
2017-11-13,68.05
2017-11-14,68.6
2017-11-15,66.55
2017-11-16,72.35
2017-11-17,71.25
2017-11-20,72.7
2017-11-21,73.05
2017-11-22,72.7
2017-11-23,71.5
2017-11-24,71.5
2017-11-27,73.1
2017-11-28,71.6
2017-11-29,71.5
2017-11-30,73.55
2017-12-01,74.3
2017-12-04,72.45
2017-12-05,74.05
2017-12-06,72.7
2017-12-07,72.85
2017-12-08,72.85
2017-12-11,70.75
2017-12-12,70.15
2017-12-13,69.7
2017-12-14,68.85
2017-12-15,70.2
2017-12-18,69.05
2017-12-19,73.95
2017-12-20,75.45
2017-12-21,74.95
2017-12-22,75.1
2017-12-26,76.1
2017-12-27,75.2
2017-12-28,72.35
2017-12-29,76.8
