Date,BLS
2017-01-02,1912.4
2017-01-03,1900.95
2017-01-04,1899.75
2017-01-05,1940.0
2017-01-06,1935.15
2017-01-09,1903.5
2017-01-10,1882.4
2017-01-11,1875.95
2017-01-12,1868.7
2017-01-13,1870.85
2017-01-16,1898.55
2017-01-17,1889.25
2017-01-18,1873.8
2017-01-19,1877.3
2017-01-20,1840.95
2017-01-23,1827.1
2017-01-24,1833.8
2017-01-25,1847.3
2017-01-27,1834.9
2017-01-30,1856.55
2017-01-31,1843.95
2017-02-01,1851.45
2017-02-02,1847.6
2017-02-03,1842.7
2017-02-06,1846.9
2017-02-07,1834.55
2017-02-08,1833.7
2017-02-09,1833.9
2017-02-10,1801.65
2017-02-13,1780.35
2017-02-14,1792.85
2017-02-15,1833.9
2017-02-16,1824.4
2017-02-17,1828.7
2017-02-20,1806.5
2017-02-21,1779.35
2017-02-22,1778.6
2017-02-23,1777.3
2017-02-27,1770.65
2017-02-28,1776.65
2017-03-01,1751.55
2017-03-02,1733.8
2017-03-03,1753.2
2017-03-06,1747.55
2017-03-07,1729.35
2017-03-08,1721.65
2017-03-09,1679.05
2017-03-10,1663.5
2017-03-14,1686.3
2017-03-15,1672.75
2017-03-16,1681.9
2017-03-17,1676.35
2017-03-20,1661.75
2017-03-21,1673.85
2017-03-22,1657.25
2017-03-23,1668.8
2017-03-24,1658.25
2017-03-27,1660.7
2017-03-28,1655.75
2017-03-29,1661.7
2017-03-30,1708.35
2017-03-31,1710.4
2017-04-03,1718.15
2017-04-05,1729.0
2017-04-06,1726.15
2017-04-07,1680.4
2017-04-10,1551.55
2017-04-11,1510.8
2017-04-12,1346.45
2017-04-13,1309.9
2017-04-17,1202.25
2017-04-18,1322.45
2017-04-19,1454.65
2017-04-20,1584.85
2017-04-21,1522.1
2017-04-24,1598.2
2017-04-25,1678.1
2017-04-26,170.4
2017-04-27,162.05
2017-04-28,158.9
2017-05-02,155.4
2017-05-03,163.15
2017-05-04,162.55
2017-05-05,163.55
2017-05-08,171.7
2017-05-09,180.25
2017-05-10,182.6
2017-05-11,191.7
2017-05-12,201.25
2017-05-15,192.75
2017-05-16,191.3
2017-05-17,199.2
2017-05-18,197.15
2017-05-19,199.9
2017-05-22,199.9
2017-05-23,190.0
2017-05-24,182.65
2017-05-25,190.0
2017-05-26,189.8
