Date,ORTEL
2017-01-02,137.9
2017-01-03,137.15
2017-01-04,138.15
2017-01-05,136.25
2017-01-06,139.6
2017-01-09,140.6
2017-01-10,138.1
2017-01-11,137.85
2017-01-12,143.5
2017-01-13,142.6
2017-01-16,141.0
2017-01-17,141.25
2017-01-18,140.1
2017-01-19,143.75
2017-01-20,141.9
2017-01-23,140.15
2017-01-24,137.85
2017-01-25,135.0
2017-01-27,136.15
2017-01-30,134.0
2017-01-31,134.85
2017-02-01,133.1
2017-02-02,133.35
2017-02-03,121.1
2017-02-06,125.6
2017-02-07,120.85
2017-02-08,123.7
2017-02-09,125.3
2017-02-10,124.4
2017-02-13,124.3
2017-02-14,120.5
2017-02-15,116.6
2017-02-16,114.85
2017-02-17,115.25
2017-02-20,113.55
2017-02-21,114.75
2017-02-22,114.05
2017-02-23,115.65
2017-02-27,117.0
2017-02-28,114.1
2017-03-01,112.75
2017-03-02,113.75
2017-03-03,113.0
2017-03-06,113.0
2017-03-07,113.0
2017-03-08,112.1
2017-03-09,112.95
2017-03-10,112.95
2017-03-14,111.75
2017-03-15,110.25
2017-03-16,108.2
2017-03-17,110.15
2017-03-20,110.05
2017-03-21,109.95
2017-03-22,110.25
2017-03-23,111.95
2017-03-24,110.7
2017-03-27,109.05
2017-03-28,115.7
2017-03-29,115.05
2017-03-30,114.15
2017-03-31,114.55
2017-04-03,114.95
2017-04-05,115.3
2017-04-06,114.9
2017-04-07,115.45
2017-04-10,113.75
2017-04-11,112.95
2017-04-12,112.8
2017-04-13,113.0
2017-04-17,113.0
2017-04-18,114.0
2017-04-19,114.05
2017-04-20,114.5
2017-04-21,113.95
2017-04-24,115.35
2017-04-25,114.7
2017-04-26,113.35
2017-04-27,113.2
2017-04-28,110.5
2017-05-02,109.05
2017-05-03,108.0
2017-05-04,108.05
2017-05-05,108.2
2017-05-08,105.8
2017-05-09,107.7
2017-05-10,108.85
2017-05-11,108.5
2017-05-12,109.15
2017-05-15,107.65
2017-05-16,104.6
2017-05-17,104.15
2017-05-18,102.7
2017-05-19,102.05
2017-05-22,93.3
2017-05-23,89.2
2017-05-24,75.7
2017-05-25,78.0
2017-05-26,77.9
2017-05-29,77.6
2017-05-30,78.3
2017-05-31,78.0
2017-06-01,76.8
2017-06-02,77.0
2017-06-05,74.7
2017-06-06,72.15
2017-06-07,70.25
2017-06-08,69.9
2017-06-09,71.9
2017-06-12,67.55
2017-06-13,67.85
2017-06-14,66.2
2017-06-15,67.6
2017-06-16,66.6
2017-06-19,67.85
2017-06-20,68.35
2017-06-21,67.95
2017-06-22,66.0
2017-06-23,68.1
2017-06-27,65.25
2017-06-28,67.4
2017-06-29,66.5
2017-06-30,67.0
2017-07-03,67.4
2017-07-04,69.35
2017-07-05,69.65
2017-07-06,67.95
2017-07-07,67.95
2017-07-10,67.1
2017-07-11,66.9
2017-07-12,65.45
2017-07-13,64.8
2017-07-14,65.7
2017-07-17,65.0
2017-07-18,65.05
2017-07-19,67.05
2017-07-20,65.45
2017-07-21,67.55
2017-07-24,65.95
2017-07-25,64.95
2017-07-26,63.0
2017-07-27,62.85
2017-07-28,59.75
2017-07-31,47.8
2017-08-01,43.05
2017-08-02,38.75
2017-08-03,38.9
2017-08-04,37.9
2017-08-07,36.55
2017-08-08,34.75
2017-08-09,33.05
2017-08-10,31.4
2017-08-11,29.85
2017-08-14,28.55
2017-08-16,27.15
2017-08-17,28.5
2017-08-18,29.9
2017-08-21,31.35
2017-08-22,32.4
2017-08-23,33.5
2017-08-24,34.7
2017-08-28,36.05
2017-08-29,34.4
2017-08-30,34.1
2017-08-31,34.25
2017-09-01,35.6
2017-09-04,35.8
2017-09-05,35.0
2017-09-06,34.3
2017-09-07,32.9
2017-09-08,33.75
2017-09-11,35.4
2017-09-12,37.15
2017-09-13,39.0
2017-09-14,37.9
2017-09-15,37.95
2017-09-18,36.95
2017-09-19,37.35
2017-09-20,37.1
2017-09-21,36.2
2017-09-22,34.4
2017-09-25,33.65
2017-09-26,34.1
2017-09-27,33.05
2017-09-28,32.55
2017-09-29,31.75
2017-10-03,31.6
2017-10-04,32.0
2017-10-05,32.7
2017-10-06,32.85
2017-10-09,32.0
2017-10-10,32.0
2017-10-11,34.1
2017-10-12,33.05
2017-10-13,34.25
2017-10-16,33.1
2017-10-17,33.9
2017-10-18,33.0
2017-10-19,33.75
2017-10-23,33.2
2017-10-24,34.0
2017-10-25,32.8
2017-10-26,34.65
2017-10-27,34.45
2017-10-30,35.45
2017-10-31,33.45
2017-11-01,32.4
2017-11-02,31.25
2017-11-03,30.45
2017-11-06,31.75
2017-11-07,30.7
2017-11-08,30.6
2017-11-09,30.95
2017-11-10,31.95
2017-11-13,31.3
2017-11-14,30.25
2017-11-15,30.15
2017-11-16,29.7
2017-11-17,29.65
2017-11-20,30.5
2017-11-21,31.1
2017-11-22,31.05
2017-11-23,31.1
2017-11-24,34.2
2017-11-27,37.6
2017-11-28,34.8
2017-11-29,31.4
2017-11-30,30.05
2017-12-01,30.75
2017-12-04,30.05
2017-12-05,30.55
2017-12-06,29.55
2017-12-07,29.2
2017-12-08,29.85
2017-12-11,29.9
2017-12-12,29.6
2017-12-13,28.45
2017-12-14,28.9
2017-12-15,29.1
2017-12-18,29.05
2017-12-19,30.2
2017-12-20,31.15
2017-12-21,32.85
2017-12-22,33.85
2017-12-26,33.0
2017-12-27,32.5
2017-12-28,32.9
2017-12-29,33.1
