Date,20MICRONS
2017-01-02,33.85
2017-01-03,33.95
2017-01-04,34.7
2017-01-05,35.55
2017-01-06,34.45
2017-01-09,33.7
2017-01-10,34.3
2017-01-11,37.25
2017-01-12,36.15
2017-01-13,36.25
2017-01-16,40.2
2017-01-17,41.45
2017-01-18,40.65
2017-01-19,41.45
2017-01-20,40.3
2017-01-23,41.55
2017-01-24,41.05
2017-01-25,40.25
2017-01-27,40.2
2017-01-30,38.9
2017-01-31,38.75
2017-02-01,39.7
2017-02-02,40.35
2017-02-03,40.5
2017-02-06,41.4
2017-02-07,40.95
2017-02-08,41.7
2017-02-09,39.25
2017-02-10,38.0
2017-02-13,36.6
2017-02-14,37.35
2017-02-15,36.05
2017-02-16,36.6
2017-02-17,36.75
2017-02-20,36.65
2017-02-21,36.65
2017-02-22,36.55
2017-02-23,35.9
2017-02-27,35.65
2017-02-28,36.05
2017-03-01,37.9
2017-03-02,36.7
2017-03-03,36.0
2017-03-06,36.45
2017-03-07,36.5
2017-03-08,36.45
2017-03-09,36.05
2017-03-10,35.75
2017-03-14,35.75
2017-03-15,35.65
2017-03-16,35.9
2017-03-17,35.4
2017-03-20,34.9
2017-03-21,34.65
2017-03-22,34.15
2017-03-23,34.4
2017-03-24,35.15
2017-03-27,35.15
2017-03-28,35.1
2017-03-29,34.8
2017-03-30,34.8
2017-03-31,35.0
2017-04-03,37.65
2017-04-05,39.0
2017-04-06,40.25
2017-04-07,40.45
2017-04-10,39.5
2017-04-11,40.15
2017-04-12,39.6
2017-04-13,47.5
2017-04-17,44.65
2017-04-18,43.3
2017-04-19,42.95
2017-04-20,43.25
2017-04-21,43.8
2017-04-24,47.0
2017-04-25,46.2
2017-04-26,45.55
2017-04-27,44.8
2017-04-28,43.9
2017-05-02,43.25
2017-05-03,43.0
2017-05-04,43.7
2017-05-05,42.2
2017-05-08,42.5
2017-05-09,42.85
2017-05-10,43.0
2017-05-11,42.65
2017-05-12,41.2
2017-05-15,41.7
2017-05-16,41.7
2017-05-17,40.4
2017-05-18,40.55
2017-05-19,40.1
2017-05-22,40.05
2017-05-23,39.7
2017-05-24,38.45
2017-05-25,39.25
2017-05-26,38.3
2017-05-29,37.3
2017-05-30,36.45
2017-05-31,37.25
2017-06-01,38.15
2017-06-02,38.4
2017-06-05,38.2
2017-06-06,38.4
2017-06-07,38.35
2017-06-08,38.75
2017-06-09,38.9
2017-06-12,41.25
2017-06-13,40.25
2017-06-14,39.75
2017-06-15,40.0
2017-06-16,39.15
2017-06-19,39.1
2017-06-20,38.95
2017-06-21,39.25
2017-06-22,39.0
2017-06-23,38.35
2017-06-27,37.05
2017-06-28,36.85
2017-06-29,38.05
2017-06-30,37.85
2017-07-03,38.0
2017-07-04,38.5
2017-07-05,39.0
2017-07-06,39.0
2017-07-07,39.05
2017-07-10,40.75
2017-07-11,42.35
2017-07-12,41.8
2017-07-13,41.1
2017-07-14,39.75
2017-07-17,39.7
2017-07-18,39.85
2017-07-19,40.0
2017-07-20,39.8
2017-07-21,39.7
2017-07-24,39.1
2017-07-25,39.0
2017-07-26,39.85
2017-07-27,38.65
2017-07-28,38.9
2017-07-31,38.55
2017-08-01,38.5
2017-08-02,37.65
2017-08-03,37.1
2017-08-04,36.7
2017-08-07,36.75
2017-08-08,35.8
2017-08-09,36.0
2017-08-10,34.95
2017-08-11,33.85
2017-08-14,34.6
2017-08-16,34.5
2017-08-17,34.55
2017-08-18,34.3
2017-08-21,33.9
2017-08-22,33.75
2017-08-23,33.7
2017-08-24,34.0
2017-08-28,34.25
2017-08-29,35.65
2017-08-30,36.8
2017-08-31,37.45
2017-09-01,39.15
2017-09-04,39.75
2017-09-05,38.75
2017-09-06,38.5
2017-09-07,38.25
2017-09-08,37.75
2017-09-11,38.05
2017-09-12,38.5
2017-09-13,37.55
2017-09-14,37.3
2017-09-15,38.65
2017-09-18,39.9
2017-09-19,41.5
2017-09-20,41.8
2017-09-21,42.8
2017-09-22,40.1
2017-09-25,38.75
2017-09-26,38.75
2017-09-27,37.25
2017-09-28,37.45
2017-09-29,41.7
2017-10-03,44.0
2017-10-04,42.15
2017-10-05,43.3
2017-10-06,43.8
2017-10-09,42.65
2017-10-10,42.95
2017-10-11,40.85
2017-10-12,41.25
2017-10-13,40.8
2017-10-16,40.5
2017-10-17,39.8
2017-10-18,41.0
2017-10-19,41.35
2017-10-23,41.8
2017-10-24,44.2
2017-10-25,45.9
2017-10-26,52.55
2017-10-27,50.8
2017-10-30,52.7
2017-10-31,51.4
2017-11-01,51.35
2017-11-02,50.15
2017-11-03,48.6
2017-11-06,49.0
2017-11-07,47.35
2017-11-08,45.85
2017-11-09,46.65
2017-11-10,48.05
2017-11-13,49.2
2017-11-14,50.5
2017-11-15,49.1
2017-11-16,49.9
2017-11-17,49.55
2017-11-20,50.85
2017-11-21,52.2
2017-11-22,52.1
2017-11-23,52.05
2017-11-24,51.9
2017-11-27,52.8
2017-11-28,59.4
2017-11-29,59.6
2017-11-30,58.3
2017-12-01,57.7
2017-12-04,55.8
2017-12-05,54.55
2017-12-06,53.6
2017-12-07,55.9
2017-12-08,54.65
2017-12-11,54.9
2017-12-12,54.1
2017-12-13,55.65
2017-12-14,54.45
2017-12-15,56.5
2017-12-18,55.65
2017-12-19,56.8
2017-12-20,58.85
2017-12-21,59.95
2017-12-22,59.1
2017-12-26,62.7
2017-12-27,59.75
2017-12-28,59.6
2017-12-29,58.3
