Date,SILINV
2017-01-02,110.0
2017-01-03,109.5
2017-01-04,114.3
2017-01-05,120.6
2017-01-06,120.3
2017-01-09,122.7
2017-01-10,122.85
2017-01-11,120.8
2017-01-12,123.05
2017-01-13,122.0
2017-01-16,123.25
2017-01-17,123.65
2017-01-18,124.7
2017-01-19,127.75
2017-01-20,125.9
2017-01-23,125.9
2017-01-24,123.1
2017-01-25,128.25
2017-01-27,129.85
2017-01-30,126.0
2017-01-31,125.0
2017-02-01,123.35
2017-02-02,122.35
2017-02-03,125.5
2017-02-06,125.0
2017-02-07,125.0
2017-02-08,125.1
2017-02-09,124.85
2017-02-10,126.0
2017-02-13,124.85
2017-02-14,122.85
2017-02-15,121.15
2017-02-16,122.2
2017-02-17,121.2
2017-02-20,122.5
2017-02-21,122.05
2017-02-22,131.7
2017-02-23,135.35
2017-02-27,162.1
2017-02-28,169.05
2017-03-01,168.95
2017-03-02,161.5
2017-03-03,152.95
2017-03-06,149.0
2017-03-07,146.8
2017-03-08,144.7
2017-03-09,150.85
2017-03-10,151.05
2017-03-14,148.0
2017-03-15,146.05
2017-03-16,147.4
2017-03-17,146.3
2017-03-20,147.45
2017-03-21,147.5
2017-03-22,147.1
2017-03-23,149.85
2017-03-24,146.8
2017-03-27,145.85
2017-03-28,150.1
2017-03-29,149.5
2017-03-30,148.05
2017-03-31,148.85
2017-04-03,152.75
2017-04-05,157.35
2017-04-06,167.1
2017-04-07,168.2
2017-04-10,173.5
2017-04-11,169.7
2017-04-12,166.0
2017-04-13,166.25
2017-04-17,168.25
2017-04-18,165.45
2017-04-19,165.2
2017-04-20,165.5
2017-04-21,166.5
2017-04-24,169.05
2017-04-25,170.0
2017-04-26,171.2
2017-04-27,169.95
2017-04-28,167.6
2017-05-02,171.75
2017-05-03,173.7
2017-05-04,176.4
2017-05-05,173.05
2017-05-08,175.6
2017-05-09,175.95
2017-05-10,186.8
2017-05-11,189.25
2017-05-12,185.5
2017-05-15,182.8
2017-05-16,177.1
2017-05-17,179.15
2017-05-18,175.9
2017-05-19,168.45
2017-05-22,169.7
2017-05-23,163.7
2017-05-24,160.3
2017-05-25,166.05
2017-05-26,172.65
2017-05-29,174.3
2017-05-30,171.4
2017-05-31,174.0
2017-06-01,171.8
2017-06-02,175.45
2017-06-05,171.45
2017-06-06,173.7
2017-06-07,174.95
2017-06-08,175.15
2017-06-09,176.55
2017-06-12,177.25
2017-06-13,176.25
2017-06-14,175.1
2017-06-15,175.5
2017-06-16,176.5
2017-06-19,177.5
2017-06-20,173.95
2017-06-21,175.1
2017-06-22,175.15
2017-06-23,171.55
2017-06-27,169.3
2017-06-28,166.9
2017-06-29,168.2
2017-06-30,171.9
2017-07-03,172.6
2017-07-04,173.85
2017-07-05,172.0
2017-07-06,180.95
2017-07-07,180.55
2017-07-10,179.9
2017-07-11,176.1
2017-07-12,172.9
2017-07-13,173.9
2017-07-14,174.25
2017-07-17,175.85
2017-07-18,176.8
2017-07-19,172.75
2017-07-20,176.0
2017-07-21,173.05
2017-07-24,170.0
2017-07-25,171.75
2017-07-26,170.6
2017-07-27,172.9
2017-07-28,172.25
2017-07-31,170.6
2017-08-01,169.45
2017-08-02,170.3
2017-08-03,168.1
2017-08-04,169.8
2017-08-07,173.2
2017-08-08,171.0
2017-08-09,170.45
2017-08-10,164.9
2017-08-11,158.55
2017-08-14,165.0
2017-08-16,162.0
2017-08-17,170.25
2017-08-18,167.85
2017-08-21,166.0
2017-08-22,162.9
2017-08-23,162.8
2017-08-24,159.95
2017-08-28,159.15
2017-08-29,156.85
2017-08-30,160.75
2017-08-31,161.4
2017-09-01,166.95
2017-09-04,172.15
2017-09-05,175.6
2017-09-06,178.1
2017-09-07,177.7
2017-09-08,180.15
2017-09-11,178.2
2017-09-12,180.65
2017-09-13,179.15
2017-09-14,183.75
2017-09-15,184.65
2017-09-18,187.7
2017-09-19,225.2
2017-09-20,252.05
2017-09-21,232.5
2017-09-22,225.5
2017-09-25,208.55
2017-09-26,203.35
2017-09-27,200.3
2017-09-28,203.6
2017-09-29,204.15
2017-10-03,214.7
2017-10-04,220.65
2017-10-05,218.5
2017-10-06,231.2
2017-10-09,242.85
2017-10-10,239.2
2017-10-11,234.85
2017-10-12,238.85
2017-10-13,248.3
2017-10-16,249.05
2017-10-17,246.1
2017-10-18,295.3
2017-10-19,328.75
2017-10-23,347.55
2017-10-24,340.35
2017-10-25,332.55
2017-10-26,330.0
2017-10-27,321.6
2017-10-30,323.2
2017-10-31,355.5
2017-11-01,372.45
2017-11-02,387.55
2017-11-03,380.75
2017-11-06,363.75
2017-11-07,367.2
2017-11-08,361.2
2017-11-09,362.2
2017-11-10,342.7
2017-11-13,328.95
