Date,VIMTALABS
2017-01-02,103.65
2017-01-03,103.25
2017-01-04,105.1
2017-01-05,107.35
2017-01-06,106.3
2017-01-09,106.6
2017-01-10,112.2
2017-01-11,109.1
2017-01-12,106.75
2017-01-13,111.4
2017-01-16,110.0
2017-01-17,108.2
2017-01-18,106.75
2017-01-19,107.05
2017-01-20,103.3
2017-01-23,105.55
2017-01-24,105.55
2017-01-25,107.4
2017-01-27,108.8
2017-01-30,105.75
2017-01-31,104.7
2017-02-01,105.55
2017-02-02,106.4
2017-02-03,106.15
2017-02-06,106.3
2017-02-07,105.65
2017-02-08,105.85
2017-02-09,109.7
2017-02-10,108.5
2017-02-13,112.55
2017-02-14,111.1
2017-02-15,108.3
2017-02-16,108.05
2017-02-17,108.65
2017-02-20,110.4
2017-02-21,109.45
2017-02-22,109.3
2017-02-23,107.05
2017-02-27,109.85
2017-02-28,112.35
2017-03-01,116.4
2017-03-02,112.7
2017-03-03,112.05
2017-03-06,113.45
2017-03-07,111.25
2017-03-08,110.5
2017-03-09,109.6
2017-03-10,108.5
2017-03-14,108.75
2017-03-15,112.5
2017-03-16,111.35
2017-03-17,110.7
2017-03-20,110.65
2017-03-21,110.1
2017-03-22,109.45
2017-03-23,109.15
2017-03-24,109.15
2017-03-27,108.65
2017-03-28,109.4
2017-03-29,108.5
2017-03-30,110.4
2017-03-31,110.5
2017-04-03,113.25
2017-04-05,122.15
2017-04-06,124.1
2017-04-07,120.1
2017-04-10,118.45
2017-04-11,126.85
2017-04-12,124.35
2017-04-13,130.55
2017-04-17,130.6
2017-04-18,126.35
2017-04-19,135.95
2017-04-20,134.2
2017-04-21,129.5
2017-04-24,126.6
2017-04-25,124.65
2017-04-26,122.45
2017-04-27,121.25
2017-04-28,123.8
2017-05-02,124.7
2017-05-03,125.25
2017-05-04,127.65
2017-05-05,126.7
2017-05-08,127.3
2017-05-09,125.85
2017-05-10,128.85
2017-05-11,126.1
2017-05-12,126.3
2017-05-15,129.1
2017-05-16,125.3
2017-05-17,124.4
2017-05-18,121.25
2017-05-19,121.8
2017-05-22,121.8
2017-05-23,117.1
2017-05-24,116.45
2017-05-25,119.9
2017-05-26,119.45
2017-05-29,119.0
2017-05-30,119.1
2017-05-31,120.9
2017-06-01,120.1
2017-06-02,120.7
2017-06-05,120.65
2017-06-06,120.1
2017-06-07,120.75
2017-06-08,119.25
2017-06-09,120.35
2017-06-12,118.6
2017-06-13,119.25
2017-06-14,117.95
2017-06-15,118.25
2017-06-16,121.45
2017-06-19,124.2
2017-06-20,127.3
2017-06-21,129.8
2017-06-22,131.1
2017-06-23,136.35
2017-06-27,140.95
2017-06-28,140.35
2017-06-29,140.95
2017-06-30,140.45
2017-07-03,146.2
2017-07-04,144.85
2017-07-05,143.25
2017-07-06,141.5
2017-07-07,141.55
2017-07-10,141.0
2017-07-11,141.5
2017-07-12,156.4
2017-07-13,155.85
2017-07-14,150.85
2017-07-17,147.5
2017-07-18,147.95
2017-07-19,145.75
2017-07-20,156.2
2017-07-21,152.85
2017-07-24,151.2
2017-07-25,149.8
2017-07-26,150.05
2017-07-27,145.35
2017-07-28,145.9
2017-07-31,150.7
2017-08-01,146.55
2017-08-02,142.75
2017-08-03,138.1
2017-08-04,135.6
2017-08-07,139.85
2017-08-08,137.0
2017-08-09,136.1
2017-08-10,130.35
2017-08-11,134.4
2017-08-14,129.95
2017-08-16,133.9
2017-08-17,130.1
2017-08-18,130.0
2017-08-21,129.45
2017-08-22,130.2
2017-08-23,130.45
2017-08-24,130.1
2017-08-28,130.95
2017-08-29,130.0
2017-08-30,130.05
2017-08-31,130.05
2017-09-01,132.55
2017-09-04,130.7
2017-09-05,138.0
2017-09-06,133.65
2017-09-07,136.2
2017-09-08,134.9
2017-09-11,133.05
2017-09-12,132.15
2017-09-13,130.15
2017-09-14,131.15
2017-09-15,131.1
2017-09-18,130.95
2017-09-19,129.3
2017-09-20,135.75
2017-09-21,138.4
2017-09-22,131.4
2017-09-25,129.55
2017-09-26,133.25
2017-09-27,127.2
2017-09-28,129.15
2017-09-29,129.6
2017-10-03,128.95
2017-10-04,136.75
2017-10-05,131.7
2017-10-06,131.6
2017-10-09,131.3
2017-10-10,130.35
2017-10-11,129.7
2017-10-12,127.75
2017-10-13,130.4
2017-10-16,128.4
2017-10-17,129.0
2017-10-18,127.35
2017-10-19,127.95
2017-10-23,127.6
2017-10-24,127.4
2017-10-25,127.05
2017-10-26,126.15
2017-10-27,128.5
2017-10-30,132.55
2017-10-31,130.6
2017-11-01,130.1
2017-11-02,137.35
2017-11-03,135.85
2017-11-06,136.35
2017-11-07,133.05
2017-11-08,131.75
2017-11-09,132.2
2017-11-10,130.45
2017-11-13,130.15
2017-11-14,131.15
2017-11-15,129.85
2017-11-16,130.35
2017-11-17,129.9
2017-11-20,132.25
2017-11-21,134.7
2017-11-22,132.15
2017-11-23,132.15
2017-11-24,134.9
2017-11-27,135.8
2017-11-28,136.95
2017-11-29,135.9
2017-11-30,136.05
2017-12-01,163.25
2017-12-04,160.0
2017-12-05,162.5
2017-12-06,161.25
2017-12-07,162.45
2017-12-08,165.6
2017-12-11,157.15
2017-12-12,152.95
2017-12-13,149.7
2017-12-14,148.95
2017-12-15,164.8
2017-12-18,165.2
2017-12-19,172.2
2017-12-20,175.9
2017-12-21,176.8
2017-12-22,173.45
2017-12-26,175.7
2017-12-27,167.8
2017-12-28,172.55
2017-12-29,168.0
