Date,RKDL
2017-01-02,11.1
2017-01-03,11.15
2017-01-04,11.1
2017-01-05,11.8
2017-01-06,11.4
2017-01-09,11.3
2017-01-10,11.0
2017-01-11,10.95
2017-01-12,10.85
2017-01-13,10.75
2017-01-16,11.0
2017-01-17,11.3
2017-01-18,11.2
2017-01-19,11.05
2017-01-20,10.8
2017-01-23,10.9
2017-01-24,10.75
2017-01-25,10.9
2017-01-27,10.85
2017-01-30,10.55
2017-01-31,10.6
2017-02-01,10.9
2017-02-02,10.8
2017-02-03,10.7
2017-02-06,11.05
2017-02-07,11.25
2017-02-08,11.4
2017-02-09,11.9
2017-02-10,11.85
2017-02-13,11.8
2017-02-14,11.3
2017-02-15,11.0
2017-02-16,10.65
2017-02-17,10.8
2017-02-20,10.95
2017-02-21,11.45
2017-02-22,11.35
2017-02-23,12.95
2017-02-27,12.45
2017-02-28,11.9
2017-03-01,11.75
2017-03-02,11.8
2017-03-03,12.05
2017-03-06,11.9
2017-03-07,11.9
2017-03-08,11.85
2017-03-09,11.65
2017-03-10,11.45
2017-03-14,11.55
2017-03-15,12.1
2017-03-16,11.9
2017-03-17,11.85
2017-03-20,11.65
2017-03-21,11.55
2017-03-22,11.25
2017-03-23,11.35
2017-03-24,11.35
2017-03-27,11.65
2017-03-28,11.6
2017-03-29,11.4
2017-03-30,11.2
2017-03-31,11.6
2017-04-03,11.1
2017-04-05,11.15
2017-04-06,10.95
2017-04-07,11.0
2017-04-10,11.1
2017-04-11,10.65
2017-04-12,10.55
2017-04-13,10.55
2017-04-17,10.35
2017-04-18,10.05
2017-04-19,10.55
2017-04-20,10.05
2017-04-21,10.4
2017-04-24,10.25
2017-04-25,11.4
2017-04-26,13.65
2017-04-27,14.65
2017-04-28,13.2
2017-05-02,11.9
2017-05-03,11.45
2017-05-04,11.55
2017-05-05,11.05
2017-05-08,11.1
2017-05-09,11.0
2017-05-10,11.15
2017-05-11,11.1
2017-05-12,10.9
2017-05-15,10.9
2017-05-16,10.85
2017-05-17,10.85
2017-05-18,10.85
2017-05-19,10.75
2017-05-22,10.6
2017-05-23,10.65
2017-05-24,10.3
2017-05-25,10.15
2017-05-26,10.15
2017-05-29,10.0
2017-05-30,9.95
2017-05-31,9.75
2017-06-01,10.05
2017-06-02,9.95
2017-06-05,9.85
2017-06-06,9.7
2017-06-07,9.65
2017-06-08,9.8
2017-06-09,10.75
2017-06-12,10.0
2017-06-13,9.9
2017-06-14,9.95
2017-06-15,10.1
2017-06-16,10.0
2017-06-19,9.9
2017-06-20,9.95
2017-06-21,9.9
2017-06-22,10.05
2017-06-23,9.6
2017-06-27,9.7
2017-06-28,9.55
2017-06-29,9.55
2017-06-30,9.65
2017-07-03,9.75
2017-07-04,10.0
2017-07-05,10.0
2017-07-06,10.05
2017-07-07,9.8
2017-07-10,9.95
2017-07-11,9.8
2017-07-12,10.0
2017-07-13,10.0
2017-07-14,9.7
2017-07-17,9.8
2017-07-18,9.5
2017-07-19,9.5
2017-07-20,9.5
2017-07-21,9.35
2017-07-24,9.4
2017-07-25,9.3
2017-07-26,9.1
2017-07-27,9.1
2017-07-28,9.1
2017-07-31,9.2
2017-08-01,9.15
2017-08-02,9.15
2017-08-03,9.0
2017-08-04,9.05
2017-08-07,9.2
2017-08-08,8.9
2017-08-09,8.95
2017-08-10,8.3
2017-08-11,8.4
2017-08-14,8.5
2017-08-16,8.6
2017-08-17,8.7
2017-08-18,8.65
2017-08-21,8.8
2017-08-22,8.7
2017-08-23,8.7
2017-08-24,9.05
2017-08-28,9.35
2017-08-29,9.15
2017-08-30,9.45
2017-08-31,9.1
2017-09-01,9.35
2017-09-04,9.05
2017-09-05,9.25
2017-09-06,9.05
2017-09-07,9.25
2017-09-08,9.4
2017-09-11,9.5
2017-09-12,9.25
2017-09-13,9.1
2017-09-14,8.95
2017-09-15,8.85
2017-09-18,9.05
2017-09-19,9.1
2017-09-20,9.05
2017-09-21,9.0
2017-09-22,8.9
2017-09-25,8.7
2017-09-26,8.95
2017-09-27,8.75
2017-09-28,8.75
2017-09-29,9.0
2017-10-03,9.05
2017-10-04,8.8
2017-10-05,8.9
2017-10-06,8.95
2017-10-09,8.95
2017-10-10,9.5
2017-10-11,11.4
2017-10-12,13.1
2017-10-13,12.0
2017-10-16,11.75
2017-10-17,12.05
2017-10-18,11.6
2017-10-19,12.3
2017-10-23,11.85
2017-10-24,11.6
2017-10-25,11.4
