Date,DLINKINDIA
2017-01-02,116.1
2017-01-03,118.7
2017-01-04,118.55
2017-01-05,121.25
2017-01-06,118.4
2017-01-09,117.8
2017-01-10,116.55
2017-01-11,117.6
2017-01-12,115.8
2017-01-13,113.95
2017-01-16,115.65
2017-01-17,117.35
2017-01-18,116.55
2017-01-19,115.45
2017-01-20,112.25
2017-01-23,125.45
2017-01-24,124.85
2017-01-25,126.3
2017-01-27,125.7
2017-01-30,122.85
2017-01-31,120.5
2017-02-01,122.45
2017-02-02,120.45
2017-02-03,120.1
2017-02-06,119.55
2017-02-07,117.85
2017-02-08,120.1
2017-02-09,116.55
2017-02-10,121.4
2017-02-13,129.15
2017-02-14,127.9
2017-02-15,124.75
2017-02-16,129.2
2017-02-17,129.35
2017-02-20,127.1
2017-02-21,126.0
2017-02-22,125.35
2017-02-23,123.3
2017-02-27,124.1
2017-02-28,123.95
2017-03-01,141.7
2017-03-02,132.2
2017-03-03,140.0
2017-03-06,140.3
2017-03-07,143.75
2017-03-08,141.8
2017-03-09,139.4
2017-03-10,136.45
2017-03-14,138.6
2017-03-15,137.0
2017-03-16,141.95
2017-03-17,139.7
2017-03-20,142.05
2017-03-21,138.25
2017-03-22,139.15
2017-03-23,139.15
2017-03-24,138.9
2017-03-27,139.75
2017-03-28,141.3
2017-03-29,140.4
2017-03-30,139.7
2017-03-31,139.6
2017-04-03,140.65
2017-04-05,142.0
2017-04-06,146.85
2017-04-07,147.0
2017-04-10,149.65
2017-04-11,149.6
2017-04-12,147.05
2017-04-13,145.4
2017-04-17,143.65
2017-04-18,138.15
2017-04-19,136.7
2017-04-20,142.35
2017-04-21,141.9
2017-04-24,142.05
2017-04-25,148.45
2017-04-26,144.0
2017-04-27,141.95
2017-04-28,142.35
2017-05-02,142.05
2017-05-03,140.9
2017-05-04,144.25
2017-05-05,142.05
2017-05-08,142.55
2017-05-09,142.7
2017-05-10,141.95
2017-05-11,147.2
2017-05-12,143.05
2017-05-15,114.45
2017-05-16,104.55
2017-05-17,107.1
2017-05-18,108.95
2017-05-19,109.7
2017-05-22,108.95
2017-05-23,101.6
2017-05-24,101.65
2017-05-25,102.7
2017-05-26,102.95
2017-05-29,101.95
2017-05-30,100.9
2017-05-31,101.65
2017-06-01,101.55
2017-06-02,101.45
2017-06-05,100.95
2017-06-06,99.15
2017-06-07,94.25
2017-06-08,93.3
2017-06-09,90.85
2017-06-12,92.1
2017-06-13,91.5
2017-06-14,90.4
2017-06-15,93.25
2017-06-16,96.8
2017-06-19,98.85
2017-06-20,102.95
2017-06-21,104.5
2017-06-22,103.6
2017-06-23,99.85
2017-06-27,96.6
2017-06-28,96.9
2017-06-29,96.6
2017-06-30,98.9
2017-07-03,99.1
2017-07-04,100.05
2017-07-05,102.25
2017-07-06,102.3
2017-07-07,104.8
2017-07-10,103.65
2017-07-11,101.7
2017-07-12,103.65
2017-07-13,105.15
2017-07-14,103.05
2017-07-17,102.55
2017-07-18,103.55
2017-07-19,103.75
2017-07-20,107.1
2017-07-21,106.6
2017-07-24,105.3
2017-07-25,104.05
2017-07-26,103.65
2017-07-27,102.4
2017-07-28,102.2
2017-07-31,101.7
2017-08-01,101.2
2017-08-02,99.8
2017-08-03,98.2
2017-08-04,99.25
2017-08-07,99.4
2017-08-08,97.75
2017-08-09,96.55
2017-08-10,90.1
2017-08-11,89.9
2017-08-14,92.35
2017-08-16,93.8
2017-08-17,94.15
2017-08-18,93.9
2017-08-21,91.85
2017-08-22,90.05
2017-08-23,90.9
2017-08-24,91.9
2017-08-28,92.6
2017-08-29,91.15
2017-08-30,91.45
2017-08-31,95.65
2017-09-01,97.15
2017-09-04,90.2
2017-09-05,94.1
2017-09-06,95.15
2017-09-07,95.4
2017-09-08,95.6
2017-09-11,95.2
2017-09-12,98.15
2017-09-13,95.8
2017-09-14,97.45
2017-09-15,101.35
2017-09-18,107.9
2017-09-19,105.95
2017-09-20,113.55
2017-09-21,114.85
2017-09-22,108.05
2017-09-25,104.1
2017-09-26,106.85
2017-09-27,102.6
2017-09-28,107.85
2017-09-29,105.35
2017-10-03,107.7
2017-10-04,110.55
2017-10-05,122.2
2017-10-06,120.2
2017-10-09,116.95
2017-10-10,125.75
2017-10-11,121.25
2017-10-12,120.9
2017-10-13,123.45
2017-10-16,123.15
2017-10-17,125.6
2017-10-18,123.1
2017-10-19,120.3
2017-10-23,118.9
2017-10-24,119.6
2017-10-25,117.85
2017-10-26,122.1
2017-10-27,121.95
2017-10-30,124.1
2017-10-31,122.2
2017-11-01,119.15
2017-11-02,134.1
2017-11-03,130.25
2017-11-06,126.8
2017-11-07,123.7
2017-11-08,121.35
2017-11-09,124.3
2017-11-10,118.65
2017-11-13,118.3
2017-11-14,116.95
2017-11-15,111.95
2017-11-16,123.4
2017-11-17,123.55
2017-11-20,123.65
2017-11-21,122.35
2017-11-22,121.1
2017-11-23,130.0
2017-11-24,132.15
2017-11-27,130.45
2017-11-28,134.2
2017-11-29,131.3
2017-11-30,128.55
2017-12-01,126.4
2017-12-04,130.4
2017-12-05,126.1
2017-12-06,125.3
2017-12-07,126.95
2017-12-08,126.15
2017-12-11,127.05
2017-12-12,126.15
2017-12-13,123.8
2017-12-14,126.75
2017-12-15,128.25
2017-12-18,125.05
2017-12-19,126.7
2017-12-20,129.55
2017-12-21,127.8
2017-12-22,131.3
2017-12-26,128.45
2017-12-27,127.2
2017-12-28,127.0
2017-12-29,126.8
