Date,GSCLCEMENT
2017-01-02,25.7
2017-01-03,25.8
2017-01-04,25.4
2017-01-05,25.85
2017-01-06,25.85
2017-01-09,25.85
2017-01-10,25.65
2017-01-11,25.85
2017-01-12,26.5
2017-01-13,26.0
2017-01-16,25.8
2017-01-17,25.85
2017-01-18,26.15
2017-01-19,26.2
2017-01-20,25.85
2017-01-23,25.6
2017-01-24,26.0
2017-01-25,25.9
2017-01-27,26.0
2017-01-30,25.9
2017-01-31,25.4
2017-02-01,26.3
2017-02-02,26.6
2017-02-03,26.85
2017-02-06,27.65
2017-02-07,27.95
2017-02-08,27.6
2017-02-09,27.55
2017-02-10,27.05
2017-02-13,27.5
2017-02-14,27.45
2017-02-15,26.55
2017-02-16,26.5
2017-02-17,26.15
2017-02-20,26.05
2017-02-21,26.35
2017-02-22,26.55
2017-02-23,26.75
2017-02-27,26.75
2017-02-28,26.65
2017-03-01,27.4
2017-03-02,27.5
2017-03-03,27.85
2017-03-06,26.85
2017-03-07,26.3
2017-03-08,26.15
2017-03-09,25.85
2017-03-10,25.85
2017-03-14,26.25
2017-03-15,26.65
2017-03-16,27.1
2017-03-17,27.0
2017-03-20,26.9
2017-03-21,26.8
2017-03-22,26.35
2017-03-23,26.55
2017-03-24,26.55
2017-03-27,26.25
2017-03-28,26.6
2017-03-29,26.4
2017-03-30,26.5
2017-03-31,26.8
2017-04-03,28.05
2017-04-05,28.5
2017-04-06,28.9
2017-04-07,28.4
2017-04-10,28.8
2017-04-11,28.7
2017-04-12,28.5
2017-04-13,28.4
2017-04-17,29.85
2017-04-18,31.3
2017-04-19,30.9
2017-04-20,33.55
2017-04-21,32.65
2017-04-24,33.9
2017-04-25,33.0
2017-04-26,32.2
2017-04-27,32.75
2017-04-28,32.15
2017-05-02,31.6
2017-05-03,31.65
2017-05-04,31.4
2017-05-05,30.25
2017-05-08,31.4
2017-05-09,31.75
2017-05-10,30.95
2017-05-11,31.15
2017-05-12,30.1
2017-05-15,30.45
2017-05-16,32.0
2017-05-17,31.15
2017-05-18,30.5
2017-05-19,30.05
2017-05-22,29.5
2017-05-23,29.1
2017-05-24,28.3
2017-05-25,27.75
2017-05-26,27.85
2017-05-29,27.0
2017-05-30,26.9
2017-05-31,27.05
2017-06-01,27.05
2017-06-02,27.0
2017-06-05,26.85
2017-06-06,26.8
2017-06-07,26.45
2017-06-08,27.25
2017-06-09,26.75
2017-06-12,26.75
2017-06-13,26.95
2017-06-14,26.7
2017-06-15,26.6
2017-06-16,26.85
2017-06-19,26.4
2017-06-20,26.2
2017-06-21,26.75
2017-06-22,27.1
2017-06-23,26.8
2017-06-27,26.55
2017-06-28,26.4
2017-06-29,26.75
2017-06-30,26.55
2017-07-03,27.75
2017-07-04,27.7
2017-07-05,27.85
2017-07-06,28.25
2017-07-07,29.0
2017-07-10,28.45
2017-07-11,28.45
2017-07-12,28.25
2017-07-13,28.55
2017-07-14,28.1
2017-07-17,28.15
2017-07-18,27.85
2017-07-19,28.65
2017-07-20,28.45
2017-07-21,27.95
2017-07-24,28.0
2017-07-25,29.5
2017-07-26,28.7
2017-07-27,27.9
2017-07-28,27.65
2017-07-31,27.35
2017-08-01,27.35
2017-08-02,27.4
2017-08-03,27.2
2017-08-04,26.95
2017-08-07,27.1
2017-08-08,26.45
2017-08-09,26.1
2017-08-10,25.4
2017-08-11,24.35
2017-08-14,24.9
2017-08-16,25.5
2017-08-17,25.25
2017-08-18,24.8
2017-08-21,24.1
2017-08-22,24.25
2017-08-23,24.25
2017-08-24,24.05
2017-08-28,24.5
2017-08-29,24.55
2017-08-30,25.2
2017-08-31,25.75
2017-09-01,26.9
2017-09-04,26.85
2017-09-05,28.05
2017-09-06,27.85
2017-09-07,28.2
2017-09-08,27.65
2017-09-11,27.25
2017-09-12,27.4
2017-09-13,27.55
2017-09-14,31.05
2017-09-15,30.1
2017-09-18,34.6
2017-09-19,33.65
2017-09-20,38.4
2017-09-21,38.8
2017-09-22,36.6
2017-09-25,35.35
2017-09-26,35.7
2017-09-27,33.7
2017-11-14,33.2
2017-11-15,31.75
2017-11-16,33.3
2017-11-17,34.95
2017-11-20,34.55
2017-11-21,33.4
2017-11-22,35.05
2017-11-23,36.15
2017-11-24,35.45
2017-11-27,35.25
2017-11-28,34.95
2017-11-29,34.45
2017-11-30,34.1
2017-12-01,35.0
2017-12-04,34.6
2017-12-05,33.85
2017-12-06,34.5
2017-12-07,33.4
2017-12-08,33.9
2017-12-11,33.95
2017-12-12,33.75
2017-12-13,33.05
2017-12-14,32.05
2017-12-15,33.0
2017-12-18,33.05
2017-12-19,33.75
2017-12-20,35.15
2017-12-21,36.1
2017-12-22,35.35
2017-12-26,35.35
2017-12-27,35.0
2017-12-28,35.35
2017-12-29,35.4
