Date,PHILIPCARB
2017-01-02,224.75
2017-01-03,226.45
2017-01-04,229.8
2017-01-05,228.4
2017-01-06,227.95
2017-01-09,241.55
2017-01-10,237.85
2017-01-11,243.65
2017-01-12,243.0
2017-01-13,239.4
2017-01-16,240.35
2017-01-17,248.8
2017-01-18,253.4
2017-01-19,254.55
2017-01-20,262.0
2017-01-23,270.75
2017-01-24,269.6
2017-01-25,270.2
2017-01-27,267.6
2017-01-30,262.8
2017-01-31,258.65
2017-02-01,258.85
2017-02-02,262.85
2017-02-03,274.95
2017-02-06,275.0
2017-02-07,281.15
2017-02-08,283.0
2017-02-09,276.6
2017-02-10,282.2
2017-02-13,277.25
2017-02-14,270.6
2017-02-15,275.35
2017-02-16,300.3
2017-02-17,297.55
2017-02-20,296.55
2017-02-21,293.4
2017-02-22,289.5
2017-02-23,285.8
2017-02-27,296.3
2017-02-28,302.5
2017-03-01,292.4
2017-03-02,287.65
2017-03-03,288.05
2017-03-06,294.3
2017-03-07,292.7
2017-03-08,295.15
2017-03-09,285.35
2017-03-10,281.0
2017-03-14,291.65
2017-03-15,293.1
2017-03-16,301.2
2017-03-17,305.8
2017-03-20,304.9
2017-03-21,305.1
2017-03-22,312.7
2017-03-23,317.85
2017-03-24,316.65
2017-03-27,315.85
2017-03-28,320.0
2017-03-29,318.6
2017-03-30,323.0
2017-03-31,329.9
2017-04-03,351.4
2017-04-05,361.25
2017-04-06,362.2
2017-04-07,354.9
2017-04-10,362.9
2017-04-11,386.0
2017-04-12,383.7
2017-04-13,381.15
2017-04-17,384.7
2017-04-18,380.1
2017-04-19,386.15
2017-04-20,400.9
2017-04-21,408.2
2017-04-24,411.6
2017-04-25,410.15
2017-04-26,401.5
2017-04-27,409.5
2017-04-28,424.25
2017-05-02,448.05
2017-05-03,457.4
2017-05-04,451.5
2017-05-05,431.75
2017-05-08,439.2
2017-05-09,451.45
2017-05-10,452.35
2017-05-11,445.45
2017-05-12,440.65
2017-05-15,444.3
2017-05-16,422.9
2017-05-17,409.9
2017-05-18,407.2
2017-05-19,407.4
2017-05-22,394.8
2017-05-23,390.6
2017-05-24,378.2
2017-05-25,396.9
2017-05-26,426.6
2017-05-29,421.85
2017-05-30,435.5
2017-05-31,438.35
2017-06-01,438.15
2017-06-02,442.5
2017-06-05,446.9
2017-06-06,448.1
2017-06-07,455.95
2017-06-08,477.6
2017-06-09,473.35
2017-06-12,461.35
2017-06-13,478.25
2017-06-14,519.5
2017-06-15,538.55
2017-06-16,545.15
2017-06-19,627.95
2017-06-20,627.65
2017-06-21,622.65
2017-06-22,624.65
2017-06-23,590.9
2017-06-27,572.7
2017-06-28,606.2
2017-06-29,624.25
2017-06-30,610.6
2017-07-03,626.2
2017-07-04,616.8
2017-07-05,638.55
2017-07-06,633.8
2017-07-07,621.35
2017-07-10,632.4
2017-07-11,629.95
2017-07-12,630.7
2017-07-13,627.2
2017-07-14,609.4
2017-07-17,595.9
2017-07-18,578.8
2017-07-19,588.1
2017-07-20,595.3
2017-07-21,606.6
2017-07-24,596.25
2017-07-25,596.0
2017-07-26,592.1
2017-07-27,582.3
2017-07-28,583.35
2017-07-31,583.35
2017-08-01,586.8
2017-08-02,587.4
2017-08-03,634.2
2017-08-04,647.35
2017-08-07,663.0
2017-08-08,639.65
2017-08-09,634.35
2017-08-10,582.9
2017-08-11,611.65
2017-08-14,626.2
2017-08-16,629.6
2017-08-17,636.2
2017-08-18,618.85
2017-08-21,610.75
2017-08-22,607.15
2017-08-23,620.1
2017-08-24,630.4
2017-08-28,650.25
2017-08-29,638.5
2017-08-30,674.95
2017-08-31,708.15
2017-09-01,705.65
2017-09-04,712.1
2017-09-05,783.65
2017-09-06,798.0
2017-09-07,791.55
2017-09-08,800.9
2017-09-11,798.7
2017-09-12,800.7
2017-09-13,804.4
2017-09-14,825.35
2017-09-15,809.05
2017-09-18,835.8
2017-09-19,838.8
2017-09-20,825.35
2017-09-21,814.05
2017-09-22,799.2
2017-09-25,763.85
2017-09-26,805.3
2017-09-27,774.95
2017-09-28,800.9
2017-09-29,805.35
2017-10-03,896.4
2017-10-04,909.55
2017-10-05,909.8
2017-10-06,925.45
2017-10-09,920.4
2017-10-10,920.0
2017-10-11,906.25
2017-10-12,910.25
2017-10-13,912.3
2017-10-16,918.15
2017-10-17,908.85
2017-10-18,913.8
2017-10-19,911.5
2017-10-23,922.7
2017-10-24,909.7
2017-10-25,909.7
2017-10-26,925.3
2017-10-27,909.55
2017-10-30,917.65
2017-10-31,924.25
2017-11-01,921.8
2017-11-02,917.75
2017-11-03,916.85
2017-11-06,1005.0
2017-11-07,1053.65
2017-11-08,1009.9
2017-11-09,1006.3
2017-11-10,995.95
2017-11-13,1003.35
2017-11-14,1006.25
2017-11-15,925.1
2017-11-16,906.7
2017-11-17,981.5
2017-11-20,950.65
2017-11-21,965.85
2017-11-22,978.1
2017-11-23,973.05
2017-11-24,965.35
2017-11-27,967.5
2017-11-28,971.3
2017-11-29,954.55
2017-11-30,943.65
2017-12-01,937.4
2017-12-04,929.7
2017-12-05,927.5
2017-12-06,924.55
2017-12-07,931.3
2017-12-08,942.7
2017-12-11,932.95
2017-12-12,956.3
2017-12-13,950.45
2017-12-14,938.65
2017-12-15,943.35
2017-12-18,928.75
2017-12-19,939.9
2017-12-20,937.8
2017-12-21,941.35
2017-12-22,960.85
2017-12-26,982.0
2017-12-27,971.95
2017-12-28,977.8
2017-12-29,975.3
