Date,REPRO
2017-01-02,405.0
2017-01-03,403.6
2017-01-04,410.15
2017-01-05,408.95
2017-01-06,410.2
2017-01-09,410.6
2017-01-10,418.65
2017-01-11,415.0
2017-01-12,412.15
2017-01-13,410.8
2017-01-16,418.25
2017-01-17,414.15
2017-01-18,412.55
2017-01-19,411.95
2017-01-20,407.45
2017-01-23,402.2
2017-01-24,398.55
2017-01-25,394.45
2017-01-27,394.35
2017-01-30,396.35
2017-01-31,399.85
2017-02-01,399.05
2017-02-02,394.15
2017-02-03,399.8
2017-02-06,399.95
2017-02-07,399.25
2017-02-08,400.0
2017-02-09,399.35
2017-02-10,399.05
2017-02-13,397.75
2017-02-14,395.55
2017-02-15,397.0
2017-02-16,391.7
2017-02-17,391.8
2017-02-20,399.75
2017-02-21,396.05
2017-02-22,399.65
2017-02-23,395.25
2017-02-27,396.9
2017-02-28,398.35
2017-03-01,395.4
2017-03-02,397.25
2017-03-03,394.35
2017-03-06,395.25
2017-03-07,394.5
2017-03-08,395.5
2017-03-09,395.1
2017-03-10,397.5
2017-03-14,399.35
2017-03-15,398.8
2017-03-16,393.95
2017-03-17,381.85
2017-03-20,458.2
2017-03-21,433.3
2017-03-22,421.75
2017-03-23,414.6
2017-03-24,414.5
2017-03-27,410.3
2017-03-28,409.05
2017-03-29,405.45
2017-03-30,410.35
2017-03-31,423.2
2017-04-03,426.2
2017-04-05,419.8
2017-04-06,406.45
2017-04-07,404.9
2017-04-10,417.85
2017-04-11,417.95
2017-04-12,416.0
2017-04-13,417.9
2017-04-17,419.6
2017-04-18,411.45
2017-04-19,417.25
2017-04-20,416.25
2017-04-21,416.25
2017-04-24,413.3
2017-04-25,415.25
2017-04-26,414.5
2017-04-27,422.8
2017-04-28,428.8
2017-05-02,415.3
2017-05-03,423.0
2017-05-04,419.9
2017-05-05,418.6
2017-05-08,482.1
2017-05-09,486.45
2017-05-10,487.85
2017-05-11,476.95
2017-05-12,478.9
2017-05-15,487.1
2017-05-16,481.75
2017-05-17,466.25
2017-05-18,462.35
2017-05-19,446.45
2017-05-22,445.9
2017-05-23,443.15
2017-05-24,441.3
2017-05-25,442.65
2017-05-26,447.95
2017-05-29,440.2
2017-05-30,435.85
2017-05-31,447.2
2017-06-01,443.95
2017-06-02,442.8
2017-06-05,443.1
2017-06-06,445.0
2017-06-07,450.0
2017-06-08,451.1
2017-06-09,458.1
2017-06-12,451.1
2017-06-13,452.95
2017-06-14,448.3
2017-06-15,447.65
2017-06-16,448.65
2017-06-19,458.65
2017-06-20,453.6
2017-06-21,454.1
2017-06-22,449.7
2017-06-23,443.85
2017-06-27,436.35
2017-06-28,429.85
2017-06-29,429.85
2017-06-30,442.8
2017-07-03,447.25
2017-07-04,439.7
2017-07-05,444.3
2017-07-06,440.9
2017-07-07,442.65
2017-07-10,443.55
2017-07-11,468.25
2017-07-12,471.7
2017-07-13,455.85
2017-07-14,454.3
2017-07-17,457.95
2017-07-18,450.15
2017-07-19,450.1
2017-07-20,449.95
2017-07-21,463.3
2017-07-24,528.0
2017-07-25,520.35
2017-07-26,522.25
2017-07-27,518.25
2017-07-28,514.55
2017-07-31,506.1
2017-08-01,503.45
2017-08-02,517.8
2017-08-03,516.95
2017-08-04,522.35
2017-08-07,519.25
2017-08-08,514.0
2017-08-09,500.35
2017-08-10,485.65
2017-08-11,476.8
2017-08-14,496.2
2017-08-16,512.2
2017-08-17,516.1
2017-08-18,526.6
2017-08-21,554.35
2017-08-22,556.7
2017-08-23,573.6
2017-08-24,575.15
2017-08-28,561.2
2017-08-29,561.3
2017-08-30,577.55
2017-08-31,565.35
2017-09-01,568.85
2017-09-04,568.65
2017-09-05,627.45
2017-09-06,634.2
2017-09-07,716.25
2017-09-08,683.05
2017-09-11,742.15
2017-09-12,751.55
2017-09-13,724.9
2017-09-14,713.1
2017-09-15,707.25
2017-09-18,716.05
2017-09-19,698.6
2017-09-20,692.0
2017-09-21,695.2
2017-09-22,670.55
2017-09-25,638.75
2017-09-26,665.75
2017-09-27,637.15
2017-09-28,645.9
2017-09-29,656.1
2017-10-03,648.25
2017-10-04,698.9
2017-10-05,708.1
2017-10-06,701.8
2017-10-09,730.3
2017-10-10,722.45
2017-10-11,699.3
2017-10-12,702.8
2017-10-13,707.85
2017-10-16,708.5
2017-10-17,712.4
2017-10-18,730.8
2017-10-19,748.3
2017-10-23,817.2
2017-10-24,796.5
2017-10-25,797.85
2017-10-26,822.4
2017-10-27,797.5
2017-10-30,816.75
2017-10-31,820.15
2017-11-01,811.9
2017-11-02,804.6
2017-11-03,797.0
2017-11-06,782.2
2017-11-07,766.1
2017-11-08,777.45
2017-11-09,763.45
2017-11-10,767.25
2017-11-13,777.75
2017-11-14,767.0
2017-11-15,747.5
2017-11-16,759.25
2017-11-17,748.95
2017-11-20,740.1
2017-11-21,738.4
2017-11-22,732.25
2017-11-23,755.5
2017-11-24,747.05
2017-11-27,750.05
2017-11-28,753.3
2017-11-29,749.8
2017-11-30,740.1
2017-12-01,716.35
2017-12-04,707.15
2017-12-05,729.5
2017-12-06,704.65
2017-12-07,708.8
2017-12-08,718.55
2017-12-11,862.25
2017-12-12,784.4
2017-12-13,802.2
2017-12-14,787.2
2017-12-15,797.65
2017-12-18,797.2
2017-12-19,802.5
2017-12-20,805.3
2017-12-21,807.9
2017-12-22,803.3
2017-12-26,803.9
2017-12-27,798.5
2017-12-28,797.6
2017-12-29,781.7
