Date,AGRITECH
2017-01-02,30.85
2017-01-03,31.6
2017-01-04,31.3
2017-01-05,31.95
2017-01-06,31.25
2017-01-09,30.85
2017-01-10,32.35
2017-01-11,33.95
2017-01-12,33.0
2017-01-13,33.3
2017-01-16,32.55
2017-01-17,31.95
2017-01-18,32.0
2017-01-19,32.95
2017-01-20,33.8
2017-01-23,33.25
2017-01-24,32.85
2017-01-25,34.35
2017-01-27,36.05
2017-01-30,34.35
2017-01-31,33.8
2017-02-01,34.35
2017-02-02,34.8
2017-02-03,33.35
2017-02-06,32.95
2017-02-07,32.65
2017-02-08,33.05
2017-02-09,32.7
2017-02-10,33.3
2017-02-13,32.0
2017-02-14,32.0
2017-02-15,30.05
2017-02-16,30.85
2017-02-17,32.75
2017-02-20,32.05
2017-02-21,32.5
2017-02-22,32.15
2017-02-23,31.65
2017-02-27,31.55
2017-02-28,31.15
2017-03-01,30.7
2017-03-02,30.1
2017-03-03,30.8
2017-03-06,30.3
2017-03-07,29.6
2017-03-08,30.35
2017-03-09,30.65
2017-03-10,33.35
2017-03-14,36.05
2017-03-15,38.15
2017-03-16,40.0
2017-03-17,39.8
2017-03-20,39.7
2017-03-21,39.7
2017-03-22,37.8
2017-03-23,39.2
2017-03-24,38.4
2017-03-27,37.95
2017-03-28,39.8
2017-03-29,38.25
2017-03-30,38.05
2017-03-31,38.25
2017-04-03,38.1
2017-04-05,38.1
2017-04-06,37.4
2017-04-07,39.25
2017-04-10,43.15
2017-04-11,47.45
2017-04-12,52.15
2017-04-13,54.75
2017-04-17,57.45
2017-04-18,60.3
2017-04-19,57.3
2017-04-20,54.45
2017-04-21,57.15
2017-04-24,60.0
2017-04-25,61.65
2017-04-26,64.15
2017-04-27,65.85
2017-04-28,63.75
2017-05-02,60.6
2017-05-03,57.65
2017-05-04,55.25
2017-05-05,54.85
2017-05-08,57.15
2017-05-09,58.9
2017-05-10,61.3
2017-05-11,59.95
2017-05-12,57.0
2017-05-15,56.25
2017-05-16,55.0
2017-05-17,55.2
2017-05-18,52.5
2017-05-19,50.0
2017-05-22,47.5
2017-05-23,45.15
2017-05-24,42.9
2017-05-25,40.8
2017-05-26,42.8
2017-05-29,44.9
2017-05-30,47.1
2017-05-31,49.45
2017-06-01,48.3
2017-06-02,50.7
2017-06-05,52.9
2017-06-06,51.75
2017-06-07,54.3
2017-06-08,57.0
2017-06-09,59.85
2017-06-12,62.8
2017-06-13,65.9
2017-06-14,64.1
2017-06-15,65.15
2017-06-16,62.0
2017-06-19,58.9
2017-06-20,56.0
2017-06-21,58.8
2017-06-22,60.85
2017-06-23,61.65
2017-06-27,58.7
2017-06-28,55.8
2017-06-29,57.65
2017-06-30,55.7
2017-07-03,58.1
2017-07-04,59.45
2017-07-05,59.6
2017-07-06,60.95
2017-07-07,60.8
2017-07-10,58.55
2017-07-11,61.45
2017-07-12,64.5
2017-07-13,62.55
2017-07-14,62.3
2017-07-17,62.4
2017-07-18,60.8
2017-07-19,60.0
2017-07-20,60.55
2017-07-21,61.95
2017-07-24,61.0
2017-07-25,61.55
2017-07-26,61.85
2017-07-27,60.6
2017-07-28,60.6
2017-07-31,61.8
2017-08-01,64.85
2017-08-02,68.05
2017-08-03,67.25
2017-08-04,67.25
2017-08-07,67.25
2017-08-08,63.55
2017-08-09,59.5
2017-08-10,56.7
2017-08-11,60.45
2017-08-14,66.45
2017-08-16,73.05
2017-08-17,80.35
2017-08-18,82.65
2017-08-21,78.75
2017-08-22,74.95
2017-08-23,78.65
2017-08-24,82.55
2017-08-28,86.65
2017-08-29,90.9
2017-08-30,95.4
2017-08-31,100.15
2017-09-01,105.15
2017-09-04,110.4
2017-09-05,115.9
2017-09-06,121.65
2017-09-07,127.7
2017-09-08,121.65
2017-09-11,115.6
2017-09-12,109.85
2017-09-13,112.85
2017-09-14,118.45
2017-09-15,112.85
2017-09-18,109.85
2017-09-19,107.05
2017-09-20,106.35
2017-09-21,101.3
2017-09-22,97.25
2017-09-25,99.95
2017-09-26,101.55
2017-09-27,96.7
2017-09-28,93.5
2017-09-29,98.15
2017-10-03,103.05
2017-10-04,108.2
2017-10-05,110.4
2017-10-06,106.25
2017-10-09,106.9
2017-10-10,106.3
2017-10-11,101.9
2017-10-12,100.9
2017-10-13,110.95
2017-10-16,108.05
2017-10-17,118.85
2017-10-18,116.0
2017-10-19,126.75
2017-10-23,133.05
2017-10-24,139.7
2017-10-25,132.75
2017-10-26,128.4
2017-10-27,127.5
2017-10-30,133.85
2017-10-31,140.5
2017-11-01,139.25
2017-11-02,135.35
2017-11-03,130.2
2017-11-06,134.95
2017-11-07,129.65
2017-11-08,124.6
2017-11-09,125.15
2017-11-10,123.65
2017-11-13,129.8
2017-11-14,124.45
2017-11-15,122.0
2017-11-16,121.95
2017-11-17,119.2
2017-11-20,119.15
2017-11-21,120.25
2017-11-22,120.45
2017-11-23,119.35
2017-11-24,118.35
2017-11-27,124.25
2017-11-28,128.0
2017-11-29,124.0
2017-11-30,121.05
2017-12-01,120.7
2017-12-04,119.1
2017-12-05,115.8
2017-12-06,112.0
2017-12-07,120.25
2017-12-08,120.05
2017-12-11,118.3
2017-12-12,115.7
2017-12-13,114.65
2017-12-14,116.55
2017-12-15,115.15
2017-12-18,116.75
2017-12-19,114.65
2017-12-20,126.1
2017-12-21,123.4
2017-12-22,124.05
2017-12-26,122.1
2017-12-27,120.15
2017-12-28,119.0
2017-12-29,119.05
