Date,WELSPUNIND
2017-01-02,66.7
2017-01-03,69.45
2017-01-04,71.15
2017-01-05,71.2
2017-01-06,70.15
2017-01-09,68.6
2017-01-10,68.25
2017-01-11,70.4
2017-01-12,71.55
2017-01-13,70.8
2017-01-16,70.25
2017-01-17,69.9
2017-01-18,76.4
2017-01-19,78.3
2017-01-20,75.9
2017-01-23,77.45
2017-01-24,78.5
2017-01-25,77.95
2017-01-27,76.55
2017-01-30,75.7
2017-01-31,76.2
2017-02-01,74.75
2017-02-02,77.3
2017-02-03,78.25
2017-02-06,79.9
2017-02-07,81.6
2017-02-08,87.75
2017-02-09,94.45
2017-02-10,94.6
2017-02-13,92.0
2017-02-14,89.5
2017-02-15,89.8
2017-02-16,91.4
2017-02-17,89.6
2017-02-20,91.6
2017-02-21,90.5
2017-02-22,89.85
2017-02-23,90.65
2017-02-27,89.55
2017-02-28,89.15
2017-03-01,89.9
2017-03-02,86.5
2017-03-03,86.55
2017-03-06,86.75
2017-03-07,86.75
2017-03-08,85.05
2017-03-09,85.55
2017-03-10,85.6
2017-03-14,84.65
2017-03-15,85.2
2017-03-16,85.05
2017-03-17,82.55
2017-03-20,82.5
2017-03-21,82.5
2017-03-22,81.25
2017-03-23,80.5
2017-03-24,86.6
2017-03-27,89.05
2017-03-28,88.3
2017-03-29,88.0
2017-03-30,88.9
2017-03-31,87.75
2017-04-03,87.1
2017-04-05,85.7
2017-04-06,85.35
2017-04-07,84.45
2017-04-10,87.0
2017-04-11,88.1
2017-04-12,87.75
2017-04-13,88.25
2017-04-17,90.05
2017-04-18,93.7
2017-04-19,94.05
2017-04-20,95.3
2017-04-21,94.35
2017-04-24,94.7
2017-04-25,94.1
2017-04-26,94.45
2017-04-27,93.65
2017-04-28,95.35
2017-05-02,98.0
2017-05-03,97.3
2017-05-04,96.95
2017-05-05,95.3
2017-05-08,94.55
2017-05-09,93.2
2017-05-10,90.9
2017-05-11,90.05
2017-05-12,89.4
2017-05-15,90.25
2017-05-16,90.65
2017-05-17,88.85
2017-05-18,86.9
2017-05-19,85.05
2017-05-22,83.7
2017-05-23,84.75
2017-05-24,82.8
2017-05-25,82.95
2017-05-26,84.1
2017-05-29,82.1
2017-05-30,82.6
2017-05-31,81.6
2017-06-01,84.05
2017-06-02,83.8
2017-06-05,85.05
2017-06-06,83.6
2017-06-07,83.3
2017-06-08,83.4
2017-06-09,82.7
2017-06-12,82.8
2017-06-13,82.55
2017-06-14,81.15
2017-06-15,78.9
2017-06-16,79.1
2017-06-19,80.7
2017-06-20,80.7
2017-06-21,81.7
2017-06-22,81.8
2017-06-23,81.95
2017-06-27,82.55
2017-06-28,83.05
2017-06-29,83.0
2017-06-30,82.7
2017-07-03,81.6
2017-07-04,80.7
2017-07-05,80.55
2017-07-06,80.5
2017-07-07,84.25
2017-07-10,87.85
2017-07-11,86.1
2017-07-12,85.55
2017-07-13,88.05
2017-07-14,90.2
2017-07-17,89.05
2017-07-18,88.35
2017-07-19,88.6
2017-07-20,90.4
2017-07-21,90.15
2017-07-24,89.85
2017-07-25,88.35
2017-07-26,86.75
2017-07-27,85.25
2017-07-28,84.7
2017-07-31,82.2
2017-08-01,82.25
2017-08-02,82.7
2017-08-03,83.9
2017-08-04,82.05
2017-08-07,80.3
2017-08-08,80.6
2017-08-09,78.45
2017-08-10,72.95
2017-08-11,69.0
2017-08-14,73.15
2017-08-16,77.35
2017-08-17,77.4
2017-08-18,75.5
2017-08-21,73.35
2017-08-22,72.45
2017-08-23,71.0
2017-08-24,72.2
2017-08-28,78.15
2017-08-29,75.8
2017-08-30,77.75
2017-08-31,77.55
2017-09-01,77.1
2017-09-04,76.8
2017-09-05,77.7
2017-09-06,78.35
2017-09-07,78.8
2017-09-08,77.45
2017-09-11,76.6
2017-09-12,76.45
2017-09-13,75.7
2017-09-14,75.2
2017-09-15,77.55
2017-09-18,76.2
2017-09-19,74.8
2017-09-20,73.65
2017-09-21,73.4
2017-09-22,70.9
2017-09-25,67.6
2017-09-26,66.15
2017-09-27,66.65
2017-09-28,68.4
2017-09-29,68.35
2017-10-03,67.15
2017-10-04,66.2
2017-10-05,65.9
2017-10-06,70.1
2017-10-09,70.5
2017-10-10,68.0
2017-10-11,67.7
2017-10-12,67.3
2017-10-13,65.5
2017-10-16,63.6
2017-10-17,61.25
2017-10-18,63.6
2017-10-19,67.2
2017-10-23,66.95
2017-10-24,66.6
2017-10-25,65.4
2017-10-26,66.05
2017-10-27,65.15
2017-10-30,66.85
2017-10-31,67.0
2017-11-01,69.35
2017-11-02,72.2
2017-11-03,72.75
2017-11-06,71.35
2017-11-07,70.4
2017-11-08,67.5
2017-11-09,69.75
2017-11-10,67.9
2017-11-13,66.6
2017-11-14,65.55
2017-11-15,64.05
2017-11-16,65.15
2017-11-17,69.4
2017-11-20,71.5
2017-11-21,73.45
2017-11-22,74.75
2017-11-23,76.0
2017-11-24,73.45
2017-11-27,74.7
2017-11-28,72.9
2017-11-29,72.7
2017-11-30,71.7
2017-12-01,68.5
2017-12-04,67.8
2017-12-05,66.9
2017-12-06,66.4
2017-12-07,67.3
2017-12-08,67.75
2017-12-11,70.8
2017-12-12,70.0
2017-12-13,68.75
2017-12-14,68.4
2017-12-15,69.0
2017-12-18,69.75
2017-12-19,71.35
2017-12-20,71.3
2017-12-21,73.05
2017-12-22,76.1
2017-12-26,75.8
2017-12-27,73.05
2017-12-28,72.4
2017-12-29,71.4
