Date,ZODIACLOTH
2017-01-02,177.95
2017-01-03,175.95
2017-01-04,177.25
2017-01-05,178.0
2017-01-06,176.8
2017-01-09,178.7
2017-01-11,183.7
2017-01-12,184.1
2017-01-13,182.95
2017-01-16,184.75
2017-01-17,187.8
2017-01-18,188.35
2017-01-19,183.7
2017-01-20,183.0
2017-01-23,184.35
2017-01-24,185.0
2017-01-25,190.95
2017-01-27,189.15
2017-01-30,188.05
2017-01-31,188.75
2017-02-01,184.55
2017-02-02,186.8
2017-02-03,192.3
2017-02-06,187.0
2017-02-07,194.95
2017-02-08,196.4
2017-02-09,191.4
2017-02-10,190.7
2017-02-13,198.85
2017-02-14,194.65
2017-02-15,189.45
2017-02-16,188.25
2017-02-17,188.4
2017-02-20,190.35
2017-02-21,189.0
2017-02-22,184.85
2017-02-23,183.3
2017-02-27,183.5
2017-02-28,183.05
2017-03-01,183.0
2017-03-02,181.6
2017-03-03,180.9
2017-03-06,186.95
2017-03-07,186.0
2017-03-08,192.5
2017-03-09,191.3
2017-03-10,185.5
2017-03-14,182.25
2017-03-15,182.4
2017-03-16,182.7
2017-03-17,181.15
2017-03-20,180.25
2017-03-21,181.25
2017-03-22,181.25
2017-03-23,181.0
2017-03-24,181.6
2017-03-27,180.25
2017-03-28,181.2
2017-03-29,179.0
2017-03-30,179.65
2017-03-31,180.3
2017-04-03,187.2
2017-04-05,185.2
2017-04-06,188.7
2017-04-07,223.1
2017-04-10,218.45
2017-04-11,208.45
2017-04-12,208.2
2017-04-13,214.7
2017-04-17,213.0
2017-04-18,207.6
2017-04-19,208.2
2017-04-20,220.1
2017-04-21,233.1
2017-04-24,226.55
2017-04-25,223.25
2017-04-26,220.05
2017-04-27,220.35
2017-04-28,228.65
2017-05-02,230.3
2017-05-03,229.65
2017-05-04,238.45
2017-05-05,241.2
2017-05-08,240.2
2017-05-09,234.85
2017-05-10,235.4
2017-05-11,230.95
2017-05-12,228.35
2017-05-15,228.15
2017-05-16,229.55
2017-05-17,229.95
2017-05-18,224.65
2017-05-19,226.15
2017-05-22,214.95
2017-05-23,211.1
2017-05-24,206.85
2017-05-25,206.0
2017-05-26,215.95
2017-05-29,211.55
2017-05-30,212.05
2017-05-31,216.4
2017-06-01,214.85
2017-06-02,214.8
2017-06-05,215.0
2017-06-06,207.0
2017-06-07,209.65
2017-06-08,212.0
2017-06-09,211.05
2017-06-12,205.55
2017-06-13,213.25
2017-06-14,211.5
2017-06-15,215.0
2017-06-16,212.8
2017-06-19,212.95
2017-06-20,217.9
2017-06-21,208.25
2017-06-22,211.85
2017-06-23,207.35
2017-06-27,210.0
2017-06-28,210.25
2017-06-29,209.95
2017-06-30,204.7
2017-07-03,212.5
2017-07-04,217.5
2017-07-05,219.0
2017-07-06,217.0
2017-07-07,214.3
2017-07-10,214.85
2017-07-11,210.15
2017-07-12,211.45
2017-07-13,210.5
2017-07-14,213.4
2017-07-17,214.7
2017-07-18,211.55
2017-07-19,210.35
2017-07-20,214.6
2017-07-21,214.1
2017-07-24,202.95
2017-07-25,203.2
2017-07-26,201.15
2017-07-27,200.55
2017-07-28,200.8
2017-07-31,197.25
2017-08-01,198.65
2017-08-02,197.9
2017-08-03,197.75
2017-08-04,196.8
2017-08-07,193.85
2017-08-08,196.3
2017-08-09,188.45
2017-08-10,184.25
2017-08-11,186.65
2017-08-14,194.45
2017-08-16,188.45
2017-08-17,193.85
2017-08-18,183.7
2017-08-21,179.2
2017-08-22,183.2
2017-08-23,183.9
2017-08-24,184.3
2017-08-28,190.75
2017-08-29,195.4
2017-08-30,194.8
2017-08-31,196.25
2017-09-01,195.0
2017-09-04,197.05
2017-09-05,197.75
2017-09-06,193.6
2017-09-07,196.1
2017-09-08,196.65
2017-09-11,198.3
2017-09-12,202.95
2017-09-13,200.6
2017-09-14,198.15
2017-09-15,203.6
2017-09-18,203.4
2017-09-19,189.85
2017-09-20,195.9
2017-09-21,195.55
2017-09-22,186.0
2017-09-25,194.4
2017-09-26,188.75
2017-09-27,189.0
2017-09-28,188.7
2017-09-29,190.3
2017-10-03,188.15
2017-10-04,186.7
2017-10-05,189.85
2017-10-06,201.4
2017-10-09,199.4
2017-10-10,197.55
2017-10-11,195.7
2017-10-12,195.45
2017-10-13,193.05
2017-10-16,197.25
2017-10-17,199.2
2017-10-18,212.45
2017-10-19,225.05
2017-10-23,227.2
2017-10-24,229.65
2017-10-25,233.0
2017-10-26,230.0
2017-10-27,235.55
2017-10-30,233.45
2017-10-31,230.6
2017-11-01,230.35
2017-11-02,229.5
2017-11-03,233.25
2017-11-06,230.35
2017-11-07,217.1
2017-11-08,217.8
2017-11-09,223.7
2017-11-10,227.6
2017-11-13,224.05
2017-11-14,223.4
2017-11-15,221.45
2017-11-16,215.4
2017-11-17,217.6
2017-11-20,216.4
2017-11-21,219.35
2017-11-22,218.8
2017-11-23,216.45
2017-11-24,218.5
2017-11-27,217.9
2017-11-28,216.55
2017-11-29,221.8
2017-11-30,220.6
2017-12-01,217.4
2017-12-04,215.9
2017-12-05,210.9
2017-12-06,214.4
2017-12-07,221.4
2017-12-08,220.0
2017-12-11,223.25
2017-12-12,217.05
2017-12-13,212.25
2017-12-14,214.45
2017-12-15,219.35
2017-12-18,216.1
2017-12-19,221.65
2017-12-20,217.85
2017-12-21,223.05
2017-12-22,225.4
2017-12-26,226.0
2017-12-27,229.25
2017-12-28,229.95
2017-12-29,235.4
