Date,KMSUGAR
2017-01-02,30.25
2017-01-03,30.75
2017-01-04,29.4
2017-01-05,29.55
2017-01-06,30.75
2017-01-09,31.5
2017-01-10,31.65
2017-01-11,31.95
2017-01-12,32.55
2017-01-13,32.15
2017-01-16,31.55
2017-01-17,30.6
2017-01-18,31.15
2017-01-19,31.4
2017-01-20,30.3
2017-01-23,30.55
2017-01-24,30.15
2017-01-25,30.85
2017-01-27,32.1
2017-01-30,32.55
2017-01-31,32.65
2017-02-01,33.2
2017-02-02,34.5
2017-02-03,34.9
2017-02-06,36.4
2017-02-07,36.4
2017-02-08,35.9
2017-02-09,33.8
2017-02-10,31.55
2017-02-13,32.2
2017-02-14,30.95
2017-02-15,28.65
2017-02-16,30.25
2017-02-17,30.25
2017-02-20,30.05
2017-02-21,30.2
2017-02-22,28.75
2017-02-23,29.6
2017-02-27,28.9
2017-02-28,28.15
2017-03-01,27.6
2017-03-02,26.15
2017-03-03,28.75
2017-03-06,30.0
2017-03-07,29.65
2017-03-08,28.9
2017-03-09,28.25
2017-03-10,28.45
2017-03-14,28.35
2017-03-15,28.1
2017-03-16,27.7
2017-03-17,28.5
2017-03-20,28.15
2017-03-21,27.85
2017-03-22,27.2
2017-03-23,27.25
2017-03-24,26.75
2017-03-27,26.5
2017-03-28,26.55
2017-03-29,25.7
2017-03-30,26.3
2017-03-31,26.8
2017-04-03,29.05
2017-04-05,28.9
2017-04-06,28.75
2017-04-07,28.05
2017-04-10,27.7
2017-04-11,26.95
2017-04-12,28.0
2017-04-13,27.4
2017-04-17,27.8
2017-04-18,27.35
2017-04-19,27.5
2017-04-20,28.0
2017-04-21,28.45
2017-04-24,27.75
2017-04-25,27.75
2017-04-26,27.1
2017-04-27,27.0
2017-04-28,26.7
2017-05-02,26.35
2017-05-03,26.25
2017-05-04,26.4
2017-05-05,26.3
2017-05-08,26.0
2017-05-09,25.95
2017-05-10,25.1
2017-05-11,24.15
2017-05-12,23.1
2017-05-15,24.7
2017-05-16,24.35
2017-05-17,24.85
2017-05-18,24.3
2017-05-19,24.45
2017-05-22,23.3
2017-05-23,19.8
2017-05-24,19.1
2017-05-25,22.5
2017-05-26,22.2
2017-05-29,20.7
2017-05-30,21.0
2017-05-31,20.75
2017-06-01,20.8
2017-06-02,20.45
2017-06-05,20.25
2017-06-06,19.7
2017-06-07,20.2
2017-06-08,19.85
2017-06-09,20.1
2017-06-12,19.75
2017-06-13,20.5
2017-06-14,20.0
2017-06-15,20.05
2017-06-16,19.9
2017-06-19,19.75
2017-06-20,19.3
2017-06-21,19.6
2017-06-22,20.0
2017-06-23,19.55
2017-06-27,19.75
2017-06-28,20.05
2017-06-29,19.85
2017-06-30,23.4
2017-07-03,24.95
2017-07-04,22.9
2017-07-05,22.05
2017-07-06,21.95
2017-07-07,22.6
2017-07-10,22.6
2017-07-11,22.6
2017-07-12,22.3
2017-07-13,21.95
2017-07-14,21.95
2017-07-17,21.9
2017-07-18,21.35
2017-07-19,21.9
2017-07-20,22.1
2017-07-21,22.65
2017-07-24,22.25
2017-07-25,22.5
2017-07-26,22.15
2017-07-27,21.5
2017-07-28,20.9
2017-07-31,20.95
2017-08-01,20.95
2017-08-02,21.1
2017-08-03,20.95
2017-08-04,20.8
2017-08-07,24.3
2017-08-08,22.65
2017-08-09,21.95
2017-08-10,20.75
2017-08-11,21.2
2017-08-14,21.45
2017-08-16,21.6
2017-08-17,21.3
2017-08-18,21.2
2017-08-21,20.85
2017-08-22,20.45
2017-08-23,20.85
2017-08-24,20.8
2017-08-28,21.05
2017-08-29,22.25
2017-08-30,23.1
2017-08-31,23.1
2017-09-01,23.05
2017-09-04,22.6
2017-09-05,22.55
2017-09-06,22.1
2017-09-07,21.9
2017-09-08,21.85
2017-09-11,21.9
2017-09-12,21.75
2017-09-13,21.5
2017-09-14,24.2
2017-09-15,23.25
2017-09-18,23.85
2017-09-19,24.4
2017-09-20,26.05
2017-09-21,25.65
2017-09-22,23.75
2017-09-25,22.85
2017-09-26,22.85
2017-09-27,22.95
2017-09-28,23.7
2017-09-29,23.6
2017-10-03,23.4
2017-10-04,22.95
2017-10-05,23.35
2017-10-06,25.75
2017-10-09,25.5
2017-10-10,26.45
2017-10-11,25.35
2017-10-12,25.95
2017-10-13,25.15
2017-10-16,24.25
2017-10-17,24.25
2017-10-18,24.2
2017-10-19,24.15
2017-10-23,25.15
2017-10-24,24.6
2017-10-25,24.25
2017-10-26,23.55
2017-10-27,23.75
2017-10-30,24.1
2017-10-31,23.9
2017-11-01,24.15
2017-11-02,23.75
2017-11-03,23.9
2017-11-06,23.55
2017-11-07,22.25
2017-11-08,22.65
2017-11-09,23.1
2017-11-10,23.85
2017-11-13,21.0
2017-11-14,20.4
2017-11-15,18.95
2017-11-16,19.7
2017-11-17,20.1
2017-11-20,20.45
2017-11-21,20.85
2017-11-22,20.55
2017-11-23,21.75
2017-11-24,21.15
2017-11-27,21.5
2017-11-28,21.25
2017-11-29,21.1
2017-11-30,20.65
2017-12-01,20.6
2017-12-04,20.5
2017-12-05,20.65
2017-12-06,20.25
2017-12-07,20.25
2017-12-08,20.2
2017-12-11,20.35
2017-12-12,20.25
2017-12-13,20.05
2017-12-14,19.7
2017-12-15,19.45
2017-12-18,19.4
2017-12-19,19.9
2017-12-20,20.1
2017-12-21,19.2
2017-12-22,18.95
2017-12-26,19.15
2017-12-27,19.05
2017-12-28,18.55
2017-12-29,18.55
