Date,DAMODARIND
2017-01-02,77.55
2017-01-03,77.1
2017-01-04,78.2
2017-01-05,78.95
2017-01-06,76.6
2017-01-09,78.75
2017-01-10,79.0
2017-01-11,80.25
2017-01-12,78.25
2017-01-13,82.75
2017-01-16,84.45
2017-01-17,84.95
2017-01-18,83.5
2017-01-19,82.45
2017-01-20,82.55
2017-01-23,80.35
2017-01-24,81.5
2017-01-25,83.55
2017-01-27,82.45
2017-01-30,82.05
2017-01-31,79.3
2017-02-01,80.8
2017-02-02,80.0
2017-02-03,77.5
2017-02-06,78.0
2017-02-07,77.0
2017-02-08,77.1
2017-02-09,78.6
2017-02-10,78.5
2017-02-13,77.15
2017-02-14,77.0
2017-02-15,76.85
2017-02-16,73.85
2017-02-17,74.0
2017-02-20,74.5
2017-02-21,77.2
2017-02-22,75.2
2017-02-23,74.55
2017-02-27,74.0
2017-02-28,74.5
2017-03-01,75.95
2017-03-02,74.35
2017-03-03,76.45
2017-03-06,75.55
2017-03-07,75.1
2017-03-08,76.0
2017-03-09,74.55
2017-03-10,74.75
2017-03-14,77.0
2017-03-15,78.35
2017-03-16,76.15
2017-03-17,77.4
2017-03-20,77.35
2017-03-21,76.95
2017-03-22,75.25
2017-03-23,75.5
2017-03-24,78.25
2017-03-27,78.45
2017-03-28,78.35
2017-03-29,77.8
2017-03-30,79.8
2017-03-31,79.0
2017-04-03,79.65
2017-04-05,79.5
2017-04-06,80.95
2017-04-07,81.15
2017-04-10,80.85
2017-04-11,81.95
2017-04-12,82.1
2017-04-13,83.1
2017-04-17,83.15
2017-04-18,81.2
2017-04-19,81.35
2017-04-20,84.95
2017-04-21,84.2
2017-04-24,92.1
2017-04-25,93.5
2017-04-26,89.75
2017-04-27,93.85
2017-04-28,95.7
2017-05-02,96.25
2017-05-03,97.0
2017-05-04,95.3
2017-05-05,93.1
2017-05-08,96.3
2017-05-09,95.2
2017-05-10,93.85
2017-05-11,92.95
2017-05-12,91.6
2017-05-15,92.15
2017-05-16,91.35
2017-05-17,92.1
2017-05-18,91.25
2017-05-19,90.65
2017-05-22,90.2
2017-05-23,87.45
2017-05-24,83.75
2017-05-25,85.25
2017-05-26,85.85
2017-05-29,83.35
2017-05-30,82.3
2017-05-31,81.15
2017-06-01,83.7
2017-06-02,82.25
2017-06-05,85.6
2017-06-06,86.6
2017-06-07,85.3
2017-06-08,86.5
2017-06-09,87.25
2017-06-12,92.25
2017-06-13,93.2
2017-06-14,91.1
2017-06-15,91.65
2017-06-16,92.65
2017-06-19,88.2
2017-06-20,87.1
2017-06-21,87.1
2017-06-22,86.15
2017-06-23,84.8
2017-06-27,82.1
2017-06-28,83.35
2017-06-29,83.5
2017-06-30,81.7
2017-07-03,84.5
2017-07-04,85.25
2017-07-05,85.5
2017-07-06,85.1
2017-07-07,84.3
2017-07-10,84.75
2017-07-11,86.1
2017-07-12,85.15
2017-07-13,85.15
2017-07-14,85.75
2017-07-17,85.95
2017-07-18,84.95
2017-07-19,83.55
2017-07-20,84.5
2017-07-21,83.0
2017-07-24,82.35
2017-07-25,83.0
2017-07-26,82.95
2017-07-27,83.1
2017-07-28,85.85
2017-07-31,86.05
2017-08-01,85.75
2017-08-02,86.0
2017-08-03,84.2
2017-08-04,84.15
2017-08-07,84.15
2017-08-08,83.0
2017-08-09,83.3
2017-08-10,78.25
2017-08-11,77.0
2017-08-14,82.0
2017-08-16,82.55
2017-08-17,84.85
2017-08-18,83.85
2017-08-21,83.45
2017-08-22,82.6
2017-08-23,85.9
2017-08-24,99.0
2017-08-28,95.25
2017-08-29,93.35
2017-08-30,92.7
2017-08-31,92.5
2017-09-01,92.25
2017-09-04,89.95
2017-09-05,91.5
2017-09-06,92.3
2017-09-07,91.3
2017-09-08,92.35
2017-09-11,91.7
2017-09-12,91.95
2017-09-13,92.0
2017-09-14,92.0
2017-09-15,91.85
2017-09-18,93.1
2017-09-19,96.35
2017-09-20,109.8
2017-09-21,115.7
2017-09-22,111.4
2017-09-25,100.25
2017-09-26,101.85
2017-09-27,102.7
2017-09-28,110.6
2017-09-29,114.95
2017-10-03,112.65
2017-10-04,116.1
2017-10-05,123.9
2017-10-06,131.15
2017-10-09,137.4
2017-10-10,138.05
2017-10-11,128.4
2017-10-12,128.8
2017-10-13,126.75
2017-10-16,124.2
2017-10-17,128.5
2017-10-18,130.15
2017-10-19,130.5
2017-10-23,134.75
2017-10-24,134.3
2017-10-25,128.9
2017-10-26,125.95
2017-10-27,123.5
2017-10-30,123.3
2017-10-31,125.5
2017-11-01,123.9
2017-11-02,123.8
2017-11-03,121.25
2017-11-06,121.2
2017-11-07,119.4
2017-11-08,118.35
2017-11-09,117.3
2017-11-10,118.0
2017-11-13,120.45
2017-11-14,120.25
2017-11-15,112.5
2017-11-16,113.6
2017-11-17,112.3
2017-11-20,113.35
2017-11-21,123.3
2017-11-22,123.1
2017-11-23,122.65
2017-11-24,134.35
2017-11-27,132.15
2017-11-28,131.05
2017-11-29,130.35
2017-11-30,128.1
2017-12-01,122.1
2017-12-04,119.5
2017-12-05,121.05
2017-12-06,120.1
2017-12-07,122.8
2017-12-08,127.55
2017-12-11,128.3
2017-12-12,128.05
2017-12-13,126.4
2017-12-14,123.95
2017-12-15,127.0
2017-12-18,129.25
2017-12-19,128.95
2017-12-20,126.45
2017-12-21,127.1
2017-12-22,124.45
2017-12-26,125.9
2017-12-27,126.0
2017-12-28,125.65
2017-12-29,123.8
