Date,SHIRPUR-G
2017-01-02,100.95
2017-01-03,100.25
2017-01-04,100.15
2017-01-05,105.15
2017-01-06,110.4
2017-01-09,109.65
2017-01-10,110.15
2017-01-11,109.4
2017-01-12,107.6
2017-01-13,106.85
2017-01-16,106.4
2017-01-17,108.0
2017-01-18,107.4
2017-01-19,104.4
2017-01-20,102.3
2017-01-23,103.15
2017-01-24,104.4
2017-01-25,106.45
2017-01-27,105.85
2017-01-30,105.95
2017-01-31,102.25
2017-02-01,105.6
2017-02-02,105.35
2017-02-03,103.8
2017-02-06,102.25
2017-02-07,102.85
2017-02-08,101.9
2017-02-09,102.15
2017-02-10,102.75
2017-02-13,103.1
2017-02-14,101.55
2017-02-15,97.35
2017-02-16,96.95
2017-02-17,96.2
2017-02-20,93.8
2017-02-21,93.0
2017-02-22,94.95
2017-02-23,93.7
2017-02-27,94.55
2017-02-28,93.85
2017-03-01,93.1
2017-03-02,92.35
2017-03-03,91.0
2017-03-06,90.3
2017-03-07,90.05
2017-03-08,99.05
2017-03-09,104.35
2017-03-10,103.35
2017-03-14,100.6
2017-03-15,98.8
2017-03-16,101.55
2017-03-17,99.55
2017-03-20,98.45
2017-03-21,99.85
2017-03-22,95.5
2017-03-23,96.2
2017-03-24,96.0
2017-03-27,95.0
2017-03-28,95.2
2017-03-29,96.0
2017-03-30,103.75
2017-03-31,100.15
2017-04-03,103.75
2017-04-05,104.9
2017-04-06,110.6
2017-04-07,112.9
2017-04-10,116.2
2017-04-11,112.6
2017-04-12,110.45
2017-04-13,110.35
2017-04-17,109.55
2017-04-18,109.55
2017-04-19,107.85
2017-04-20,110.5
2017-04-21,107.6
2017-04-24,105.9
2017-04-25,106.35
2017-04-26,104.65
2017-04-27,103.25
2017-04-28,104.45
2017-05-02,98.2
2017-05-03,98.05
2017-05-04,112.0
2017-05-05,108.7
2017-05-08,113.0
2017-05-09,111.3
2017-05-10,114.05
2017-05-11,118.8
2017-05-12,124.3
2017-05-15,133.7
2017-05-16,127.7
2017-05-17,133.9
2017-05-18,130.9
2017-05-19,130.1
2017-05-22,132.65
2017-05-23,126.8
2017-05-24,124.45
2017-05-25,129.3
2017-05-26,133.6
2017-05-29,135.4
2017-05-30,134.55
2017-05-31,135.65
2017-06-01,143.4
2017-06-02,148.55
2017-06-05,152.95
2017-06-06,148.05
2017-06-07,154.15
2017-06-08,156.35
2017-06-09,156.95
2017-06-12,173.6
2017-06-13,175.1
2017-06-14,162.65
2017-06-15,165.2
2017-06-16,166.65
2017-06-19,165.85
2017-06-20,162.9
2017-06-21,156.65
2017-06-22,148.4
2017-06-23,143.05
2017-06-27,132.35
2017-06-28,129.2
2017-06-29,132.5
2017-06-30,131.35
2017-07-03,136.9
2017-07-04,157.4
2017-07-05,151.1
2017-07-06,151.55
2017-07-07,150.75
2017-07-10,148.5
2017-07-11,150.95
2017-07-12,154.25
2017-07-13,152.9
2017-07-14,152.1
2017-07-17,160.25
2017-07-18,161.8
2017-07-19,173.5
2017-07-20,173.7
2017-07-21,172.5
2017-07-24,170.4
2017-07-25,172.25
2017-07-26,171.5
2017-07-27,161.95
2017-07-28,160.5
2017-07-31,159.75
2017-08-01,156.15
2017-08-02,155.25
2017-08-03,151.0
2017-08-04,149.1
2017-08-07,145.35
2017-08-08,142.1
2017-08-09,145.5
2017-08-10,135.6
2017-08-11,135.35
2017-08-14,137.75
2017-08-16,136.85
2017-08-17,135.8
2017-08-18,138.05
2017-08-21,139.0
2017-08-22,140.65
2017-08-23,143.05
2017-08-24,142.7
2017-08-28,147.5
2017-08-29,145.65
2017-08-30,149.25
2017-08-31,147.5
2017-09-01,150.4
2017-09-04,152.65
2017-09-05,150.15
2017-09-06,148.7
2017-09-07,147.65
2017-09-08,144.6
2017-09-11,142.1
2017-09-12,141.65
2017-09-13,139.55
2017-09-14,137.8
2017-09-15,139.15
2017-09-18,138.95
2017-09-19,139.9
2017-09-20,140.2
2017-09-21,140.1
2017-09-22,135.8
2017-09-25,130.5
2017-09-26,131.15
2017-09-27,130.2
2017-09-28,136.4
2017-09-29,151.75
2017-10-03,154.3
2017-10-04,157.85
2017-10-05,169.85
2017-10-06,167.6
2017-10-09,170.15
2017-10-10,175.05
2017-10-11,165.0
2017-10-12,160.65
2017-10-13,156.7
2017-10-16,156.45
2017-10-17,151.1
2017-10-18,146.95
2017-10-19,155.55
2017-10-23,159.15
2017-10-24,153.55
2017-10-25,153.1
2017-10-26,150.05
2017-10-27,149.25
2017-10-30,147.4
2017-10-31,147.25
2017-11-01,145.5
2017-11-02,142.2
2017-11-03,147.15
2017-11-06,147.85
2017-11-07,144.7
2017-11-08,142.75
2017-11-09,143.1
2017-11-10,144.35
2017-11-13,142.65
2017-11-14,141.7
2017-11-15,140.75
2017-11-16,141.9
2017-11-17,142.1
2017-11-20,141.8
2017-11-21,147.4
2017-11-22,157.35
2017-11-23,178.3
2017-11-24,178.65
2017-11-27,181.4
2017-11-28,168.85
2017-11-29,177.15
2017-11-30,185.0
2017-12-01,177.2
2017-12-04,171.75
2017-12-05,165.45
2017-12-06,165.75
2017-12-07,165.7
2017-12-08,170.5
2017-12-11,166.25
2017-12-12,165.25
2017-12-13,171.85
2017-12-14,169.65
2017-12-15,170.0
2017-12-18,168.5
2017-12-19,169.1
2017-12-20,185.3
2017-12-21,211.6
2017-12-22,219.4
2017-12-26,209.5
2017-12-27,199.05
2017-12-28,202.95
2017-12-29,202.4
