Date,RANEENGINE
2017-01-02,638.95
2017-01-03,635.75
2017-01-04,630.55
2017-01-05,632.55
2017-01-06,630.1
2017-01-09,618.25
2017-01-10,622.15
2017-01-11,637.1
2017-01-12,626.35
2017-01-13,634.45
2017-01-16,626.4
2017-01-17,620.75
2017-01-18,628.0
2017-01-19,616.15
2017-01-20,617.55
2017-01-23,621.65
2017-01-24,618.85
2017-01-25,629.7
2017-01-27,616.2
2017-01-30,602.05
2017-01-31,586.9
2017-02-01,584.25
2017-02-02,579.75
2017-02-03,590.15
2017-02-06,605.55
2017-02-07,610.55
2017-02-08,602.5
2017-02-09,613.15
2017-02-10,603.8
2017-02-13,595.2
2017-02-14,605.05
2017-02-15,602.7
2017-02-16,606.55
2017-02-17,604.15
2017-02-20,595.55
2017-02-21,594.05
2017-02-22,587.85
2017-02-23,597.75
2017-02-27,598.1
2017-02-28,593.5
2017-03-01,592.1
2017-03-02,582.3
2017-03-03,577.15
2017-03-06,577.75
2017-03-07,580.85
2017-03-08,570.75
2017-03-09,572.85
2017-03-10,571.6
2017-03-14,566.55
2017-03-15,573.5
2017-03-16,568.95
2017-03-17,572.0
2017-03-20,564.0
2017-03-21,564.65
2017-03-22,572.35
2017-03-23,566.95
2017-03-24,570.65
2017-03-27,561.65
2017-03-28,556.95
2017-03-29,561.8
2017-03-30,674.15
2017-03-31,682.85
2017-04-03,655.15
2017-04-05,648.35
2017-04-06,647.7
2017-04-07,623.45
2017-04-10,628.8
2017-04-11,625.15
2017-04-12,605.65
2017-04-13,610.15
2017-04-17,614.25
2017-04-18,626.9
2017-04-19,621.75
2017-04-20,624.7
2017-04-21,626.75
2017-04-24,623.95
2017-04-25,619.55
2017-04-26,617.3
2017-04-27,607.4
2017-04-28,609.35
2017-05-02,611.0
2017-05-03,596.0
2017-05-04,596.75
2017-05-05,625.9
2017-05-08,622.5
2017-05-09,622.95
2017-05-10,629.05
2017-05-11,630.5
2017-05-12,618.05
2017-05-15,617.25
2017-05-16,625.0
2017-05-17,614.55
2017-05-18,614.45
2017-05-19,617.25
2017-05-22,605.4
2017-05-23,589.65
2017-05-24,576.65
2017-05-25,576.75
2017-05-26,585.8
2017-05-29,574.9
2017-05-30,564.5
2017-05-31,592.65
2017-06-01,587.95
2017-06-02,665.1
2017-06-05,632.25
2017-06-06,620.05
2017-06-07,635.75
2017-06-08,635.45
2017-06-09,657.6
2017-06-12,638.5
2017-06-13,644.3
2017-06-14,637.35
2017-06-15,644.15
2017-06-16,693.25
2017-06-19,701.65
2017-06-20,692.2
2017-06-21,691.55
2017-06-22,676.1
2017-06-23,655.5
2017-06-27,638.15
2017-06-28,636.1
2017-06-29,631.55
2017-06-30,623.55
2017-07-03,634.7
2017-07-04,636.8
2017-07-05,635.55
2017-07-06,638.35
2017-07-07,641.25
2017-07-10,633.85
2017-07-11,666.95
2017-07-12,683.0
2017-07-13,664.2
2017-07-14,660.65
2017-07-17,670.65
2017-07-18,660.1
2017-07-19,659.35
2017-07-20,650.7
2017-07-21,656.5
2017-07-24,653.25
2017-07-25,658.0
2017-07-26,648.6
2017-07-27,636.55
2017-07-28,631.05
2017-07-31,642.1
2017-08-01,635.05
2017-08-02,628.65
2017-08-03,613.75
2017-08-04,612.75
2017-08-07,609.5
2017-08-08,592.6
2017-08-09,586.05
2017-08-10,579.6
2017-08-11,559.45
2017-08-14,588.8
2017-08-16,609.45
2017-08-17,607.15
2017-08-18,606.15
2017-08-21,581.75
2017-08-22,575.75
2017-08-23,572.85
2017-08-24,565.5
2017-08-28,564.25
2017-08-29,566.35
2017-08-30,572.35
2017-08-31,570.85
2017-09-01,625.9
2017-09-04,592.5
2017-09-05,594.55
2017-09-06,595.25
2017-09-07,598.8
2017-09-08,591.55
2017-09-11,592.2
2017-09-12,584.6
2017-09-13,638.85
2017-09-14,619.15
2017-09-15,638.9
2017-09-18,626.1
2017-09-19,621.65
2017-09-20,619.6
2017-09-21,618.95
2017-09-22,592.75
2017-09-25,585.7
2017-09-26,595.6
2017-09-27,580.85
2017-09-28,588.35
2017-09-29,585.15
2017-10-03,583.5
2017-10-04,592.05
2017-10-05,594.2
2017-10-06,614.75
2017-10-09,633.4
2017-10-10,622.4
2017-10-11,618.8
2017-10-12,620.65
2017-10-13,617.1
2017-10-16,613.65
2017-10-17,622.7
2017-10-18,614.1
2017-10-19,616.35
2017-10-23,616.35
2017-10-24,622.25
2017-10-25,613.7
2017-10-26,617.95
2017-10-27,624.75
2017-10-30,630.15
2017-10-31,641.0
2017-11-01,637.45
2017-11-02,636.15
2017-11-03,638.65
2017-11-06,643.05
2017-11-07,621.0
2017-11-08,636.3
2017-11-09,636.8
2017-11-10,623.3
2017-11-13,617.7
2017-11-14,614.95
2017-11-15,613.9
2017-11-16,618.7
2017-11-17,623.45
2017-11-20,628.45
2017-11-21,614.2
2017-11-22,626.95
2017-11-23,633.0
2017-11-24,652.85
2017-11-27,640.45
2017-11-28,636.95
2017-11-29,669.45
2017-11-30,668.85
2017-12-01,651.8
2017-12-04,647.6
2017-12-05,636.75
2017-12-06,637.95
2017-12-07,657.8
2017-12-08,647.95
2017-12-11,651.2
2017-12-12,642.25
2017-12-13,635.9
2017-12-14,632.7
2017-12-15,634.0
2017-12-18,629.3
2017-12-19,629.1
2017-12-20,631.5
2017-12-21,640.35
2017-12-22,641.3
2017-12-26,640.6
2017-12-27,641.85
2017-12-28,635.7
2017-12-29,636.1
