Date,DHARSUGAR
2017-01-02,38.95
2017-01-03,36.95
2017-01-04,36.3
2017-01-05,35.8
2017-01-06,37.45
2017-01-09,38.2
2017-01-10,41.35
2017-01-11,41.85
2017-01-12,40.0
2017-01-13,40.65
2017-01-16,39.9
2017-01-17,39.95
2017-01-18,39.1
2017-01-19,39.25
2017-01-20,37.95
2017-01-23,38.25
2017-01-24,38.35
2017-01-25,37.75
2017-01-27,37.7
2017-01-30,37.65
2017-01-31,36.55
2017-02-01,37.45
2017-02-02,39.3
2017-02-03,37.95
2017-02-06,40.1
2017-02-07,39.0
2017-02-08,38.75
2017-02-09,38.85
2017-02-10,37.7
2017-02-13,35.55
2017-02-14,34.05
2017-02-15,31.35
2017-02-16,31.15
2017-02-17,30.15
2017-02-20,34.9
2017-02-21,34.25
2017-02-22,32.9
2017-02-23,32.5
2017-02-27,32.35
2017-02-28,32.5
2017-03-01,32.3
2017-03-02,31.85
2017-03-03,33.25
2017-03-06,34.05
2017-03-07,33.35
2017-03-08,32.95
2017-03-09,32.55
2017-03-10,31.75
2017-03-14,31.5
2017-03-15,30.25
2017-03-16,30.4
2017-03-17,30.5
2017-03-20,30.35
2017-03-21,30.05
2017-03-22,29.6
2017-03-23,29.55
2017-03-24,29.2
2017-03-27,29.15
2017-03-28,29.45
2017-03-29,30.4
2017-03-30,30.5
2017-03-31,31.4
2017-04-03,32.1
2017-04-05,32.2
2017-04-06,32.0
2017-04-07,31.65
2017-04-10,31.35
2017-04-11,29.9
2017-04-12,30.8
2017-04-13,30.1
2017-04-17,29.45
2017-04-18,29.05
2017-04-19,29.55
2017-04-20,30.2
2017-04-21,31.4
2017-04-24,31.05
2017-04-25,30.55
2017-04-26,30.1
2017-04-27,30.05
2017-04-28,29.95
2017-05-02,29.95
2017-05-03,29.7
2017-05-04,29.75
2017-05-05,29.35
2017-05-08,29.2
2017-05-09,28.9
2017-05-10,28.95
2017-05-11,29.25
2017-05-12,29.1
2017-05-15,29.35
2017-05-16,29.05
2017-05-17,28.8
2017-05-18,28.35
2017-05-19,28.5
2017-05-22,28.3
2017-05-23,27.45
2017-05-24,26.6
2017-05-25,29.2
2017-05-26,28.5
2017-05-29,27.7
2017-05-30,27.6
2017-05-31,26.7
2017-06-01,27.15
2017-06-02,26.85
2017-06-05,26.85
2017-06-06,25.95
2017-06-07,25.8
2017-06-08,26.35
2017-06-09,26.2
2017-06-12,25.9
2017-06-13,26.15
2017-06-14,28.45
2017-06-15,28.05
2017-06-16,27.6
2017-06-19,26.5
2017-06-20,26.4
2017-06-21,26.9
2017-06-22,26.6
2017-06-23,26.65
2017-06-27,26.0
2017-06-28,25.95
2017-06-29,25.85
2017-06-30,26.6
2017-07-03,26.9
2017-07-04,26.9
2017-07-05,26.75
2017-07-06,26.35
2017-07-07,27.75
2017-07-10,27.65
2017-07-11,27.3
2017-07-12,26.85
2017-07-13,26.55
2017-07-14,26.5
2017-07-17,26.35
2017-07-18,26.5
2017-07-19,26.4
2017-07-20,26.85
2017-07-21,28.0
2017-07-24,27.4
2017-07-25,27.9
2017-07-26,27.4
2017-07-27,26.6
2017-07-28,26.7
2017-07-31,27.0
2017-08-01,26.35
2017-08-02,26.8
2017-08-03,26.5
2017-08-04,26.6
2017-08-07,28.2
2017-08-08,26.9
2017-08-09,26.45
2017-08-10,24.65
2017-08-11,24.25
2017-08-14,24.6
2017-08-16,24.5
2017-08-17,24.9
2017-08-18,24.2
2017-08-21,22.95
2017-08-22,21.95
2017-08-23,21.25
2017-08-24,22.05
2017-08-28,22.35
2017-08-29,21.75
2017-08-30,24.15
2017-08-31,24.2
2017-09-01,23.25
2017-09-04,23.1
2017-09-05,23.1
2017-09-06,23.2
2017-09-07,23.4
2017-09-08,23.05
2017-09-11,23.05
2017-09-12,23.25
2017-09-13,23.3
2017-09-14,23.8
2017-09-15,23.25
2017-09-18,23.05
2017-09-19,27.65
2017-09-20,28.1
2017-09-21,26.7
2017-09-22,26.6
2017-09-25,24.95
2017-09-26,26.95
2017-09-27,25.9
2017-09-28,26.5
2017-09-29,31.35
2017-10-03,32.7
2017-10-04,31.95
2017-10-05,30.1
2017-10-06,30.15
2017-10-09,28.95
2017-10-10,30.9
2017-10-11,30.1
2017-10-12,30.1
2017-10-13,29.9
2017-10-16,29.9
2017-10-17,29.8
2017-10-18,29.75
2017-10-19,30.05
2017-10-23,33.85
2017-10-24,34.85
2017-10-25,35.7
2017-10-26,37.0
2017-10-27,38.25
2017-10-30,35.5
2017-10-31,34.4
2017-11-01,36.4
2017-11-02,35.15
2017-11-03,34.75
2017-11-06,34.75
2017-11-07,32.95
2017-11-08,34.0
2017-11-09,34.0
2017-11-10,40.6
2017-11-13,37.9
2017-11-14,33.05
2017-11-15,31.15
2017-11-16,32.65
2017-11-17,33.1
2017-11-20,32.5
2017-11-21,32.15
2017-11-22,31.8
2017-11-23,33.4
2017-11-24,32.25
2017-11-27,31.85
2017-11-28,31.6
2017-11-29,31.6
2017-11-30,31.25
2017-12-01,30.65
2017-12-04,30.1
2017-12-05,30.15
2017-12-06,30.15
2017-12-07,30.25
2017-12-08,30.65
2017-12-11,30.3
2017-12-12,29.7
2017-12-13,29.65
2017-12-14,29.0
2017-12-15,28.85
2017-12-18,29.05
2017-12-19,30.6
2017-12-20,30.2
2017-12-21,29.6
2017-12-22,30.1
2017-12-26,30.2
2017-12-27,30.0
2017-12-28,29.75
2017-12-29,29.7
