Date,PRAENG
2017-01-02,10.15
2017-01-03,10.65
2017-01-04,11.15
2017-01-05,11.7
2017-01-06,11.85
2017-01-09,11.4
2017-01-10,10.85
2017-01-11,11.05
2017-01-12,10.55
2017-01-13,10.55
2017-01-16,11.05
2017-01-17,11.6
2017-01-18,12.15
2017-01-19,12.75
2017-01-20,13.35
2017-01-23,14.0
2017-01-24,14.7
2017-01-25,14.0
2017-01-27,14.0
2017-01-30,13.45
2017-01-31,12.8
2017-02-01,13.4
2017-03-07,11.75
2017-03-08,11.65
2017-03-09,11.25
2017-03-10,11.15
2017-03-14,11.2
2017-03-15,10.9
2017-03-16,11.1
2017-03-17,11.3
2017-03-20,11.25
2017-03-21,10.95
2017-03-22,10.8
2017-03-23,11.0
2017-03-24,11.05
2017-03-27,10.85
2017-03-28,10.65
2017-03-29,10.45
2017-03-30,10.75
2017-03-31,11.15
2017-04-03,11.7
2017-04-05,12.25
2017-04-06,12.7
2017-04-07,12.7
2017-04-10,13.7
2017-04-11,14.2
2017-04-12,13.05
2017-04-13,13.1
2017-04-17,13.65
2017-04-18,13.2
2017-04-19,14.15
2017-04-20,14.4
2017-04-21,15.0
2017-04-24,15.0
2017-04-25,14.65
2017-04-26,14.15
2017-04-27,13.6
2017-04-28,14.25
2017-05-02,14.35
2017-05-03,14.2
2017-05-04,13.85
2017-05-05,13.8
2017-05-08,14.05
2017-05-09,14.7
2017-05-10,14.7
2017-05-11,14.65
2017-05-12,14.15
2017-05-15,14.2
2017-05-16,13.9
2017-05-17,13.85
2017-05-18,13.55
2017-05-19,13.15
2017-05-22,12.6
2017-05-23,11.35
2017-05-24,10.9
2017-05-25,11.3
2017-05-26,11.35
2017-05-29,10.8
2017-05-30,10.8
2017-05-31,11.1
2017-06-01,11.0
2017-06-02,11.05
2017-06-05,10.6
2017-06-06,10.6
2017-06-07,10.7
2017-06-08,10.3
2017-06-09,10.75
2017-06-12,10.55
2017-06-13,10.95
2017-06-14,10.7
2017-06-15,10.45
2017-06-16,10.95
2017-06-19,11.45
2017-06-20,12.0
2017-06-21,12.6
2017-06-22,12.45
2017-06-23,11.85
2017-06-27,11.3
2017-06-28,11.05
2017-06-29,11.1
2017-06-30,10.85
2017-07-03,10.9
2017-07-04,11.0
2017-07-05,11.0
2017-07-06,11.1
2017-07-07,11.3
2017-07-10,11.2
2017-07-11,11.2
2017-07-12,11.05
2017-07-13,11.0
2017-07-14,10.9
2017-07-17,10.55
2017-07-18,10.5
2017-07-19,10.7
2017-07-20,10.9
2017-07-21,10.75
2017-07-24,10.45
2017-07-25,10.05
2017-07-26,9.85
2017-07-27,9.8
2017-07-28,9.5
2017-07-31,9.25
2017-08-01,9.35
2017-08-02,9.25
2017-08-03,9.65
2017-08-04,9.9
2017-08-07,9.55
2017-08-08,9.1
2017-08-09,9.0
2017-08-10,8.55
2017-08-11,8.15
2017-08-14,7.8
2017-08-16,7.9
2017-08-17,7.9
2017-08-18,7.75
2017-08-21,7.65
2017-08-22,7.6
2017-08-23,7.95
2017-08-24,8.3
2017-08-28,8.7
2017-08-29,9.05
2017-08-30,9.0
2017-08-31,8.6
2017-09-01,8.35
2017-09-04,8.05
2017-09-05,7.95
2017-09-06,7.85
2017-09-07,8.2
2017-09-08,8.1
2017-09-11,8.2
2017-09-12,8.55
2017-09-13,8.95
2017-09-14,9.35
2017-09-15,9.8
2017-09-18,10.25
2017-09-19,10.1
2017-09-20,9.8
2017-09-21,9.45
2017-09-22,9.1
2017-09-25,9.05
2017-09-26,9.25
2017-09-27,8.9
2017-09-28,9.0
2017-09-29,8.7
2017-10-03,8.3
2017-10-04,8.0
2017-10-05,7.85
2017-10-06,8.2
2017-10-09,8.6
2017-10-10,9.0
2017-10-11,9.15
2017-10-12,8.9
2017-10-13,8.65
2017-10-16,8.25
2017-10-17,8.0
2017-10-18,8.0
2017-10-19,8.1
2017-10-23,8.15
2017-10-24,8.55
2017-10-25,8.6
2017-10-26,8.9
2017-10-27,8.75
2017-10-30,8.75
2017-10-31,8.9
2017-11-01,9.3
2017-11-02,9.35
2017-11-03,9.5
2017-11-06,9.25
2017-11-07,9.6
2017-11-08,10.05
2017-11-09,10.55
2017-11-10,11.05
2017-11-13,11.6
2017-11-14,12.15
2017-11-15,11.55
2017-11-16,11.0
2017-11-17,11.25
2017-11-20,11.8
2017-11-21,12.35
2017-11-22,11.85
2017-11-23,11.95
2017-11-24,11.55
2017-11-27,11.45
2017-11-28,11.45
2017-11-29,10.9
2017-11-30,10.4
2017-12-01,10.8
2017-12-04,10.65
2017-12-05,10.4
2017-12-06,10.1
2017-12-07,11.1
2017-12-08,12.2
2017-12-11,11.9
2017-12-12,11.65
2017-12-13,12.3
2017-12-14,12.15
2017-12-15,11.95
2017-12-18,12.1
2017-12-19,12.05
2017-12-20,13.1
2017-12-21,14.4
2017-12-22,14.1
2017-12-26,14.65
2017-12-27,14.3
2017-12-28,14.55
2017-12-29,14.9
