Date,JPASSOCIAT
2017-01-02,8.3
2017-01-03,8.2
2017-01-04,9.8
2017-01-05,10.55
2017-01-06,10.4
2017-01-09,10.6
2017-01-10,10.55
2017-01-11,10.35
2017-01-12,10.3
2017-01-13,9.85
2017-01-16,9.8
2017-01-17,9.7
2017-01-18,10.2
2017-01-19,10.25
2017-01-20,9.85
2017-01-23,10.0
2017-01-24,10.3
2017-01-25,10.75
2017-01-27,10.5
2017-01-30,10.65
2017-01-31,11.4
2017-02-01,12.45
2017-02-02,12.85
2017-02-03,13.0
2017-02-06,13.75
2017-02-07,13.05
2017-02-08,13.9
2017-02-09,14.05
2017-02-10,13.4
2017-02-13,13.15
2017-02-14,13.0
2017-02-15,12.05
2017-02-16,13.6
2017-02-17,14.95
2017-02-20,15.05
2017-02-21,14.45
2017-02-22,13.9
2017-02-23,14.75
2017-02-27,16.2
2017-02-28,16.45
2017-03-01,16.0
2017-03-02,14.95
2017-03-03,15.3
2017-03-06,15.45
2017-03-07,15.25
2017-03-08,15.1
2017-03-09,15.05
2017-03-10,14.95
2017-03-14,14.05
2017-03-15,14.9
2017-03-16,14.85
2017-03-17,13.9
2017-03-20,13.1
2017-03-21,13.45
2017-03-22,13.2
2017-03-23,13.35
2017-03-24,13.4
2017-03-27,13.05
2017-03-28,13.55
2017-03-29,13.8
2017-03-30,13.95
2017-03-31,13.75
2017-04-03,13.65
2017-04-05,14.2
2017-04-06,13.95
2017-04-07,12.9
2017-04-10,12.85
2017-04-11,13.5
2017-04-12,12.95
2017-04-13,12.8
2017-04-17,12.65
2017-04-18,12.6
2017-04-19,12.7
2017-04-20,12.6
2017-04-21,12.75
2017-04-24,13.25
2017-04-25,13.0
2017-04-26,13.1
2017-04-27,13.55
2017-04-28,13.65
2017-05-02,13.35
2017-05-03,13.0
2017-05-04,12.95
2017-05-05,12.45
2017-05-08,12.9
2017-05-09,13.1
2017-05-10,13.05
2017-05-11,12.95
2017-05-12,12.65
2017-05-15,12.7
2017-05-16,12.45
2017-05-17,12.45
2017-05-18,12.95
2017-05-19,12.45
2017-05-22,11.4
2017-05-23,10.25
2017-05-24,9.3
2017-05-25,11.5
2017-05-26,12.65
2017-05-29,11.05
2017-05-30,11.8
2017-05-31,12.05
2017-06-01,12.2
2017-06-02,12.55
2017-06-05,12.7
2017-06-06,12.75
2017-06-07,12.9
2017-06-08,12.6
2017-06-09,12.35
2017-06-12,12.4
2017-06-13,13.35
2017-06-14,13.6
2017-06-15,14.4
2017-06-16,14.85
2017-06-19,14.75
2017-06-20,14.75
2017-06-21,15.4
2017-06-22,16.4
2017-06-23,18.75
2017-06-27,21.0
2017-06-28,20.05
2017-06-29,22.7
2017-06-30,21.8
2017-07-03,20.7
2017-07-04,19.5
2017-07-05,21.0
2017-07-06,21.0
2017-07-07,22.1
2017-07-10,21.9
2017-07-11,20.9
2017-07-12,20.95
2017-07-13,21.25
2017-07-14,20.75
2017-07-17,22.3
2017-07-18,21.85
2017-07-19,23.05
2017-07-20,23.05
2017-07-21,26.6
2017-07-24,27.7
2017-07-25,26.8
2017-07-26,28.95
2017-07-27,28.75
2017-07-28,29.55
2017-07-31,29.4
2017-08-01,28.45
2017-08-02,25.95
2017-08-03,25.0
2017-08-04,25.35
2017-08-07,28.95
2017-08-08,26.2
2017-08-09,25.6
2017-08-10,23.3
2017-08-11,21.25
2017-08-14,22.95
2017-08-16,23.9
2017-08-17,23.5
2017-08-18,22.8
2017-08-21,21.85
2017-08-22,21.0
2017-08-23,21.5
2017-08-24,23.35
2017-08-28,23.5
2017-08-29,21.25
2017-08-30,23.9
2017-08-31,23.9
2017-09-01,24.6
2017-09-04,23.85
2017-09-05,24.0
2017-09-06,23.65
2017-09-07,23.85
2017-09-08,23.35
2017-09-11,21.85
2017-09-12,21.9
2017-09-13,21.5
2017-09-14,21.25
2017-09-15,20.3
2017-09-18,18.55
2017-09-19,17.65
2017-09-20,18.55
2017-09-21,19.3
2017-09-22,18.15
2017-09-25,17.05
2017-09-26,16.45
2017-09-27,15.55
2017-09-28,16.6
2017-09-29,17.95
2017-10-03,18.2
2017-10-04,18.9
2017-10-05,19.1
2017-10-06,19.9
2017-10-09,18.6
2017-10-10,19.25
2017-10-11,18.55
2017-10-12,19.2
2017-10-13,19.75
2017-10-16,19.2
2017-10-17,19.35
2017-10-18,18.9
2017-10-19,18.8
2017-10-23,18.8
2017-10-24,18.8
2017-10-25,20.2
2017-10-26,18.2
2017-10-27,18.3
2017-10-30,18.5
2017-10-31,18.5
2017-11-01,18.3
2017-11-02,17.85
2017-11-03,18.3
2017-11-06,17.9
2017-11-07,17.55
2017-11-08,16.9
2017-11-09,17.15
2017-11-10,18.3
2017-11-13,21.3
2017-11-14,19.75
2017-11-15,18.4
2017-11-16,18.7
2017-11-17,18.65
2017-11-20,18.75
2017-11-21,18.75
2017-11-22,19.25
2017-11-23,18.75
2017-11-24,18.9
2017-11-27,18.9
2017-11-28,18.65
2017-11-29,18.5
2017-11-30,18.1
2017-12-01,17.7
2017-12-04,17.25
2017-12-05,17.05
2017-12-06,16.55
2017-12-07,16.95
2017-12-08,18.0
2017-12-11,17.55
2017-12-12,17.95
2017-12-13,18.05
2017-12-14,17.6
2017-12-15,17.55
2017-12-18,17.05
2017-12-19,17.1
2017-12-20,17.55
2017-12-21,18.55
2017-12-22,18.35
2017-12-26,19.8
2017-12-27,21.35
2017-12-28,23.2
2017-12-29,26.0
