Date,DCMSHRIRAM
2017-01-02,217.35
2017-01-03,222.6
2017-01-04,218.2
2017-01-05,225.6
2017-01-06,239.45
2017-01-09,241.3
2017-01-10,265.15
2017-01-11,272.2
2017-01-12,262.95
2017-01-13,263.55
2017-01-16,263.0
2017-01-17,263.75
2017-01-18,263.05
2017-01-19,262.4
2017-01-20,262.45
2017-01-23,262.35
2017-01-24,266.0
2017-01-25,276.15
2017-01-27,277.1
2017-01-30,276.45
2017-01-31,265.1
2017-02-01,273.45
2017-02-02,279.45
2017-02-03,279.65
2017-02-06,283.5
2017-02-07,284.5
2017-02-08,289.6
2017-02-09,279.8
2017-02-10,277.5
2017-02-13,276.45
2017-02-14,283.85
2017-02-15,275.3
2017-02-16,274.5
2017-02-17,277.4
2017-02-20,276.85
2017-02-21,287.75
2017-02-22,286.3
2017-02-23,288.65
2017-02-27,278.75
2017-02-28,274.55
2017-03-01,278.45
2017-03-02,277.4
2017-03-03,282.4
2017-03-06,278.6
2017-03-07,274.3
2017-03-08,276.15
2017-03-09,271.4
2017-03-10,273.35
2017-03-14,274.25
2017-03-15,276.2
2017-03-16,275.75
2017-03-17,280.15
2017-03-20,282.05
2017-03-21,279.0
2017-03-22,280.2
2017-03-23,276.55
2017-03-24,298.5
2017-03-27,294.55
2017-03-28,292.4
2017-03-29,292.9
2017-03-30,291.4
2017-03-31,295.35
2017-04-03,301.55
2017-04-05,313.1
2017-04-06,317.8
2017-04-07,324.0
2017-04-10,328.55
2017-04-11,326.95
2017-04-12,331.65
2017-04-13,327.15
2017-04-17,323.7
2017-04-18,319.8
2017-04-19,318.2
2017-04-20,319.55
2017-04-21,334.9
2017-04-24,337.85
2017-04-25,340.0
2017-04-26,351.85
2017-04-27,344.3
2017-04-28,354.7
2017-05-02,375.25
2017-05-03,368.95
2017-05-04,374.4
2017-05-05,366.65
2017-05-08,376.95
2017-05-09,376.9
2017-05-10,378.15
2017-05-11,377.4
2017-05-12,375.4
2017-05-15,381.95
2017-05-16,377.45
2017-05-17,391.0
2017-05-18,381.75
2017-05-19,381.6
2017-05-22,376.95
2017-05-23,371.2
2017-05-24,369.7
2017-05-25,363.45
2017-05-26,364.6
2017-05-29,364.55
2017-05-30,365.25
2017-05-31,360.75
2017-06-01,365.6
2017-06-02,367.2
2017-06-05,363.8
2017-06-06,365.85
2017-06-07,369.7
2017-06-08,367.3
2017-06-09,367.5
2017-06-12,384.35
2017-06-13,386.4
2017-06-14,379.95
2017-06-15,381.0
2017-06-16,362.15
2017-06-19,364.05
2017-06-20,363.0
2017-06-21,362.65
2017-06-22,366.05
2017-06-23,357.35
2017-06-27,342.65
2017-06-28,338.0
2017-06-29,339.25
2017-06-30,343.7
2017-07-03,348.6
2017-07-04,352.75
2017-07-05,357.05
2017-07-06,352.35
2017-07-07,361.35
2017-07-10,362.35
2017-07-11,359.35
2017-07-12,356.25
2017-07-13,349.7
2017-07-14,349.7
2017-07-17,342.75
2017-07-18,339.9
2017-07-19,347.05
2017-07-20,358.95
2017-07-21,357.3
2017-07-24,350.35
2017-07-25,352.2
2017-07-26,348.3
2017-07-27,338.0
2017-07-28,348.1
2017-07-31,369.05
2017-08-01,386.85
2017-08-02,388.0
2017-08-03,388.5
2017-08-04,395.8
2017-08-07,401.05
2017-08-08,375.6
2017-08-09,373.2
2017-08-10,364.65
2017-08-11,368.8
2017-08-14,384.45
2017-08-16,389.15
2017-08-17,381.3
2017-08-18,388.75
2017-08-21,383.1
2017-08-22,381.0
2017-08-23,386.45
2017-08-24,392.6
2017-08-28,402.35
2017-08-29,397.65
2017-08-30,400.65
2017-08-31,402.2
2017-09-01,410.25
2017-09-04,404.05
2017-09-05,405.85
2017-09-06,420.1
2017-09-07,435.25
2017-09-08,431.55
2017-09-11,454.85
2017-09-12,461.95
2017-09-13,452.9
2017-09-14,445.85
2017-09-15,437.2
2017-09-18,439.05
2017-09-19,450.25
2017-09-20,462.35
2017-09-21,449.8
2017-09-22,447.0
2017-09-25,437.35
2017-09-26,425.0
2017-09-27,404.9
2017-09-28,405.1
2017-09-29,422.55
2017-10-03,429.45
2017-10-04,457.45
2017-10-05,464.4
2017-10-06,478.85
2017-10-09,483.3
2017-10-10,481.45
2017-10-11,473.5
2017-10-12,481.55
2017-10-13,511.7
2017-10-16,518.3
2017-10-17,519.55
2017-10-18,519.75
2017-10-19,525.3
2017-10-23,513.7
2017-10-24,517.5
2017-10-25,511.75
2017-10-26,513.35
2017-10-27,510.65
2017-10-30,536.1
2017-10-31,523.8
2017-11-01,532.3
2017-11-02,537.15
2017-11-03,536.0
2017-11-06,554.1
2017-11-07,539.55
2017-11-08,565.35
2017-11-09,549.2
2017-11-10,546.7
2017-11-13,546.3
2017-11-14,578.85
2017-11-15,580.1
2017-11-16,561.6
2017-11-17,550.15
2017-11-20,546.35
2017-11-21,538.35
2017-11-22,528.9
2017-11-23,532.5
2017-11-24,528.15
2017-11-27,550.0
2017-11-28,555.7
2017-11-29,556.1
2017-11-30,562.55
2017-12-01,554.55
2017-12-04,559.1
2017-12-05,564.7
2017-12-06,565.15
2017-12-07,562.65
2017-12-08,564.65
2017-12-11,573.8
2017-12-12,583.85
2017-12-13,574.8
2017-12-14,604.3
2017-12-15,612.55
2017-12-18,610.25
2017-12-19,617.5
2017-12-20,610.4
2017-12-21,603.55
2017-12-22,583.5
2017-12-26,577.0
2017-12-27,561.5
2017-12-28,566.6
2017-12-29,557.3
