Date,KOTARISUG
2017-01-02,15.95
2017-01-03,15.4
2017-01-04,15.85
2017-01-05,15.7
2017-01-06,15.55
2017-01-09,15.75
2017-01-10,16.7
2017-01-11,16.05
2017-01-12,15.8
2017-01-13,15.55
2017-01-16,15.6
2017-01-17,15.35
2017-01-18,15.0
2017-01-19,14.8
2017-01-20,14.55
2017-01-23,14.8
2017-01-24,14.8
2017-01-25,14.6
2017-01-27,14.4
2017-01-30,14.3
2017-01-31,14.3
2017-02-01,14.65
2017-02-02,16.6
2017-02-03,16.45
2017-02-06,16.95
2017-02-07,16.55
2017-02-08,16.3
2017-02-09,15.85
2017-02-10,16.1
2017-02-13,16.15
2017-02-14,15.4
2017-02-15,14.65
2017-02-16,14.5
2017-02-17,14.3
2017-02-20,14.75
2017-02-21,14.65
2017-02-22,14.55
2017-02-23,14.35
2017-02-27,14.3
2017-02-28,14.6
2017-03-01,14.45
2017-03-02,14.25
2017-03-03,14.7
2017-03-06,15.0
2017-03-07,14.7
2017-03-08,14.3
2017-03-09,14.3
2017-03-10,14.2
2017-03-14,14.25
2017-03-15,13.85
2017-03-16,14.25
2017-03-17,14.2
2017-03-20,14.0
2017-03-21,13.45
2017-03-22,13.5
2017-03-23,13.6
2017-03-24,13.55
2017-03-27,13.35
2017-03-28,13.45
2017-03-29,13.5
2017-03-30,13.1
2017-03-31,13.55
2017-04-03,13.95
2017-04-05,14.4
2017-04-06,13.9
2017-04-07,13.75
2017-04-10,13.7
2017-04-11,13.7
2017-04-12,13.9
2017-04-13,13.7
2017-04-17,13.7
2017-04-18,13.6
2017-04-19,14.05
2017-04-20,14.45
2017-04-21,14.95
2017-04-24,14.6
2017-04-25,14.7
2017-04-26,14.4
2017-04-27,14.3
2017-04-28,14.25
2017-05-02,14.05
2017-05-03,13.9
2017-05-04,13.7
2017-05-05,13.7
2017-05-08,13.6
2017-05-09,13.65
2017-05-10,13.8
2017-05-11,14.15
2017-05-12,14.15
2017-05-15,14.0
2017-05-16,13.85
2017-05-17,13.9
2017-05-18,13.75
2017-05-19,13.45
2017-05-22,13.35
2017-05-23,13.25
2017-05-24,12.85
2017-05-25,13.2
2017-05-26,13.2
2017-05-29,13.2
2017-05-30,12.6
2017-05-31,13.3
2017-06-01,13.45
2017-06-02,13.25
2017-06-05,13.25
2017-06-06,13.1
2017-06-07,13.05
2017-06-08,13.4
2017-06-09,13.35
2017-06-12,13.0
2017-06-13,13.1
2017-06-14,13.15
2017-06-15,13.2
2017-06-16,13.15
2017-06-19,13.15
2017-06-20,12.9
2017-06-21,13.1
2017-06-22,13.05
2017-06-23,12.95
2017-06-27,13.05
2017-06-28,12.85
2017-06-29,13.1
2017-06-30,13.05
2017-07-03,13.3
2017-07-04,13.05
2017-07-05,12.9
2017-07-06,13.2
2017-07-07,13.75
2017-07-10,13.2
2017-07-11,13.25
2017-07-12,13.35
2017-07-13,13.5
2017-07-14,13.35
2017-07-17,13.45
2017-07-18,13.15
2017-07-19,13.25
2017-07-20,13.25
2017-07-21,13.65
2017-07-24,13.6
2017-07-25,14.2
2017-07-26,13.65
2017-07-27,13.55
2017-07-28,13.4
2017-07-31,13.4
2017-08-01,13.3
2017-08-02,13.55
2017-08-03,13.45
2017-08-04,13.25
2017-08-07,15.05
2017-08-08,14.4
2017-08-09,13.65
2017-08-10,13.3
2017-08-11,13.1
2017-08-14,13.45
2017-08-16,13.45
2017-08-17,13.45
2017-08-18,13.45
2017-08-21,13.35
2017-08-22,13.2
2017-08-23,13.15
2017-08-24,13.6
2017-08-28,13.8
2017-08-29,14.25
2017-08-30,15.1
2017-08-31,14.85
2017-09-01,14.55
2017-09-04,14.2
2017-09-05,13.7
2017-09-06,13.65
2017-09-07,13.6
2017-09-08,13.95
2017-09-11,13.7
2017-09-12,13.7
2017-09-13,13.85
2017-09-14,13.8
2017-09-15,13.8
2017-09-18,14.0
2017-09-19,13.8
2017-09-20,13.7
2017-09-21,13.55
2017-09-22,13.55
2017-09-25,13.35
2017-09-26,13.55
2017-09-27,13.15
2017-09-28,13.25
2017-09-29,13.5
2017-10-03,13.5
2017-10-04,13.1
2017-10-05,13.15
2017-10-06,13.35
2017-10-09,13.15
2017-10-10,13.85
2017-10-11,14.15
2017-10-12,14.25
2017-10-13,13.75
2017-10-16,13.7
2017-10-17,13.65
2017-10-18,13.4
2017-10-19,13.75
2017-10-23,14.35
2017-10-24,13.95
2017-10-25,14.0
2017-10-26,13.95
2017-10-27,14.05
2017-10-30,14.1
2017-10-31,14.0
2017-11-01,14.25
2017-11-02,14.2
2017-11-03,14.6
2017-11-06,16.35
2017-11-07,15.6
2017-11-08,15.8
2017-11-09,16.0
2017-11-10,15.9
2017-11-13,15.5
2017-11-14,15.75
2017-11-15,14.65
2017-11-16,14.8
2017-11-17,15.2
2017-11-20,15.1
2017-11-21,14.95
2017-11-22,15.1
2017-11-23,15.8
2017-11-24,15.95
2017-11-27,16.15
2017-11-28,16.05
2017-11-29,16.5
2017-11-30,16.25
2017-12-01,16.45
2017-12-04,18.4
2017-12-05,18.0
2017-12-06,18.25
2017-12-07,17.9
2017-12-08,19.15
2017-12-11,20.25
2017-12-12,21.25
2017-12-13,23.0
2017-12-14,23.2
2017-12-15,23.05
2017-12-18,22.2
2017-12-19,22.9
2017-12-20,21.35
2017-12-21,20.1
2017-12-22,20.1
2017-12-26,20.25
2017-12-27,20.65
2017-12-28,19.9
2017-12-29,19.8
