Date,ENDURANCE
2017-06-28,887.05
2017-06-29,872.65
2017-06-30,875.45
2017-07-03,874.45
2017-07-04,874.2
2017-07-05,867.4
2017-07-06,860.4
2017-07-07,859.35
2017-07-10,863.05
2017-07-11,883.15
2017-07-12,902.35
2017-07-13,897.15
2017-07-14,881.95
2017-07-17,887.45
2017-07-18,869.8
2017-07-19,880.15
2017-07-20,886.15
2017-07-21,889.85
2017-07-24,916.35
2017-07-25,912.7
2017-07-26,915.15
2017-07-27,924.4
2017-07-28,917.1
2017-07-31,904.5
2017-08-01,919.6
2017-08-02,915.45
2017-08-03,912.8
2017-08-04,902.6
2017-08-07,921.9
2017-08-08,925.45
2017-08-09,975.35
2017-08-10,940.7
2017-08-11,973.2
2017-08-14,1002.1
2017-08-16,1008.55
2017-08-17,1003.1
2017-08-18,985.9
2017-08-21,957.5
2017-08-22,970.1
2017-08-23,959.95
2017-08-24,952.95
2017-08-28,976.95
2017-08-29,982.3
2017-08-30,963.75
2017-08-31,997.3
2017-09-01,988.05
2017-09-04,985.1
2017-09-05,1025.8
2017-09-06,1007.65
2017-09-07,998.3
2017-09-08,1001.15
2017-09-11,1022.1
2017-09-12,1025.35
2017-09-13,1018.9
2017-09-14,1012.5
2017-09-15,1020.7
2017-09-18,1029.4
2017-09-19,1059.25
2017-09-20,1059.5
2017-09-21,1020.95
2017-09-22,1015.5
2017-09-25,987.25
2017-09-26,1014.7
2017-09-27,995.8
2017-09-28,979.15
2017-09-29,992.7
2017-10-03,984.4
2017-10-04,1010.2
2017-10-05,1060.1
2017-10-06,1107.5
2017-10-09,1086.3
2017-10-10,1094.15
2017-10-11,1097.65
2017-10-12,1082.15
2017-10-13,1114.85
2017-10-16,1132.7
2017-10-17,1109.0
2017-10-18,1107.45
2017-10-19,1097.05
2017-10-23,1076.85
2017-10-24,1069.25
2017-10-25,1113.45
2017-10-26,1068.95
2017-10-27,1081.15
2017-10-30,1124.35
2017-10-31,1158.6
2017-11-01,1186.15
2017-11-02,1197.0
2017-11-03,1194.15
2017-11-06,1181.25
2017-11-07,1181.8
2017-11-08,1156.15
2017-11-09,1152.7
2017-11-10,1136.8
2017-11-13,1125.75
2017-11-14,1156.95
2017-11-15,1172.3
2017-11-16,1192.4
2017-11-17,1197.85
2017-11-20,1205.05
2017-11-21,1190.25
2017-11-22,1193.6
2017-11-23,1190.4
2017-11-24,1202.85
2017-11-27,1200.4
2017-11-28,1200.45
2017-11-29,1196.85
2017-11-30,1274.55
2017-12-01,1294.8
2017-12-04,1266.1
2017-12-05,1224.55
2017-12-06,1221.65
2017-12-07,1233.7
2017-12-08,1257.55
2017-12-11,1217.1
2017-12-12,1240.7
2017-12-13,1226.2
2017-12-14,1218.1
2017-12-15,1274.3
2017-12-18,1280.8
2017-12-19,1281.0
2017-12-20,1275.45
2017-12-21,1324.8
2017-12-22,1347.85
2017-12-26,1356.65
2017-12-27,1355.9
2017-12-28,1370.25
2017-12-29,1363.3
