Date,ENDURANCE
2017-01-02,578.55
2017-01-03,572.75
2017-01-04,571.3
2017-01-05,573.55
2017-01-06,562.85
2017-01-09,563.7
2017-01-10,558.15
2017-01-11,574.2
2017-01-12,600.25
2017-01-13,587.05
2017-01-16,584.25
2017-01-17,583.25
2017-01-18,594.0
2017-01-19,601.35
2017-01-20,586.35
2017-01-23,584.3
2017-01-24,596.55
2017-01-25,612.2
2017-01-27,608.9
2017-01-30,625.65
2017-01-31,614.9
2017-02-01,633.05
2017-02-02,640.7
2017-02-03,634.1
2017-02-06,639.8
2017-02-07,638.0
2017-02-08,631.55
2017-02-09,620.05
2017-02-10,640.6
2017-02-13,655.8
2017-02-14,675.35
2017-02-15,664.35
2017-02-16,661.5
2017-02-17,663.8
2017-02-20,671.85
2017-02-21,672.55
2017-02-22,668.8
2017-02-23,690.85
2017-02-27,715.6
2017-02-28,705.9
2017-03-01,715.7
2017-03-02,701.85
2017-03-03,688.05
2017-03-06,691.25
2017-03-07,700.1
2017-03-08,702.1
2017-03-09,699.35
2017-03-10,688.2
2017-03-14,698.1
2017-03-15,700.5
2017-03-16,704.3
2017-03-17,698.75
2017-03-20,700.9
2017-03-21,705.75
2017-03-22,726.9
2017-03-23,738.8
2017-03-24,727.75
2017-03-27,722.6
2017-03-28,718.85
2017-03-29,735.0
2017-03-30,749.5
2017-03-31,768.5
2017-04-03,769.7
2017-04-05,780.3
2017-04-06,780.55
2017-04-07,800.45
2017-04-10,831.5
2017-04-11,837.0
2017-04-12,832.85
2017-04-13,832.25
2017-04-17,821.2
2017-04-18,818.05
2017-04-19,813.75
2017-04-20,829.75
2017-04-21,827.25
2017-04-24,843.6
2017-04-25,832.85
2017-04-26,821.65
2017-04-27,806.75
2017-04-28,806.1
2017-05-02,811.45
2017-05-03,802.15
2017-05-04,804.8
2017-05-05,797.65
2017-05-08,795.8
2017-05-09,794.95
2017-05-10,809.65
2017-05-11,797.7
2017-05-12,810.8
2017-05-15,820.95
2017-05-16,798.9
2017-05-17,807.35
2017-05-18,803.85
2017-05-19,800.85
2017-05-22,805.2
2017-05-23,801.85
2017-05-24,831.2
2017-05-25,819.2
2017-05-26,813.1
2017-05-29,818.2
2017-05-30,814.5
2017-05-31,841.4
2017-06-01,840.05
2017-06-02,868.55
2017-06-05,869.75
2017-06-06,879.7
2017-06-07,899.45
2017-06-08,882.5
2017-06-09,892.55
2017-06-12,876.7
2017-06-13,881.8
2017-06-14,889.55
2017-06-15,921.0
2017-06-16,936.8
2017-06-19,932.0
2017-06-20,904.0
2017-06-21,896.45
2017-06-22,892.75
2017-06-23,877.9
2017-06-27,889.85
