Date,CAPTRUST
2017-01-16,455.4
2017-01-17,454.45
2017-01-18,447.3
2017-01-19,442.05
2017-01-20,430.35
2017-01-23,442.95
2017-01-24,444.55
2017-01-25,494.1
2017-01-27,493.95
2017-01-30,477.3
2017-01-31,469.35
2017-02-01,476.3
2017-02-02,485.5
2017-02-03,493.0
2017-02-06,499.7
2017-02-07,493.25
2017-02-08,487.3
2017-02-09,493.55
2017-02-10,471.45
2017-02-13,461.4
2017-02-14,469.0
2017-02-15,456.1
2017-02-16,480.5
2017-02-17,485.35
2017-02-20,499.95
2017-02-21,499.7
2017-02-22,483.5
2017-02-23,483.4
2017-02-27,461.5
2017-02-28,469.85
2017-03-01,462.05
2017-03-02,460.55
2017-03-03,467.75
2017-03-06,461.2
2017-03-07,464.85
2017-03-08,466.4
2017-03-09,463.3
2017-03-10,454.95
2017-03-14,450.25
2017-03-15,436.5
2017-03-16,440.95
2017-03-17,447.1
2017-03-20,443.4
2017-03-21,452.0
2017-03-22,444.65
2017-03-23,443.5
2017-03-24,446.4
2017-03-27,441.15
2017-03-28,430.3
2017-03-29,418.3
2017-03-30,425.5
2017-03-31,445.35
2017-04-03,440.85
2017-04-05,427.0
2017-04-06,415.15
2017-04-07,416.05
2017-04-10,404.3
2017-04-11,408.05
2017-04-12,403.6
2017-04-13,405.7
2017-04-17,406.15
2017-04-18,407.2
2017-04-19,424.0
2017-04-20,422.1
2017-04-21,410.6
2017-04-24,414.6
2017-04-25,410.5
2017-04-26,398.1
2017-04-27,389.8
2017-04-28,389.5
2017-05-02,383.95
2017-05-03,373.95
2017-05-04,400.9
2017-05-05,401.85
2017-05-08,393.55
2017-05-09,394.0
2017-05-10,400.75
2017-05-11,391.05
2017-05-12,399.05
2017-05-15,393.25
2017-05-16,400.6
2017-05-17,400.55
2017-05-18,405.95
2017-05-19,397.95
2017-05-22,405.95
2017-05-23,411.5
2017-05-24,381.65
2017-05-25,390.6
2017-05-26,393.0
2017-05-29,399.6
2017-05-30,400.0
2017-05-31,399.5
2017-06-01,399.8
2017-06-02,400.95
2017-06-05,393.45
2017-06-06,389.2
2017-06-07,386.0
2017-06-08,398.5
2017-06-09,398.8
2017-06-12,399.55
2017-06-13,395.65
2017-06-14,388.15
2017-06-15,397.4
2017-06-16,387.75
2017-06-19,379.2
2017-06-20,374.05
2017-06-21,378.8
2017-06-22,384.6
2017-06-23,379.9
2017-06-27,373.4
2017-06-28,375.4
2017-06-29,374.35
2017-06-30,376.2
2017-07-03,374.75
2017-07-04,373.25
2017-07-05,379.15
2017-07-06,373.0
2017-07-07,371.5
2017-07-10,365.65
2017-07-11,373.6
2017-07-12,372.55
2017-07-13,373.45
2017-07-14,373.55
2017-07-17,366.85
2017-07-18,359.1
2017-07-19,368.25
2017-07-20,388.85
2017-07-21,389.7
2017-07-24,401.55
2017-07-25,413.35
2017-07-26,414.5
2017-07-27,418.75
2017-07-28,459.25
2017-07-31,473.75
2017-08-01,463.5
2017-08-02,452.6
2017-08-03,468.4
2017-08-04,475.6
2017-08-07,476.25
2017-08-08,480.3
2017-08-09,480.05
2017-08-10,475.5
2017-08-11,451.15
2017-08-14,447.4
2017-08-16,441.6
2017-08-17,454.75
2017-08-18,439.2
2017-08-21,445.8
2017-08-22,435.05
2017-08-23,437.9
2017-08-24,452.2
2017-08-28,458.5
2017-08-29,460.0
2017-08-30,491.75
2017-08-31,497.25
2017-09-01,532.05
2017-09-04,539.75
2017-09-05,551.0
2017-09-06,530.5
2017-09-07,517.95
2017-09-08,502.6
2017-09-11,489.55
2017-09-12,489.6
2017-09-13,495.1
2017-09-14,502.7
2017-09-15,492.75
2017-09-18,489.55
2017-09-19,493.2
2017-09-20,514.15
2017-09-21,521.25
2017-09-22,500.75
2017-09-25,514.65
2017-09-26,508.45
2017-09-27,499.3
2017-09-28,504.4
2017-09-29,499.2
2017-10-03,497.85
2017-10-04,496.8
2017-10-05,516.45
2017-10-06,509.35
2017-10-09,506.3
2017-10-10,505.6
2017-10-11,501.3
2017-10-12,513.7
2017-10-13,530.85
2017-10-16,529.5
2017-10-17,520.2
2017-10-18,508.7
2017-10-19,518.7
2017-10-23,515.5
2017-10-24,509.5
2017-10-25,500.35
2017-10-26,506.9
2017-10-27,528.35
2017-10-30,558.95
2017-10-31,538.25
2017-11-01,550.9
2017-11-02,548.4
2017-11-03,550.0
2017-11-06,545.2
2017-11-07,537.35
2017-11-08,530.0
2017-11-09,533.7
2017-11-10,529.2
2017-11-13,511.6
2017-11-14,515.3
2017-11-15,510.0
2017-11-16,513.7
2017-11-17,510.15
2017-11-20,493.7
2017-11-21,509.85
2017-11-22,510.8
2017-11-23,515.5
2017-11-24,508.45
2017-11-27,531.3
2017-11-28,537.45
2017-11-29,533.15
2017-11-30,546.15
2017-12-01,544.65
2017-12-04,544.95
2017-12-05,540.0
2017-12-06,533.3
2017-12-07,536.1
2017-12-08,534.8
2017-12-11,522.7
2017-12-12,515.6
2017-12-13,512.75
2017-12-14,512.3
2017-12-15,520.3
2017-12-18,512.3
2017-12-19,512.6
2017-12-20,511.85
2017-12-21,510.65
2017-12-22,512.05
2017-12-26,508.1
2017-12-27,516.35
2017-12-28,513.3
2017-12-29,511.7
