Date,LAURUSLABS
2017-01-02,486.4
2017-01-03,476.35
2017-01-04,475.5
2017-01-05,476.35
2017-01-06,472.75
2017-01-09,475.3
2017-01-10,473.1
2017-01-11,475.05
2017-01-12,475.25
2017-01-13,494.6
2017-01-16,485.25
2017-01-17,476.95
2017-01-18,478.1
2017-01-19,480.85
2017-01-20,478.8
2017-01-23,477.45
2017-01-24,477.5
2017-01-25,477.6
2017-01-27,473.55
2017-01-30,478.15
2017-01-31,474.75
2017-02-01,475.6
2017-02-02,474.0
2017-02-03,502.8
2017-02-06,557.05
2017-02-07,559.85
2017-02-08,550.0
2017-02-09,559.7
2017-02-10,535.8
2017-02-13,518.5
2017-02-14,510.15
2017-02-15,508.55
2017-02-16,503.75
2017-02-17,500.8
2017-02-20,505.3
2017-02-21,516.3
2017-02-22,521.7
2017-02-23,521.2
2017-02-27,510.45
2017-02-28,509.95
2017-03-01,510.1
2017-03-02,508.1
2017-03-03,506.9
2017-03-06,511.85
2017-03-07,521.5
2017-03-08,517.9
2017-03-09,514.95
2017-03-10,511.05
2017-03-14,514.65
2017-03-15,527.3
2017-03-16,530.6
2017-03-17,530.6
2017-03-20,527.7
2017-03-21,517.95
2017-03-22,512.2
2017-03-23,511.85
2017-03-24,510.05
2017-03-27,512.9
2017-03-28,510.35
2017-03-29,514.9
2017-03-30,518.45
2017-03-31,516.2
2017-04-03,520.6
2017-04-05,519.85
2017-04-06,517.15
2017-04-07,510.6
2017-04-10,514.3
2017-04-11,513.05
2017-04-12,510.75
2017-04-13,505.9
2017-04-17,513.95
2017-04-18,514.4
2017-04-19,517.1
2017-04-20,525.05
2017-04-21,519.15
2017-04-24,519.15
2017-04-25,520.65
2017-04-26,518.5
2017-04-27,518.6
2017-04-28,519.9
2017-05-02,530.1
2017-05-03,542.3
2017-05-04,561.45
2017-05-05,558.35
2017-05-08,560.0
2017-05-09,557.75
2017-05-10,554.8
2017-05-11,553.35
2017-05-12,557.1
2017-05-15,552.5
2017-05-16,577.15
2017-05-17,577.0
2017-05-18,559.65
2017-05-19,549.4
2017-05-22,548.6
2017-05-23,549.9
2017-05-24,527.2
2017-05-25,549.05
2017-05-26,555.9
2017-05-29,540.7
2017-05-30,548.05
2017-05-31,572.5
2017-06-01,589.2
2017-06-02,600.75
2017-06-05,603.45
2017-06-06,602.3
2017-06-07,611.4
2017-06-08,613.7
2017-06-09,624.55
2017-06-12,620.45
2017-06-13,620.15
2017-06-14,608.2
2017-06-15,596.0
2017-06-16,605.3
2017-06-19,605.75
2017-06-20,605.35
2017-06-21,614.4
2017-06-22,606.1
2017-06-23,608.3
2017-06-27,612.95
2017-06-28,610.3
2017-06-29,612.1
2017-06-30,615.15
2017-07-03,628.4
2017-07-04,627.4
2017-07-05,625.1
2017-07-06,620.35
2017-07-07,619.9
2017-07-10,617.4
2017-07-11,603.8
2017-07-12,597.55
2017-07-13,609.65
2017-07-14,609.4
2017-07-17,607.65
2017-07-18,602.55
2017-07-19,599.35
2017-07-20,597.4
2017-07-21,597.5
2017-07-24,596.7
2017-07-25,588.65
2017-07-26,588.3
2017-07-27,594.55
2017-07-28,592.05
2017-07-31,580.7
2017-08-01,582.65
2017-08-02,579.6
2017-08-03,577.3
2017-08-04,583.95
2017-08-07,578.2
2017-08-08,573.6
2017-08-09,552.7
2017-08-10,524.95
2017-08-11,543.05
2017-08-14,549.25
2017-08-16,547.55
2017-08-17,544.8
2017-08-18,534.9
2017-08-21,526.1
2017-08-22,519.7
2017-08-23,525.0
2017-08-24,521.35
2017-08-28,510.9
2017-08-29,502.85
2017-08-30,520.35
2017-08-31,527.35
2017-09-01,539.7
2017-09-04,547.2
2017-09-05,552.1
2017-09-06,546.25
2017-09-07,549.6
2017-09-08,545.0
2017-09-11,540.0
2017-09-12,533.4
2017-09-13,526.9
2017-09-14,549.5
2017-09-15,548.25
2017-09-18,545.65
2017-09-19,544.6
2017-09-20,548.65
2017-09-21,545.3
2017-09-22,540.35
2017-09-25,523.95
2017-09-26,520.55
2017-09-27,514.05
2017-09-28,507.8
2017-09-29,507.15
2017-10-03,508.6
2017-10-04,535.4
2017-10-05,534.35
2017-10-06,541.4
2017-10-09,534.95
2017-10-10,544.8
2017-10-11,533.55
2017-10-12,544.65
2017-10-13,543.3
2017-10-16,545.75
2017-10-17,546.75
2017-10-18,547.1
2017-10-19,545.0
2017-10-23,542.9
2017-10-24,541.7
2017-10-25,539.6
2017-10-26,535.35
2017-10-27,536.4
2017-10-30,538.15
2017-10-31,538.4
2017-11-01,537.05
2017-11-02,537.75
2017-11-03,534.7
2017-11-06,545.65
2017-11-07,543.45
2017-11-08,545.1
2017-11-09,539.0
2017-11-10,529.7
2017-11-13,524.15
2017-11-14,522.9
2017-11-15,534.6
2017-11-16,527.1
2017-11-17,529.25
2017-11-20,529.45
2017-11-21,529.25
2017-11-22,526.3
2017-11-23,533.55
2017-11-24,537.75
2017-11-27,529.35
2017-11-28,516.8
2017-11-29,522.35
2017-11-30,525.4
2017-12-01,525.95
2017-12-04,517.35
2017-12-05,523.5
2017-12-06,519.8
2017-12-07,517.95
2017-12-08,503.35
2017-12-11,512.9
2017-12-12,503.9
2017-12-13,518.3
2017-12-14,525.9
2017-12-15,523.85
2017-12-18,533.45
2017-12-19,530.4
2017-12-20,536.35
2017-12-21,563.45
2017-12-22,551.5
2017-12-26,545.2
2017-12-27,543.6
2017-12-28,539.3
2017-12-29,542.9
