Date,LTI
2017-01-02,680.3
2017-01-03,680.1
2017-01-04,698.0
2017-01-05,691.6
2017-01-06,680.05
2017-01-09,680.75
2017-01-10,680.05
2017-01-11,680.0
2017-01-12,680.1
2017-01-13,680.0
2017-01-16,680.1
2017-01-17,680.45
2017-01-18,690.65
2017-01-19,685.2
2017-01-20,678.1
2017-01-23,665.2
2017-01-24,680.05
2017-01-25,686.7
2017-01-27,687.35
2017-01-30,677.65
2017-01-31,668.75
2017-02-01,665.85
2017-02-02,684.6
2017-02-03,688.55
2017-02-06,689.95
2017-02-07,687.6
2017-02-08,690.0
2017-02-09,690.05
2017-02-10,694.95
2017-02-13,690.5
2017-02-14,690.25
2017-02-15,690.0
2017-02-16,691.1
2017-02-17,690.9
2017-02-20,700.9
2017-02-21,711.7
2017-02-22,713.25
2017-02-23,712.0
2017-02-27,711.05
2017-02-28,711.4
2017-03-01,710.55
2017-03-02,700.5
2017-03-03,700.05
2017-03-06,701.05
2017-03-07,701.55
2017-03-08,701.65
2017-03-09,701.65
2017-03-10,702.15
2017-03-14,706.4
2017-03-15,710.2
2017-03-16,712.55
2017-03-17,711.2
2017-03-20,702.8
2017-03-21,705.9
2017-03-22,693.1
2017-03-23,684.2
2017-03-24,691.0
2017-03-27,688.05
2017-03-28,690.8
2017-03-29,716.45
2017-03-30,716.95
2017-03-31,714.85
2017-04-03,722.25
2017-04-05,718.1
2017-04-06,716.75
2017-04-07,710.85
2017-04-10,722.6
2017-04-11,718.3
2017-04-12,713.5
2017-04-13,717.6
2017-04-17,709.2
2017-04-18,707.55
2017-04-19,709.8
2017-04-20,718.85
2017-04-21,725.4
2017-04-24,725.0
2017-04-25,723.4
2017-04-26,716.85
2017-04-27,713.15
2017-04-28,709.5
2017-05-02,711.05
2017-05-03,709.95
2017-05-04,708.9
2017-05-05,733.2
2017-05-08,741.15
2017-05-09,748.4
2017-05-10,751.4
2017-05-11,747.65
2017-05-12,755.85
2017-05-15,763.15
2017-05-16,773.2
2017-05-17,777.95
2017-05-18,776.65
2017-05-19,774.25
2017-05-22,781.15
2017-05-23,772.9
2017-05-24,775.1
2017-05-25,788.4
2017-05-26,796.35
2017-05-29,775.2
2017-05-30,767.9
2017-05-31,800.6
2017-06-01,792.1
2017-06-02,783.9
2017-06-05,782.85
2017-06-06,786.5
2017-06-07,802.15
2017-06-08,793.25
2017-06-09,800.35
2017-06-12,789.05
2017-06-13,796.45
2017-06-14,791.55
2017-06-15,805.35
2017-06-16,803.95
2017-06-19,826.45
2017-06-20,822.85
2017-06-21,828.15
2017-06-22,817.95
2017-06-23,806.85
2017-06-27,783.85
2017-06-28,789.9
2017-06-29,786.2
2017-06-30,788.75
2017-07-03,789.85
2017-07-04,785.2
2017-07-05,798.25
2017-07-06,788.75
2017-07-07,795.85
2017-07-10,787.55
2017-07-11,785.35
2017-07-12,787.15
2017-07-13,786.1
2017-07-14,780.1
2017-07-17,773.5
2017-07-18,786.05
2017-07-19,790.05
2017-07-20,784.25
2017-07-21,768.3
2017-07-24,764.5
2017-07-25,770.15
2017-07-26,770.4
2017-07-27,767.35
2017-07-28,762.2
2017-07-31,764.3
2017-08-01,774.95
2017-08-02,772.15
2017-08-03,778.45
2017-08-04,775.0
2017-08-07,779.45
2017-08-08,777.05
2017-08-09,763.4
2017-08-10,746.35
2017-08-11,737.5
2017-08-14,738.05
2017-08-16,741.75
2017-08-17,775.75
2017-08-18,773.35
2017-08-21,751.7
2017-08-22,743.35
2017-08-23,740.95
2017-08-24,736.1
2017-08-28,750.6
2017-08-29,747.6
2017-08-30,747.1
2017-08-31,754.15
2017-09-01,758.7
2017-09-04,760.45
2017-09-05,762.2
2017-09-06,772.4
2017-09-07,772.75
2017-09-08,776.1
2017-09-11,769.3
2017-09-12,764.45
2017-09-13,766.5
2017-09-14,766.9
2017-09-15,756.7
2017-09-18,755.9
2017-09-19,769.15
2017-09-20,770.15
2017-09-21,781.6
2017-09-22,779.1
2017-09-25,776.75
2017-09-26,778.9
2017-09-27,774.0
2017-09-28,772.65
2017-09-29,798.95
2017-10-03,812.35
2017-10-04,813.0
2017-10-05,806.65
2017-10-06,799.55
2017-10-09,799.2
2017-10-10,804.1
2017-10-11,804.5
2017-10-12,810.4
2017-10-13,813.7
2017-10-16,808.9
2017-10-17,806.8
2017-10-18,807.35
2017-10-19,810.8
2017-10-23,803.4
2017-10-24,805.7
2017-10-25,808.0
2017-10-26,821.35
2017-10-27,808.65
2017-10-30,819.55
2017-10-31,830.25
2017-11-01,820.45
2017-11-02,810.55
2017-11-03,816.6
2017-11-06,815.35
2017-11-07,820.3
2017-11-08,876.7
2017-11-09,936.35
2017-11-10,944.45
2017-11-13,973.15
2017-11-14,946.75
2017-11-15,961.15
2017-11-16,962.35
2017-11-17,965.7
2017-11-20,967.4
2017-11-21,983.75
2017-11-22,992.65
2017-11-23,1002.45
2017-11-24,991.15
2017-11-27,997.85
2017-11-28,999.1
2017-11-29,1015.85
2017-11-30,1013.35
2017-12-01,1017.6
2017-12-04,1006.15
2017-12-05,982.1
2017-12-06,973.05
2017-12-07,965.5
2017-12-08,984.6
2017-12-11,982.05
2017-12-12,1001.1
2017-12-13,1056.95
2017-12-14,1043.6
2017-12-15,1039.55
2017-12-18,1030.55
2017-12-19,1032.0
2017-12-20,1016.9
2017-12-21,1043.8
2017-12-22,1075.0
2017-12-26,1060.55
2017-12-27,1080.65
2017-12-28,1096.2
2017-12-29,1118.85
