Date,RSWM
2017-01-02,440.0
2017-01-03,440.25
2017-01-04,441.4
2017-01-05,440.5
2017-01-06,440.25
2017-01-09,461.5
2017-01-10,457.95
2017-01-11,473.1
2017-01-12,472.3
2017-01-13,464.05
2017-01-16,455.65
2017-01-17,456.6
2017-01-18,455.05
2017-01-19,454.95
2017-01-20,451.85
2017-01-23,450.1
2017-01-24,454.3
2017-01-25,455.65
2017-01-27,460.1
2017-01-30,454.2
2017-01-31,449.75
2017-02-01,461.2
2017-02-02,456.55
2017-02-03,466.45
2017-02-06,495.05
2017-02-07,497.85
2017-02-08,495.1
2017-02-09,490.05
2017-02-10,485.9
2017-02-13,449.15
2017-02-14,443.55
2017-02-15,426.2
2017-02-16,408.25
2017-02-17,410.0
2017-02-20,406.1
2017-02-21,399.15
2017-02-22,395.15
2017-02-23,394.65
2017-02-27,385.1
2017-02-28,391.7
2017-03-01,405.05
2017-03-02,404.0
2017-03-03,398.0
2017-03-06,403.2
2017-03-07,404.5
2017-03-08,403.45
2017-03-09,391.0
2017-03-10,400.1
2017-03-14,398.4
2017-03-15,398.65
2017-03-16,436.15
2017-03-17,437.55
2017-03-20,443.9
2017-03-21,443.05
2017-03-22,440.15
2017-03-23,440.0
2017-03-24,440.85
2017-03-27,437.3
2017-03-28,445.2
2017-03-29,450.0
2017-03-30,440.0
2017-03-31,434.7
2017-04-03,432.6
2017-04-05,442.75
2017-04-06,440.75
2017-04-07,439.35
2017-04-10,430.4
2017-04-11,422.75
2017-04-12,419.2
2017-04-13,423.5
2017-04-17,426.1
2017-04-18,424.8
2017-04-19,427.45
2017-04-20,435.55
2017-04-21,431.85
2017-04-24,441.5
2017-04-25,434.6
2017-04-26,426.8
2017-04-27,427.0
2017-04-28,444.1
2017-05-02,442.95
2017-05-03,450.45
2017-05-04,437.1
2017-05-05,432.45
2017-05-08,435.2
2017-05-09,435.1
2017-05-10,427.55
2017-05-11,425.5
2017-05-12,425.45
2017-05-15,424.0
2017-05-16,419.6
2017-05-17,417.2
2017-05-18,411.1
2017-05-19,414.15
2017-05-22,409.95
2017-05-23,409.4
2017-05-24,402.1
2017-05-25,402.3
2017-05-26,407.05
2017-05-29,403.85
2017-05-30,407.65
2017-05-31,414.95
2017-06-01,410.85
2017-06-02,412.5
2017-06-05,420.35
2017-06-06,414.15
2017-06-07,423.85
2017-06-08,420.6
2017-06-09,415.9
2017-06-12,415.25
2017-06-13,417.5
2017-06-14,412.05
2017-06-15,418.4
2017-06-16,408.55
2017-06-19,423.35
2017-06-20,419.7
2017-06-21,412.15
2017-06-22,420.75
2017-06-23,414.25
2017-06-27,410.0
2017-06-28,412.0
2017-06-29,405.65
2017-06-30,408.45
2017-07-03,410.9
2017-07-04,406.55
2017-07-05,413.35
2017-07-06,409.25
2017-07-07,407.55
2017-07-10,408.9
2017-07-11,407.9
2017-07-12,402.2
2017-07-13,397.9
2017-07-14,399.2
2017-07-17,401.8
2017-07-18,400.3
2017-07-19,401.25
2017-07-20,388.5
2017-07-21,386.8
2017-07-24,393.4
2017-07-25,387.55
2017-07-26,383.35
2017-07-27,399.2
2017-07-28,392.1
2017-07-31,393.75
2017-08-01,396.7
2017-08-02,395.5
2017-08-03,390.6
2017-08-04,386.95
2017-08-07,386.85
2017-08-08,381.15
2017-08-09,341.7
2017-08-10,330.0
2017-08-11,332.85
2017-08-14,336.4
2017-08-16,348.15
2017-08-17,340.65
2017-08-18,333.35
2017-08-21,323.65
2017-08-22,315.5
2017-08-23,317.35
2017-08-24,319.9
2017-08-28,326.45
2017-08-29,327.9
2017-08-30,329.65
2017-08-31,336.4
2017-09-01,346.55
2017-09-04,346.4
2017-09-05,355.85
2017-09-06,357.35
2017-09-07,357.65
2017-09-08,358.1
2017-09-11,357.6
2017-09-12,358.95
2017-09-13,360.0
2017-09-14,358.65
2017-09-15,359.1
2017-09-18,363.1
2017-09-19,343.8
2017-09-20,333.75
2017-09-21,326.75
2017-09-22,319.1
2017-09-25,308.75
2017-09-26,308.65
2017-09-27,308.55
2017-09-28,304.95
2017-09-29,308.0
2017-10-03,307.05
2017-10-04,306.5
2017-10-05,309.3
2017-10-06,329.15
2017-10-09,351.5
2017-10-10,355.25
2017-10-11,343.65
2017-10-12,343.55
2017-10-13,343.95
2017-10-16,343.15
2017-10-17,346.3
2017-10-18,344.5
2017-10-19,345.4
2017-10-23,352.05
2017-10-24,348.35
2017-10-25,341.4
2017-10-26,347.15
2017-10-27,349.7
2017-10-30,366.45
2017-10-31,384.55
2017-11-01,380.2
2017-11-02,377.95
2017-11-03,382.5
2017-11-06,375.0
2017-11-07,371.85
2017-11-08,350.6
2017-11-09,345.85
2017-11-10,342.75
2017-11-13,329.95
2017-11-14,337.45
2017-11-15,337.4
2017-11-16,340.4
2017-11-17,342.25
2017-11-20,342.5
2017-11-21,341.2
2017-11-22,342.2
2017-11-23,342.35
2017-11-24,346.0
2017-11-27,352.9
2017-11-28,350.1
2017-11-29,350.3
2017-11-30,350.25
2017-12-01,348.5
2017-12-04,342.85
2017-12-05,340.7
2017-12-06,340.05
2017-12-07,341.9
2017-12-08,345.85
2017-12-11,345.05
2017-12-12,345.05
2017-12-13,338.3
2017-12-14,326.05
2017-12-15,340.4
2017-12-18,345.4
2017-12-19,357.2
2017-12-20,359.4
2017-12-21,371.4
2017-12-22,365.15
2017-12-26,362.7
2017-12-27,379.8
2017-12-28,380.0
2017-12-29,383.15
