Date,KIRLOSBROS
2017-01-02,166.75
2017-01-03,175.3
2017-01-04,183.9
2017-01-05,181.0
2017-01-06,178.75
2017-01-09,178.4
2017-01-10,192.9
2017-01-11,203.95
2017-01-12,193.5
2017-01-13,199.5
2017-01-16,199.9
2017-01-17,197.85
2017-01-18,200.0
2017-01-19,207.9
2017-01-20,204.1
2017-01-23,207.95
2017-01-24,212.45
2017-01-25,206.75
2017-01-27,201.1
2017-01-30,210.0
2017-01-31,224.2
2017-02-01,229.5
2017-02-02,235.75
2017-02-03,238.35
2017-02-06,241.55
2017-02-07,233.1
2017-02-08,228.75
2017-02-09,235.4
2017-02-10,237.9
2017-02-13,227.25
2017-02-14,224.75
2017-02-15,212.75
2017-02-16,225.55
2017-02-17,222.45
2017-02-20,224.65
2017-02-21,238.4
2017-02-22,235.5
2017-02-23,232.1
2017-02-27,244.25
2017-02-28,246.15
2017-03-01,250.4
2017-03-02,249.75
2017-03-03,256.15
2017-03-06,258.25
2017-03-07,256.8
2017-03-08,249.45
2017-03-09,245.0
2017-03-10,242.9
2017-03-14,241.35
2017-03-15,243.2
2017-03-16,244.0
2017-03-17,238.35
2017-03-20,238.6
2017-03-21,238.75
2017-03-22,242.65
2017-03-23,247.95
2017-03-24,250.1
2017-03-27,245.5
2017-03-28,245.4
2017-03-29,249.8
2017-03-30,253.5
2017-03-31,254.55
2017-04-03,264.8
2017-04-05,280.4
2017-04-06,286.95
2017-04-07,280.15
2017-04-10,284.8
2017-04-11,294.55
2017-04-12,284.95
2017-04-13,287.35
2017-04-17,278.95
2017-04-18,271.0
2017-04-19,273.45
2017-04-20,271.1
2017-04-21,281.9
2017-04-24,292.0
2017-04-25,287.2
2017-04-26,281.15
2017-04-27,282.75
2017-04-28,281.45
2017-05-02,278.3
2017-05-03,275.2
2017-05-04,274.95
2017-05-05,267.95
2017-05-08,263.8
2017-05-09,262.05
2017-05-10,277.0
2017-05-11,270.1
2017-05-12,266.9
2017-05-15,263.95
2017-05-16,266.1
2017-05-17,264.35
2017-05-18,268.75
2017-05-19,263.5
2017-05-22,259.1
2017-05-23,260.15
2017-05-24,247.95
2017-05-25,253.9
2017-05-26,255.45
2017-05-29,254.55
2017-05-30,249.45
2017-05-31,252.55
2017-06-01,255.2
2017-06-02,257.45
2017-06-05,254.25
2017-06-06,258.05
2017-06-07,254.9
2017-06-08,265.5
2017-06-09,265.95
2017-06-12,257.8
2017-06-13,258.65
2017-06-14,255.45
2017-06-15,252.3
2017-06-16,252.4
2017-06-19,258.05
2017-06-20,269.55
2017-06-21,261.65
2017-06-22,258.3
2017-06-23,251.4
2017-06-27,249.3
2017-06-28,249.75
2017-06-29,249.35
2017-06-30,251.8
2017-07-03,251.05
2017-07-04,254.6
2017-07-05,263.8
2017-07-06,284.2
2017-07-07,279.25
2017-07-10,279.1
2017-07-11,276.85
2017-07-12,279.6
2017-07-13,276.7
2017-07-14,269.7
2017-07-17,269.95
2017-07-18,269.85
2017-07-19,270.0
2017-07-20,270.15
2017-07-21,268.5
2017-07-24,268.9
2017-07-25,265.55
2017-07-26,267.35
2017-07-27,255.75
2017-07-28,243.35
2017-07-31,246.2
2017-08-01,253.65
2017-08-02,257.05
2017-08-03,259.6
2017-08-04,254.05
2017-08-07,260.7
2017-08-08,267.7
2017-08-09,265.35
2017-08-10,247.65
2017-08-11,244.6
2017-08-14,246.6
2017-08-16,250.2
2017-08-17,254.1
2017-08-18,251.6
2017-08-21,249.8
2017-08-22,244.4
2017-08-23,247.1
2017-08-24,251.2
2017-08-28,248.8
2017-08-29,246.55
2017-08-30,247.8
2017-08-31,252.45
2017-09-01,254.0
2017-09-04,249.75
2017-09-05,248.2
2017-09-06,243.8
2017-09-07,245.2
2017-09-08,244.65
2017-09-11,242.3
2017-09-12,244.7
2017-09-13,243.2
2017-09-14,250.25
2017-09-15,251.4
2017-09-18,256.0
2017-09-19,255.15
2017-09-20,265.3
2017-09-21,255.65
2017-09-22,250.1
2017-09-25,247.75
2017-09-26,245.05
2017-09-27,233.75
2017-09-28,234.6
2017-09-29,237.05
2017-10-03,241.45
2017-10-04,239.5
2017-10-05,235.5
2017-10-06,234.15
2017-10-09,258.05
2017-10-10,257.1
2017-10-11,263.55
2017-10-12,259.15
2017-10-13,258.6
2017-10-16,255.05
2017-10-17,248.55
2017-10-18,263.95
2017-10-19,258.0
2017-10-23,255.9
2017-10-24,262.25
2017-10-25,257.75
2017-10-26,257.95
2017-10-27,260.05
2017-10-30,251.65
2017-10-31,252.3
2017-11-01,255.95
2017-11-02,256.0
2017-11-03,258.65
2017-11-06,272.85
2017-11-07,268.55
2017-11-08,264.05
2017-11-09,275.05
2017-11-10,276.85
2017-11-13,275.6
2017-11-14,269.9
2017-11-15,264.7
2017-11-16,270.75
2017-11-17,273.55
2017-11-20,269.25
2017-11-21,269.5
2017-11-22,272.85
2017-11-23,271.05
2017-11-24,265.3
2017-11-27,269.05
2017-11-28,263.55
2017-11-29,258.65
2017-11-30,255.45
2017-12-01,282.85
2017-12-04,273.4
2017-12-05,269.4
2017-12-06,268.45
2017-12-07,272.25
2017-12-08,270.75
2017-12-11,276.8
2017-12-12,279.7
2017-12-13,276.95
2017-12-14,280.65
2017-12-15,276.3
2017-12-18,276.4
2017-12-19,280.25
2017-12-20,309.45
2017-12-21,328.8
2017-12-22,320.2
2017-12-26,326.7
2017-12-27,312.0
2017-12-28,325.75
2017-12-29,331.45
