Date,PRECOT
2017-01-02,69.9
2017-01-03,72.45
2017-01-04,71.0
2017-01-05,73.75
2017-01-06,74.0
2017-01-09,71.3
2017-01-10,73.05
2017-01-11,73.05
2017-01-12,75.1
2017-01-13,73.1
2017-01-16,72.25
2017-01-17,73.95
2017-01-18,73.0
2017-01-19,76.1
2017-01-20,69.7
2017-01-23,68.45
2017-01-24,66.5
2017-01-25,66.2
2017-01-27,68.5
2017-01-30,69.45
2017-01-31,69.5
2017-02-01,68.3
2017-02-02,68.05
2017-02-03,67.75
2017-02-06,67.35
2017-02-07,67.0
2017-02-08,66.75
2017-02-09,67.05
2017-02-10,71.95
2017-02-13,70.2
2017-02-14,67.8
2017-02-15,67.85
2017-02-16,67.2
2017-02-17,67.2
2017-02-20,67.25
2017-02-21,67.5
2017-02-22,66.35
2017-02-23,67.55
2017-02-27,66.0
2017-02-28,65.55
2017-03-01,67.25
2017-03-02,68.0
2017-03-03,70.05
2017-03-06,68.2
2017-03-07,67.45
2017-03-08,68.0
2017-03-09,68.3
2017-03-10,67.35
2017-03-14,67.55
2017-03-15,70.0
2017-03-16,70.25
2017-03-17,70.0
2017-03-20,71.95
2017-03-21,72.65
2017-03-22,71.55
2017-03-23,69.85
2017-03-24,71.45
2017-03-27,71.8
2017-03-28,75.6
2017-03-29,74.1
2017-03-30,88.9
2017-03-31,86.3
2017-04-03,83.95
2017-04-05,86.75
2017-04-06,91.5
2017-04-07,91.35
2017-04-10,88.05
2017-04-11,92.0
2017-04-12,92.65
2017-05-30,72.35
2017-05-31,68.75
2017-06-01,70.0
2017-06-02,70.0
2017-06-05,70.0
2017-06-06,71.5
2017-06-07,67.95
2017-06-08,68.1
2017-06-09,74.8
2017-06-12,80.9
2017-06-13,78.05
2017-06-14,77.65
2017-06-15,78.2
2017-06-16,77.0
2017-06-19,78.0
2017-06-20,76.5
2017-06-21,72.55
2017-06-22,76.6
2017-06-23,72.05
2017-06-27,70.9
2017-06-28,73.25
2017-06-29,70.05
2017-06-30,71.35
2017-07-03,71.1
2017-07-04,71.0
2017-07-05,69.7
2017-07-06,71.95
2017-07-07,70.05
2017-07-10,71.95
2017-07-11,71.6
2017-07-12,72.8
2017-07-13,73.9
2017-07-14,72.1
2017-07-17,72.1
2017-07-18,70.5
2017-07-19,74.5
2017-07-20,72.0
2017-07-21,72.4
2017-07-24,73.75
2017-07-25,76.45
2017-07-26,78.45
2017-07-27,74.25
2017-07-28,74.1
2017-07-31,73.0
2017-08-01,70.0
2017-08-02,77.0
2017-08-03,79.6
2017-08-04,77.95
2017-08-07,76.05
2017-08-08,75.3
2017-08-09,73.15
2017-08-10,72.1
2017-08-11,71.75
2017-08-14,73.9
2017-08-16,81.15
2017-08-17,74.45
2017-08-18,74.0
2017-08-21,72.55
2017-08-22,71.15
2017-08-23,71.1
2017-08-24,73.9
2017-08-28,72.05
2017-08-29,72.4
2017-08-30,71.4
2017-08-31,77.8
2017-09-01,84.1
2017-09-04,82.9
2017-09-05,81.9
2017-09-06,77.4
2017-09-07,78.25
2017-09-08,79.95
2017-09-11,77.7
2017-09-12,77.7
2017-09-13,78.05
2017-09-14,77.95
2017-09-15,76.1
2017-09-18,85.05
2017-09-19,87.75
2017-09-20,89.9
2017-09-21,90.0
2017-09-22,87.25
2017-09-25,83.1
2017-09-26,81.85
2017-09-27,76.35
2017-09-28,79.0
2017-09-29,78.25
2017-10-03,73.1
2017-10-04,75.95
2017-10-05,76.25
2017-10-06,76.25
2017-10-09,76.7
2017-10-10,77.0
2017-10-11,75.9
2017-10-12,79.1
2017-10-13,78.2
2017-10-16,78.1
2017-10-17,79.0
2017-10-18,84.45
2017-10-19,80.85
2017-10-23,83.15
2017-10-24,82.75
2017-10-25,84.0
2017-10-26,82.55
2017-10-27,81.0
2017-10-30,82.85
2017-10-31,83.7
2017-11-01,81.2
2017-11-02,81.7
2017-11-03,81.1
2017-11-06,82.6
2017-11-07,86.65
2017-11-08,88.0
2017-11-09,86.8
2017-11-10,85.7
2017-11-13,82.55
2017-11-14,84.15
2017-11-15,85.0
2017-11-16,82.55
2017-11-17,82.55
2017-11-20,82.4
2017-11-21,84.05
2017-11-22,85.65
2017-11-23,101.95
2017-11-24,105.1
2017-11-27,107.9
2017-11-28,109.1
2017-11-29,96.55
2017-11-30,100.4
2017-12-01,97.1
2017-12-04,96.1
2017-12-05,92.7
2017-12-06,95.8
2017-12-07,96.45
2017-12-08,94.85
2017-12-11,94.45
2017-12-12,91.1
2017-12-13,91.25
2017-12-14,90.0
2017-12-15,89.0
2017-12-18,91.8
2017-12-19,91.75
2017-12-20,91.0
2017-12-21,99.6
2017-12-22,103.7
2017-12-26,99.9
2017-12-27,97.3
2017-12-28,97.55
2017-12-29,94.8
