Date,SOMICONVEY
2017-01-02,53.05
2017-01-03,53.85
2017-01-04,53.5
2017-01-05,54.9
2017-01-06,53.1
2017-01-09,53.6
2017-01-10,53.2
2017-01-11,51.5
2017-01-12,51.6
2017-01-13,49.9
2017-01-16,49.95
2017-01-17,50.3
2017-01-18,55.0
2017-01-19,56.7
2017-01-20,56.2
2017-01-23,55.95
2017-01-24,58.6
2017-01-25,61.45
2017-01-27,58.55
2017-01-30,58.65
2017-01-31,57.1
2017-02-01,58.35
2017-02-02,55.45
2017-02-03,56.15
2017-02-06,57.8
2017-02-07,56.85
2017-02-08,60.95
2017-02-09,64.7
2017-02-10,62.15
2017-02-13,56.75
2017-02-14,54.1
2017-02-15,52.45
2017-02-16,53.55
2017-02-17,53.45
2017-02-20,54.3
2017-02-21,53.9
2017-02-22,55.85
2017-02-23,54.45
2017-02-27,56.85
2017-02-28,58.95
2017-03-01,60.65
2017-03-02,58.65
2017-03-03,58.65
2017-03-06,57.15
2017-03-07,60.9
2017-03-08,59.6
2017-03-09,59.35
2017-03-10,58.4
2017-03-14,58.85
2017-03-15,58.5
2017-03-16,58.15
2017-03-17,57.7
2017-03-20,58.1
2017-03-21,57.2
2017-03-22,56.8
2017-03-23,57.55
2017-03-24,56.95
2017-03-27,56.55
2017-03-28,55.15
2017-03-29,56.55
2017-03-30,56.85
2017-03-31,56.25
2017-04-03,57.3
2017-04-05,57.35
2017-04-06,59.85
2017-04-07,58.1
2017-04-10,57.4
2017-04-11,57.75
2017-04-12,57.8
2017-04-13,57.15
2017-04-17,56.95
2017-04-18,56.95
2017-04-19,55.3
2017-04-20,55.95
2017-04-21,54.95
2017-04-24,58.65
2017-04-25,60.9
2017-04-26,58.65
2017-04-27,58.25
2017-04-28,57.1
2017-05-02,57.0
2017-05-03,55.35
2017-05-04,55.35
2017-05-05,55.15
2017-05-08,55.1
2017-05-09,56.0
2017-05-10,57.4
2017-05-11,56.55
2017-05-12,58.7
2017-05-15,56.05
2017-05-16,55.9
2017-05-17,55.35
2017-05-18,55.5
2017-05-19,55.1
2017-05-22,54.05
2017-05-23,52.95
2017-05-24,53.3
2017-05-25,53.45
2017-05-26,53.4
2017-05-29,53.05
2017-05-30,51.4
2017-05-31,49.85
2017-06-01,50.15
2017-06-02,51.55
2017-06-05,52.3
2017-06-06,50.95
2017-06-07,50.0
2017-06-08,51.3
2017-06-09,51.0
2017-06-12,49.6
2017-06-13,50.45
2017-06-14,51.9
2017-06-15,48.3
2017-06-16,50.0
2017-06-19,49.0
2017-06-20,48.65
2017-06-21,47.8
2017-06-22,48.95
2017-06-23,48.5
2017-06-27,47.05
2017-06-28,46.45
2017-06-29,48.4
2017-06-30,48.55
2017-07-03,47.8
2017-07-04,47.6
2017-07-05,47.85
2017-07-06,48.2
2017-07-07,48.0
2017-07-10,49.5
2017-07-11,49.85
2017-07-12,50.85
2017-07-13,49.0
2017-07-14,47.8
2017-07-17,47.55
2017-07-18,48.8
2017-07-19,55.6
2017-07-20,55.2
2017-07-21,54.1
2017-07-24,52.9
2017-07-25,51.05
2017-07-26,50.8
2017-07-27,50.95
2017-07-28,49.75
2017-07-31,49.55
2017-08-01,49.0
2017-08-02,48.75
2017-08-03,47.9
2017-08-04,47.5
2017-08-07,48.05
2017-08-08,47.1
2017-08-09,44.8
2017-08-10,44.25
2017-08-11,42.9
2017-08-14,44.05
2017-08-16,43.25
2017-08-17,47.85
2017-08-18,46.1
2017-08-21,47.5
2017-08-22,44.9
2017-08-23,46.7
2017-08-24,45.05
2017-08-28,46.45
2017-08-29,44.6
2017-08-30,44.25
2017-08-31,44.4
2017-09-01,45.65
2017-09-04,44.5
2017-09-05,43.8
2017-09-06,44.9
2017-09-07,44.25
2017-09-08,44.9
2017-09-11,44.0
2017-09-12,44.9
2017-09-13,44.5
2017-09-14,44.0
2017-09-15,42.75
2017-09-18,44.05
2017-09-19,44.65
2017-09-20,48.1
2017-09-21,46.35
2017-09-22,45.5
2017-09-25,44.45
2017-09-26,45.9
2017-09-27,44.15
2017-09-28,45.95
2017-09-29,45.0
2017-10-03,46.65
2017-10-04,46.25
2017-10-05,48.45
2017-10-06,50.7
2017-10-09,53.1
2017-10-10,52.25
2017-10-11,51.25
2017-10-12,51.65
2017-10-13,50.0
2017-10-16,51.0
2017-10-17,51.15
2017-10-18,51.0
2017-10-19,61.2
2017-10-23,70.45
2017-10-24,65.25
2017-10-25,63.4
2017-10-26,62.95
2017-10-27,62.8
2017-10-30,62.55
2017-10-31,64.05
2017-11-01,63.4
2017-11-02,62.95
2017-11-03,62.55
2017-11-06,60.5
2017-11-07,60.5
2017-11-08,66.55
2017-11-09,63.45
2017-11-10,62.1
2017-11-13,64.4
2017-11-14,64.55
2017-11-15,60.25
2017-11-16,61.9
2017-11-17,61.85
2017-11-20,61.25
2017-11-21,60.4
2017-11-22,59.1
2017-11-23,62.3
2017-11-24,61.0
2017-11-27,61.25
2017-11-28,67.25
2017-11-29,64.05
2017-11-30,65.9
2017-12-01,64.3
2017-12-04,63.7
2017-12-05,62.85
2017-12-06,62.55
2017-12-07,62.45
2017-12-08,69.8
2017-12-11,69.7
2017-12-12,66.4
2017-12-13,67.6
2017-12-14,67.55
2017-12-15,70.0
2017-12-18,68.0
2017-12-19,70.2
2017-12-20,70.75
2017-12-21,74.5
2017-12-22,73.6
2017-12-26,73.5
2017-12-27,70.45
2017-12-28,71.85
2017-12-29,72.35
