Date,ESCORTS
2017-01-02,320.75
2017-01-03,326.65
2017-01-04,321.3
2017-01-05,329.55
2017-01-06,328.25
2017-01-09,324.0
2017-01-10,337.1
2017-01-11,359.8
2017-01-12,356.65
2017-01-13,358.8
2017-01-16,360.7
2017-01-17,366.85
2017-01-18,367.4
2017-01-19,361.55
2017-01-20,346.65
2017-01-23,359.0
2017-01-24,363.85
2017-01-25,364.15
2017-01-27,371.3
2017-01-30,369.35
2017-01-31,363.6
2017-02-01,379.8
2017-02-02,375.05
2017-02-03,380.25
2017-02-06,383.15
2017-02-07,394.3
2017-02-08,389.75
2017-02-09,393.15
2017-02-10,390.3
2017-02-13,381.75
2017-02-14,384.6
2017-02-15,407.6
2017-02-16,409.85
2017-02-17,408.85
2017-02-20,411.4
2017-02-21,419.7
2017-02-22,425.15
2017-02-23,420.6
2017-02-27,453.85
2017-02-28,449.05
2017-03-01,461.7
2017-03-02,459.2
2017-03-03,489.2
2017-03-06,485.75
2017-03-07,494.55
2017-03-08,493.95
2017-03-09,496.15
2017-03-10,509.65
2017-03-14,519.45
2017-03-15,520.2
2017-03-16,518.85
2017-03-17,514.35
2017-03-20,520.85
2017-03-21,527.05
2017-03-22,521.75
2017-03-23,531.25
2017-03-24,527.9
2017-03-27,522.7
2017-03-28,523.55
2017-03-29,529.9
2017-03-30,535.15
2017-03-31,538.75
2017-04-03,537.5
2017-04-05,538.0
2017-04-06,529.95
2017-04-07,522.2
2017-04-10,545.3
2017-04-11,550.65
2017-04-12,546.2
2017-04-13,545.85
2017-04-17,551.0
2017-04-18,541.55
2017-04-19,546.0
2017-04-20,548.05
2017-04-21,556.4
2017-04-24,550.65
2017-04-25,551.75
2017-04-26,549.55
2017-04-27,546.3
2017-04-28,547.5
2017-05-02,564.65
2017-05-03,568.65
2017-05-04,568.7
2017-05-05,592.6
2017-05-08,602.6
2017-05-09,600.7
2017-05-10,634.15
2017-05-11,646.9
2017-05-12,646.8
2017-05-15,648.8
2017-05-16,655.9
2017-05-17,653.85
2017-05-18,635.6
2017-05-19,640.1
2017-05-22,617.2
2017-05-23,595.65
2017-05-24,601.25
2017-05-25,630.2
2017-05-26,642.7
2017-05-29,671.25
2017-05-30,668.95
2017-05-31,692.95
2017-06-01,692.7
2017-06-02,716.35
2017-06-05,745.25
2017-06-06,751.5
2017-06-07,752.4
2017-06-08,749.3
2017-06-09,748.7
2017-06-12,741.15
2017-06-13,741.3
2017-06-14,717.0
2017-06-15,709.1
2017-06-16,709.6
2017-06-19,707.85
2017-06-20,724.65
2017-06-21,718.6
2017-06-22,709.15
2017-06-23,678.05
2017-06-27,650.7
2017-06-28,654.55
2017-06-29,663.4
2017-06-30,645.15
2017-07-03,675.9
2017-07-04,662.5
2017-07-05,668.1
2017-07-06,671.3
2017-07-07,672.55
2017-07-10,673.95
2017-07-11,679.5
2017-07-12,680.75
2017-07-13,672.25
2017-07-14,675.95
2017-07-17,669.5
2017-07-18,656.8
2017-07-19,653.3
2017-07-20,660.25
2017-07-21,654.35
2017-07-24,653.8
2017-07-25,646.05
2017-07-26,650.85
2017-07-27,641.45
2017-07-28,669.1
2017-07-31,669.35
2017-08-01,701.05
2017-08-02,694.75
2017-08-03,677.4
2017-08-04,671.1
2017-08-07,672.7
2017-08-08,651.25
2017-08-09,636.15
2017-08-10,588.1
2017-08-11,592.4
2017-08-14,611.55
2017-08-16,639.2
2017-08-17,629.35
2017-08-18,626.8
2017-08-21,601.15
2017-08-22,600.25
2017-08-23,613.15
2017-08-24,613.9
2017-08-28,619.5
2017-08-29,603.95
2017-08-30,621.1
2017-08-31,647.3
2017-09-01,650.2
2017-09-04,645.75
2017-09-05,650.3
2017-09-06,651.25
2017-09-07,657.75
2017-09-08,652.95
2017-09-11,658.5
2017-09-12,677.25
2017-09-13,667.05
2017-09-14,670.8
2017-09-15,668.55
2017-09-18,667.0
2017-09-19,677.45
2017-09-20,672.1
2017-09-21,668.25
2017-09-22,636.2
2017-09-25,620.65
2017-09-26,644.45
2017-09-27,637.0
2017-09-28,635.9
2017-09-29,659.65
2017-10-03,658.75
2017-10-04,656.75
2017-10-05,665.65
2017-10-06,697.2
2017-10-09,694.55
2017-10-10,698.1
2017-10-11,691.2
2017-10-12,700.5
2017-10-13,710.35
2017-10-16,722.15
2017-10-17,727.4
2017-10-18,733.25
2017-10-19,719.75
2017-10-23,724.65
2017-10-24,734.1
2017-10-25,731.95
2017-10-26,722.0
2017-10-27,738.4
2017-10-30,772.5
2017-10-31,760.15
2017-11-01,740.95
2017-11-02,729.95
2017-11-03,724.5
2017-11-06,714.85
2017-11-07,705.4
2017-11-08,700.1
2017-11-09,712.7
2017-11-10,698.4
2017-11-13,685.35
2017-11-14,707.1
2017-11-15,689.55
2017-11-16,693.8
2017-11-17,693.8
2017-11-20,692.35
2017-11-21,695.65
2017-11-22,693.7
2017-11-23,687.85
2017-11-24,683.95
2017-11-27,692.35
2017-11-28,688.4
2017-11-29,703.5
2017-11-30,718.25
2017-12-01,690.2
2017-12-04,660.25
2017-12-05,662.35
2017-12-06,648.1
2017-12-07,664.5
2017-12-08,679.55
2017-12-11,677.9
2017-12-12,676.1
2017-12-13,669.3
2017-12-14,662.45
2017-12-15,695.7
2017-12-18,703.05
2017-12-19,726.4
2017-12-20,736.6
2017-12-21,735.8
2017-12-22,745.05
2017-12-26,755.2
2017-12-27,746.6
2017-12-28,772.15
2017-12-29,787.45
