Date,PDPL
2017-01-02,22.0
2017-01-03,22.3
2017-01-04,22.5
2017-01-05,22.85
2017-01-06,22.25
2017-01-09,22.65
2017-01-10,22.75
2017-01-11,22.35
2017-01-12,22.7
2017-01-13,23.4
2017-01-16,23.65
2017-01-17,23.25
2017-01-18,23.25
2017-01-19,22.25
2017-01-20,22.2
2017-01-23,21.8
2017-01-24,22.3
2017-01-25,22.7
2017-01-27,22.75
2017-01-30,22.7
2017-01-31,22.45
2017-02-01,22.8
2017-02-02,22.5
2017-02-03,22.85
2017-02-06,22.8
2017-02-07,22.95
2017-02-08,23.0
2017-02-09,23.15
2017-02-10,23.0
2017-02-13,22.85
2017-02-14,22.75
2017-02-15,22.55
2017-02-16,22.05
2017-02-17,26.45
2017-02-20,27.65
2017-02-21,29.7
2017-02-22,30.2
2017-02-23,28.85
2017-02-27,29.25
2017-02-28,28.4
2017-03-01,28.55
2017-03-02,26.95
2017-03-03,26.4
2017-03-06,28.7
2017-03-07,27.9
2017-03-08,27.4
2017-03-09,26.7
2017-03-10,27.7
2017-03-14,27.7
2017-03-15,27.45
2017-03-16,27.25
2017-03-17,27.1
2017-03-20,27.25
2017-03-21,26.6
2017-03-22,26.4
2017-03-23,26.35
2017-03-24,27.45
2017-03-27,28.25
2017-03-28,28.35
2017-03-29,27.15
2017-03-30,27.5
2017-03-31,27.0
2017-04-03,28.1
2017-04-05,27.45
2017-04-06,27.05
2017-04-07,26.85
2017-04-10,26.75
2017-04-11,26.75
2017-04-12,27.15
2017-04-13,27.6
2017-04-17,26.95
2017-04-18,27.15
2017-04-19,26.8
2017-04-20,29.75
2017-04-21,30.35
2017-04-24,29.9
2017-04-25,29.65
2017-04-26,28.1
2017-04-27,28.0
2017-04-28,28.0
2017-05-02,27.0
2017-05-03,26.8
2017-05-04,26.95
2017-05-05,26.5
2017-05-08,26.35
2017-05-09,26.85
2017-05-10,26.8
2017-05-11,26.45
2017-05-12,26.4
2017-05-15,26.2
2017-05-16,26.8
2017-05-17,26.35
2017-05-18,25.45
2017-05-19,25.25
2017-05-22,25.05
2017-05-23,24.15
2017-05-24,24.0
2017-05-25,24.1
2017-05-26,23.65
2017-05-29,23.15
2017-05-30,23.1
2017-05-31,22.75
2017-06-01,27.2
2017-06-02,25.35
2017-06-05,24.25
2017-06-06,24.15
2017-06-07,23.85
2017-06-08,24.45
2017-06-09,24.1
2017-06-12,23.75
2017-06-13,23.8
2017-06-14,23.65
2017-06-15,23.4
2017-06-16,23.45
2017-06-19,24.05
2017-06-20,23.45
2017-06-21,23.3
2017-06-22,23.3
2017-06-23,22.9
2017-06-27,22.4
2017-06-28,22.6
2017-06-29,22.5
2017-06-30,22.45
2017-07-03,22.9
2017-07-04,22.8
2017-07-05,24.05
2017-07-06,25.6
2017-07-07,24.8
2017-07-10,24.35
2017-07-11,23.1
2017-07-12,22.95
2017-07-13,22.75
2017-07-14,22.65
2017-07-17,23.05
2017-07-18,23.0
2017-07-19,22.95
2017-07-20,23.0
2017-07-21,22.8
2017-07-24,22.65
2017-07-25,22.65
2017-07-26,23.0
2017-07-27,22.6
2017-07-28,22.8
2017-07-31,22.5
2017-08-01,22.45
2017-08-02,22.3
2017-08-03,21.7
2017-08-04,21.85
2017-08-07,22.25
2017-08-08,20.95
2017-08-09,19.6
2017-08-10,19.25
2017-08-11,18.65
2017-08-14,19.4
2017-08-16,19.1
2017-08-17,19.8
2017-08-18,18.7
2017-08-21,17.85
2017-08-22,18.5
2017-08-23,18.25
2017-08-24,18.2
2017-08-28,18.35
2017-08-29,18.15
2017-08-30,17.1
2017-08-31,17.25
2017-09-01,16.8
2017-09-04,17.8
2017-09-05,18.3
2017-09-06,18.4
2017-09-07,20.0
2017-09-08,20.2
2017-09-11,19.75
2017-09-12,19.2
2017-09-13,19.3
2017-09-14,19.3
2017-09-15,19.35
2017-09-18,18.5
2017-09-19,18.05
2017-09-20,18.45
2017-09-21,18.65
2017-09-22,18.15
2017-09-25,17.8
2017-09-26,17.9
2017-09-27,17.15
2017-09-28,17.2
2017-09-29,17.7
2017-10-03,17.2
2017-10-04,17.1
2017-10-05,17.0
2017-10-06,17.25
2017-10-09,17.1
2017-10-10,17.1
2017-10-11,17.3
2017-10-12,17.05
2017-10-13,16.9
2017-10-16,17.05
2017-10-17,16.9
2017-10-18,17.0
2017-10-19,17.05
2017-10-23,17.25
2017-10-24,17.4
2017-10-25,17.4
2017-10-26,17.1
2017-10-27,17.75
2017-10-30,17.35
2017-10-31,18.2
2017-11-01,18.15
2017-11-02,18.3
2017-11-03,18.3
2017-11-06,17.9
2017-11-07,17.9
2017-11-08,17.9
2017-11-09,17.5
2017-11-10,17.7
2017-11-13,17.85
2017-11-14,17.1
2017-11-15,16.65
2017-11-16,16.85
2017-11-17,17.95
2017-11-20,18.25
2017-11-21,18.0
2017-11-22,18.1
2017-11-23,18.05
2017-11-24,17.85
2017-11-27,18.1
2017-11-28,17.8
2017-11-29,18.05
2017-11-30,18.05
2017-12-01,18.0
2017-12-04,17.95
2017-12-05,17.95
2017-12-06,17.55
2017-12-07,18.8
2017-12-08,18.7
2017-12-11,18.65
2017-12-12,18.4
2017-12-13,17.95
2017-12-14,17.85
2017-12-15,17.9
2017-12-18,17.8
2017-12-19,17.9
2017-12-20,18.7
2017-12-21,18.85
2017-12-22,19.4
2017-12-26,20.0
2017-12-27,24.0
2017-12-28,28.35
2017-12-29,25.55
