Date,PVP
2017-01-02,4.8
2017-01-03,5.05
2017-01-04,4.85
2017-01-05,5.0
2017-01-06,4.95
2017-01-09,4.85
2017-01-10,4.85
2017-01-11,4.95
2017-01-12,4.85
2017-01-13,4.8
2017-01-16,4.85
2017-01-17,4.95
2017-01-18,4.85
2017-01-19,4.8
2017-01-20,4.8
2017-01-23,4.8
2017-01-24,4.8
2017-01-25,4.7
2017-01-27,4.7
2017-01-30,4.65
2017-01-31,4.6
2017-02-01,4.6
2017-02-02,4.55
2017-02-03,5.45
2017-02-06,5.6
2017-02-07,5.55
2017-02-08,5.25
2017-02-09,5.15
2017-02-10,5.2
2017-02-13,5.05
2017-02-14,5.0
2017-02-15,4.8
2017-02-16,4.9
2017-02-17,5.05
2017-02-20,4.9
2017-02-21,5.0
2017-02-22,4.9
2017-02-23,4.85
2017-02-27,4.75
2017-02-28,4.95
2017-03-01,5.05
2017-03-02,4.95
2017-03-03,4.9
2017-03-06,4.85
2017-03-07,5.0
2017-03-08,4.9
2017-03-09,4.85
2017-03-10,4.9
2017-03-14,4.9
2017-03-15,4.85
2017-03-16,4.85
2017-03-17,4.75
2017-03-20,4.75
2017-03-21,4.75
2017-03-22,4.75
2017-03-23,4.65
2017-03-24,4.65
2017-03-27,4.55
2017-03-28,4.6
2017-03-29,4.7
2017-03-30,4.8
2017-03-31,4.75
2017-04-03,4.9
2017-04-05,4.95
2017-04-06,4.75
2017-04-07,4.9
2017-04-10,4.85
2017-04-11,4.95
2017-04-12,5.15
2017-04-13,5.5
2017-04-17,5.55
2017-04-18,5.7
2017-04-19,6.5
2017-04-20,7.05
2017-04-21,6.5
2017-04-24,6.2
2017-04-25,6.0
2017-04-26,5.95
2017-05-30,5.0
2017-05-31,5.2
2017-06-01,5.2
2017-06-02,5.25
2017-06-05,5.1
2017-06-06,5.0
2017-06-07,5.05
2017-06-08,4.95
2017-06-09,5.2
2017-06-12,5.35
2017-06-13,5.3
2017-06-14,5.25
2017-06-15,5.2
2017-06-16,5.45
2017-06-19,5.8
2017-06-20,5.55
2017-06-21,5.5
2017-06-22,5.45
2017-06-23,5.2
2017-06-27,5.15
2017-06-28,5.1
2017-06-29,5.2
2017-06-30,5.2
2017-07-03,5.4
2017-07-04,5.4
2017-07-05,5.4
2017-07-06,5.35
2017-07-07,5.3
2017-07-10,5.4
2017-07-11,5.35
2017-07-12,5.4
2017-07-13,5.5
2017-07-14,5.45
2017-07-17,5.2
2017-07-18,5.35
2017-07-19,5.55
2017-07-20,6.0
2017-07-21,6.0
2017-07-24,5.75
2017-07-25,5.75
2017-07-26,5.55
2017-07-27,5.7
2017-07-28,5.7
2017-07-31,5.75
2017-08-01,5.45
2017-08-02,5.45
2017-08-03,5.15
2017-08-04,5.0
2017-08-07,5.05
2017-08-08,5.1
2017-08-09,4.85
2017-08-10,4.6
2017-08-11,4.7
2017-08-14,4.8
2017-08-16,4.9
2017-08-17,4.95
2017-08-18,4.85
2017-08-21,4.75
2017-08-22,4.75
2017-08-23,5.0
2017-08-24,4.95
2017-08-28,5.4
2017-08-29,5.4
2017-08-30,5.5
2017-08-31,5.45
2017-09-01,5.4
2017-09-04,5.3
2017-09-05,5.35
2017-09-06,5.25
2017-09-07,5.25
2017-09-08,5.1
2017-09-11,5.0
2017-09-12,5.0
2017-09-13,4.85
2017-09-14,5.0
2017-09-15,5.0
2017-09-18,5.1
2017-09-19,5.1
2017-09-20,4.95
2017-09-21,4.95
2017-09-22,4.9
2017-09-25,4.8
2017-09-26,4.95
2017-09-27,4.9
2017-09-28,4.9
2017-09-29,5.0
2017-10-03,4.85
2017-10-04,4.9
2017-10-05,4.85
2017-10-06,4.85
2017-10-09,4.75
2017-10-10,5.15
2017-10-11,5.2
2017-10-12,5.1
2017-10-13,4.9
2017-10-16,4.95
2017-10-17,4.85
2017-10-18,4.85
2017-10-19,4.85
2017-10-23,4.85
2017-10-24,4.8
2017-10-25,4.9
2017-10-26,5.0
2017-10-27,4.85
2017-10-30,5.05
2017-10-31,4.95
2017-11-01,5.45
2017-11-02,5.5
2017-11-03,5.4
2017-11-06,5.45
2017-11-07,5.4
2017-11-08,5.1
2017-11-09,5.55
2017-11-10,5.65
2017-11-13,5.55
2017-11-14,5.1
2017-11-15,4.95
2017-11-16,4.9
2017-11-17,5.1
2017-11-20,5.0
2017-11-21,5.0
2017-11-22,5.0
2017-11-23,5.0
2017-11-24,5.05
2017-11-27,5.05
2017-11-28,5.55
2017-11-29,5.65
2017-11-30,5.45
2017-12-01,5.35
2017-12-04,5.1
2017-12-05,5.15
2017-12-06,5.05
2017-12-07,5.1
2017-12-08,5.3
2017-12-11,5.25
2017-12-12,5.25
2017-12-13,5.15
2017-12-14,5.2
2017-12-15,5.2
2017-12-18,5.1
2017-12-19,5.15
2017-12-20,5.35
2017-12-21,6.4
2017-12-22,7.0
2017-12-26,8.4
2017-12-27,7.6
2017-12-28,7.9
2017-12-29,8.1
