Date,SOUTHBANK
2017-01-02,19.65
2017-01-03,19.9
2017-01-04,20.0
2017-01-05,20.4
2017-01-06,20.6
2017-01-09,21.0
2017-01-10,20.9
2017-01-11,21.5
2017-01-12,21.3
2017-01-13,21.3
2017-01-16,21.4
2017-01-17,21.35
2017-01-18,21.25
2017-01-19,21.2
2017-01-20,21.0
2017-01-23,21.25
2017-01-24,21.25
2017-01-25,21.25
2017-01-27,21.4
2017-01-30,21.35
2017-01-31,20.85
2017-02-01,21.35
2017-02-02,21.9
2017-02-03,22.35
2017-02-06,22.35
2017-02-07,23.15
2017-02-08,23.2
2017-02-09,23.05
2017-02-10,22.95
2017-02-13,22.8
2017-02-14,22.8
2017-02-15,22.55
2017-02-16,19.9
2017-02-17,20.0
2017-02-20,20.7
2017-02-21,20.8
2017-02-22,20.45
2017-02-23,20.6
2017-02-27,20.2
2017-02-28,20.85
2017-03-01,20.85
2017-03-02,20.35
2017-03-03,20.3
2017-03-06,20.25
2017-03-07,20.6
2017-03-08,20.45
2017-03-09,20.25
2017-03-10,20.15
2017-03-14,20.2
2017-03-15,20.25
2017-03-16,20.5
2017-03-17,20.55
2017-03-20,20.45
2017-03-21,20.35
2017-03-22,20.1
2017-03-23,20.2
2017-03-24,20.25
2017-03-27,20.2
2017-03-28,20.25
2017-03-29,19.95
2017-03-30,20.25
2017-03-31,21.35
2017-04-03,21.55
2017-04-05,21.55
2017-04-06,21.45
2017-04-07,21.65
2017-04-10,21.75
2017-04-11,22.5
2017-04-12,22.45
2017-04-13,22.5
2017-04-17,22.5
2017-04-18,22.35
2017-04-19,22.3
2017-04-20,22.4
2017-04-21,23.9
2017-04-24,24.85
2017-04-25,24.95
2017-04-26,24.15
2017-04-27,24.6
2017-04-28,25.7
2017-05-02,25.45
2017-05-03,25.6
2017-05-04,25.95
2017-05-05,25.4
2017-05-08,25.75
2017-05-09,26.3
2017-05-10,26.15
2017-05-11,26.05
2017-05-12,25.8
2017-05-15,24.65
2017-05-16,25.3
2017-05-17,26.2
2017-05-18,26.15
2017-05-19,26.25
2017-05-22,25.75
2017-05-23,25.6
2017-05-24,25.25
2017-05-25,25.7
2017-05-26,27.0
2017-05-29,26.9
2017-05-30,27.7
2017-05-31,28.15
2017-06-01,28.45
2017-06-02,28.85
2017-06-05,28.5
2017-06-06,27.6
2017-06-07,28.35
2017-06-08,28.0
2017-06-09,28.2
2017-06-12,27.95
2017-06-13,28.6
2017-06-14,29.05
2017-06-15,29.25
2017-06-16,29.5
2017-06-19,29.65
2017-06-20,29.35
2017-06-21,29.5
2017-06-22,28.85
2017-06-23,28.05
2017-06-27,27.55
2017-06-28,27.5
2017-06-29,27.75
2017-06-30,27.75
2017-07-03,27.75
2017-07-04,27.5
2017-07-05,27.7
2017-07-06,28.4
2017-07-07,28.2
2017-07-10,28.8
2017-07-11,27.7
2017-07-12,28.25
2017-07-13,28.4
2017-07-14,28.55
2017-07-17,28.5
2017-07-18,28.4
2017-07-19,28.5
2017-07-20,28.3
2017-07-21,28.7
2017-07-24,29.35
2017-07-25,29.6
2017-07-26,30.5
2017-07-27,30.9
2017-07-28,30.35
2017-07-31,30.15
2017-08-01,29.9
2017-08-02,29.85
2017-08-03,28.95
2017-08-04,29.25
2017-08-07,29.25
2017-08-08,28.55
2017-08-09,27.7
2017-08-10,26.25
2017-08-11,26.3
2017-08-14,27.2
2017-08-16,28.0
2017-08-17,27.85
2017-08-18,27.9
2017-08-21,26.95
2017-08-22,26.55
2017-08-23,27.2
2017-08-24,27.9
2017-08-28,28.0
2017-08-29,27.55
2017-08-30,27.9
2017-08-31,27.85
2017-09-01,29.2
2017-09-04,28.8
2017-09-05,29.2
2017-09-06,28.9
2017-09-07,29.0
2017-09-08,28.75
2017-09-11,28.95
2017-09-12,29.25
2017-09-13,28.8
2017-09-14,28.65
2017-09-15,29.25
2017-09-18,29.2
2017-09-19,29.05
2017-09-20,31.45
2017-09-21,31.05
2017-09-22,29.3
2017-09-25,28.6
2017-09-26,29.0
2017-09-27,27.85
2017-09-28,27.9
2017-09-29,28.2
2017-10-03,27.95
2017-10-04,29.35
2017-10-05,29.7
2017-10-06,31.55
2017-10-09,32.0
2017-10-10,30.05
2017-10-11,30.7
2017-10-12,31.3
2017-10-13,32.35
2017-10-16,32.3
2017-10-17,32.05
2017-10-18,32.1
2017-10-19,32.1
2017-10-23,31.8
2017-10-24,32.05
2017-10-25,30.9
2017-10-26,31.25
2017-10-27,30.95
2017-10-30,30.85
2017-10-31,30.55
2017-11-01,30.85
2017-11-02,30.55
2017-11-03,31.7
2017-11-06,31.2
2017-11-07,30.6
2017-11-08,30.1
2017-11-09,30.8
2017-11-10,30.7
2017-11-13,30.55
2017-11-14,30.45
2017-11-15,30.05
2017-11-16,30.45
2017-11-17,30.55
2017-11-20,31.45
2017-11-21,31.45
2017-11-22,31.25
2017-11-23,31.25
2017-11-24,31.45
2017-11-27,31.4
2017-11-28,31.45
2017-11-29,32.85
2017-11-30,32.9
2017-12-01,31.7
2017-12-04,31.65
2017-12-05,31.55
2017-12-06,31.15
2017-12-07,31.4
2017-12-08,32.4
2017-12-11,32.1
2017-12-12,31.65
2017-12-13,31.1
2017-12-14,31.0
2017-12-15,31.0
2017-12-18,31.2
2017-12-19,31.85
2017-12-20,31.55
2017-12-21,31.45
2017-12-22,31.55
2017-12-26,31.55
2017-12-27,31.45
2017-12-28,30.85
2017-12-29,31.0
