Date,GENUSPAPER
2017-01-02,5.55
2017-01-03,5.7
2017-01-04,5.7
2017-01-05,5.75
2017-01-06,5.7
2017-01-09,5.55
2017-01-10,5.8
2017-01-11,5.9
2017-01-12,5.75
2017-01-13,5.7
2017-01-16,5.5
2017-01-17,5.65
2017-01-18,5.55
2017-01-19,5.65
2017-01-20,5.5
2017-01-23,5.5
2017-01-24,5.45
2017-01-25,5.45
2017-01-27,5.5
2017-01-30,5.6
2017-01-31,5.55
2017-02-01,5.75
2017-02-02,5.6
2017-02-03,5.6
2017-02-06,5.65
2017-02-07,5.55
2017-02-08,5.7
2017-02-09,5.65
2017-02-10,5.8
2017-02-13,5.5
2017-02-14,5.5
2017-02-15,5.3
2017-02-16,5.15
2017-02-17,4.95
2017-02-20,4.95
2017-02-21,4.95
2017-02-22,4.95
2017-02-23,4.9
2017-02-27,4.75
2017-02-28,4.95
2017-03-01,5.05
2017-03-02,4.9
2017-03-03,4.85
2017-03-06,4.9
2017-03-07,4.8
2017-03-08,5.0
2017-03-09,4.9
2017-03-10,4.9
2017-03-14,4.9
2017-03-15,4.95
2017-03-16,4.95
2017-03-17,4.95
2017-03-20,4.9
2017-03-21,4.9
2017-03-22,4.85
2017-03-23,4.85
2017-03-24,5.45
2017-03-27,5.6
2017-03-28,5.55
2017-03-29,5.3
2017-03-30,5.35
2017-03-31,5.2
2017-04-03,5.2
2017-04-05,5.2
2017-04-06,5.25
2017-04-07,5.15
2017-04-10,5.1
2017-04-11,5.25
2017-04-12,5.25
2017-04-13,5.25
2017-04-17,5.2
2017-04-18,5.15
2017-04-19,5.15
2017-04-20,5.2
2017-04-21,5.2
2017-04-24,5.15
2017-04-25,5.1
2017-04-26,4.95
2017-04-27,4.9
2017-04-28,4.9
2017-05-02,4.85
2017-05-03,4.9
2017-05-04,5.65
2017-05-05,5.55
2017-05-08,5.25
2017-05-09,5.35
2017-05-10,5.3
2017-05-11,5.3
2017-05-12,5.15
2017-05-15,5.15
2017-05-16,5.1
2017-05-17,5.1
2017-05-18,5.1
2017-05-19,5.0
2017-05-22,5.15
2017-05-23,4.95
2017-05-24,5.4
2017-05-25,5.2
2017-05-26,5.35
2017-05-29,5.45
2017-05-30,5.4
2017-05-31,5.2
2017-06-01,5.2
2017-06-02,5.05
2017-06-05,5.05
2017-06-06,5.05
2017-06-07,5.45
2017-06-08,5.3
2017-06-09,5.25
2017-06-12,5.5
2017-06-13,5.5
2017-06-14,5.35
2017-06-15,5.25
2017-06-16,5.2
2017-06-19,5.2
2017-06-20,5.05
2017-06-21,5.2
2017-06-22,5.2
2017-06-23,5.1
2017-06-27,5.05
2017-06-28,5.1
2017-06-29,5.0
2017-06-30,5.1
2017-07-03,5.05
2017-07-04,5.15
2017-07-05,5.15
2017-07-06,5.1
2017-07-07,5.05
2017-07-10,5.1
2017-07-11,5.05
2017-07-12,5.15
2017-07-13,5.25
2017-07-14,5.25
2017-07-17,5.2
2017-07-18,5.2
2017-07-19,5.35
2017-07-20,5.7
2017-07-21,5.55
2017-07-24,5.55
2017-07-25,5.55
2017-07-26,5.45
2017-07-27,5.3
2017-07-28,5.55
2017-07-31,6.5
2017-08-01,6.35
2017-08-02,5.85
2017-08-03,5.75
2017-08-04,5.75
2017-08-07,5.95
2017-08-08,5.7
2017-08-09,5.6
2017-08-10,5.2
2017-08-11,5.15
2017-08-14,5.3
2017-08-16,5.45
2017-08-17,5.5
2017-08-18,5.4
2017-08-21,5.45
2017-08-22,5.6
2017-08-23,5.55
2017-08-24,5.5
2017-08-28,5.4
2017-08-29,5.35
2017-08-30,5.35
2017-08-31,5.4
2017-09-01,5.55
2017-09-04,5.5
2017-09-05,5.45
2017-09-06,5.35
2017-09-07,5.35
2017-09-08,5.35
2017-09-11,5.35
2017-09-12,5.35
2017-09-13,5.45
2017-09-14,5.4
2017-09-15,5.35
2017-09-18,5.4
2017-09-19,5.55
2017-09-20,5.45
2017-09-21,5.4
2017-09-22,5.3
2017-09-25,5.25
2017-09-26,5.3
2017-09-27,5.25
2017-09-28,5.25
2017-09-29,5.35
2017-10-03,5.4
2017-10-04,5.3
2017-10-05,5.3
2017-10-06,5.9
2017-10-09,7.05
2017-10-10,8.45
2017-10-11,7.65
2017-10-12,7.0
2017-10-13,7.7
2017-10-16,8.45
2017-10-17,9.25
2017-10-18,10.0
2017-10-19,10.25
2017-10-23,10.35
2017-10-24,10.1
2017-10-25,9.7
2017-10-26,10.15
2017-10-27,10.65
2017-10-30,11.15
2017-10-31,11.7
2017-11-01,11.8
2017-11-02,11.45
2017-11-03,10.9
2017-11-06,10.4
2017-11-07,9.9
2017-11-08,9.45
2017-11-09,9.9
2017-11-10,10.35
2017-11-13,10.8
