Date,KARURVYSYA
2017-01-02,81.65
2017-01-03,81.8
2017-01-04,82.0
2017-01-05,82.85
2017-01-06,82.6
2017-01-09,82.2
2017-01-10,83.25
2017-01-11,84.5
2017-01-12,84.0
2017-01-13,83.9
2017-01-16,84.75
2017-01-17,84.15
2017-01-18,85.6
2017-01-19,85.9
2017-01-20,85.15
2017-01-23,85.15
2017-01-24,85.45
2017-01-25,85.55
2017-01-27,85.05
2017-01-30,84.05
2017-01-31,83.5
2017-02-01,85.5
2017-02-02,87.15
2017-02-03,88.0
2017-02-06,88.4
2017-02-07,88.05
2017-02-08,89.95
2017-02-09,92.3
2017-02-10,95.1
2017-02-13,94.45
2017-02-14,94.4
2017-02-15,91.4
2017-02-16,91.35
2017-02-17,92.75
2017-02-20,95.2
2017-02-21,95.9
2017-02-22,96.5
2017-02-23,98.85
2017-02-27,100.15
2017-02-28,100.2
2017-03-01,100.0
2017-03-02,98.35
2017-03-03,99.75
2017-03-06,99.3
2017-03-07,98.7
2017-03-08,98.2
2017-03-09,97.75
2017-03-10,98.6
2017-03-14,97.1
2017-03-15,99.3
2017-03-16,101.75
2017-03-17,101.8
2017-03-20,105.45
2017-03-21,106.15
2017-03-22,105.15
2017-03-23,107.3
2017-03-24,109.8
2017-03-27,109.3
2017-03-28,108.35
2017-03-29,109.95
2017-03-30,110.4
2017-03-31,112.0
2017-04-03,116.45
2017-04-05,117.95
2017-04-06,115.35
2017-04-07,113.8
2017-04-10,116.85
2017-04-11,121.2
2017-04-12,119.65
2017-04-13,118.65
2017-04-17,117.6
2017-04-18,117.95
2017-04-19,119.45
2017-04-20,118.85
2017-04-21,117.65
2017-04-24,117.1
2017-04-25,118.75
2017-04-26,116.75
2017-04-27,117.0
2017-04-28,119.5
2017-05-02,120.75
2017-05-03,120.7
2017-05-04,120.05
2017-05-05,118.35
2017-05-08,118.9
2017-05-09,118.9
2017-05-10,119.3
2017-05-11,118.35
2017-05-12,117.1
2017-05-15,117.45
2017-05-16,117.45
2017-05-17,116.95
2017-05-18,116.15
2017-05-19,115.5
2017-05-22,119.45
2017-05-23,118.8
2017-05-24,118.4
2017-05-25,117.3
2017-05-26,117.95
2017-05-29,117.25
2017-05-30,116.65
2017-05-31,115.95
2017-06-01,118.5
2017-06-02,121.85
2017-06-05,127.0
2017-06-06,127.95
2017-06-07,128.15
2017-06-08,130.1
2017-06-09,129.9
2017-06-12,129.05
2017-06-13,133.95
2017-06-14,145.45
2017-06-15,140.95
2017-06-16,148.85
2017-06-19,149.95
2017-06-20,149.5
2017-06-21,145.5
2017-06-22,144.15
2017-06-23,141.75
2017-06-27,139.45
2017-06-28,142.15
2017-06-29,146.3
2017-06-30,144.7
2017-07-03,144.65
2017-07-04,144.25
2017-07-05,143.7
2017-07-06,145.5
2017-07-07,143.9
2017-07-10,143.55
2017-07-11,141.95
2017-07-12,138.0
2017-07-13,141.1
2017-07-14,136.4
2017-07-17,137.45
2017-07-18,134.35
2017-07-19,139.05
2017-07-20,141.05
2017-07-21,141.8
2017-07-24,140.8
2017-07-25,138.0
2017-07-26,137.3
2017-07-27,137.1
2017-07-28,139.35
2017-07-31,140.25
2017-08-01,140.35
2017-08-02,139.55
2017-08-03,137.25
2017-08-04,140.7
2017-08-07,139.8
2017-08-08,136.75
2017-08-09,135.8
2017-08-10,134.0
2017-08-11,131.2
2017-08-14,135.55
2017-08-16,139.65
2017-08-17,144.85
2017-08-18,142.55
2017-08-21,138.2
2017-08-22,136.1
2017-08-23,135.9
2017-08-24,139.9
2017-08-28,141.85
2017-08-29,138.6
2017-08-30,141.3
2017-08-31,142.3
2017-09-01,147.05
2017-09-04,145.4
2017-09-05,147.6
2017-09-06,150.55
2017-09-07,150.15
2017-09-08,149.5
2017-09-11,146.7
2017-09-12,153.05
2017-09-13,150.4
2017-09-14,152.6
2017-09-15,157.1
2017-09-18,158.95
2017-09-19,158.35
2017-09-20,159.05
2017-09-21,153.1
2017-09-22,149.3
2017-09-25,144.05
2017-09-26,147.75
2017-09-27,143.45
2017-09-28,142.85
2017-09-29,144.2
2017-10-03,143.0
2017-10-04,144.0
2017-10-05,143.4
2017-10-06,142.95
2017-10-09,145.45
2017-10-10,146.2
2017-10-11,145.7
2017-10-12,131.35
2017-10-13,129.3
2017-10-16,128.55
2017-10-17,127.7
2017-10-18,124.35
2017-10-19,128.05
2017-10-23,130.4
2017-10-24,127.45
2017-10-25,125.15
2017-10-26,126.85
2017-10-27,127.05
2017-10-30,126.9
2017-10-31,126.9
2017-11-01,129.65
2017-11-02,127.65
2017-11-03,127.4
2017-11-06,126.05
2017-11-07,125.1
2017-11-08,119.65
2017-11-09,124.95
2017-11-10,127.45
2017-11-13,129.15
2017-11-14,124.7
2017-11-15,120.2
2017-11-16,117.65
2017-11-17,120.1
2017-11-20,120.65
2017-11-21,121.6
2017-11-22,121.2
2017-11-23,123.05
2017-11-24,120.6
2017-11-27,118.95
2017-11-28,118.05
2017-11-29,115.8
2017-11-30,113.9
2017-12-01,116.55
2017-12-04,114.0
2017-12-05,114.4
2017-12-06,113.4
2017-12-07,113.2
2017-12-08,112.6
2017-12-11,117.0
2017-12-12,116.45
2017-12-13,116.0
2017-12-14,114.35
2017-12-15,113.9
2017-12-18,116.75
2017-12-19,116.9
2017-12-20,122.15
2017-12-21,124.85
2017-12-22,122.95
2017-12-26,121.3
2017-12-27,122.1
2017-12-28,123.45
2017-12-29,125.2
