Date,UJJIVAN
2017-01-02,331.85
2017-01-03,329.9
2017-01-04,331.4
2017-01-05,336.2
2017-01-06,332.35
2017-01-09,326.05
2017-01-10,325.55
2017-01-11,331.05
2017-01-12,334.75
2017-01-13,327.8
2017-01-16,338.6
2017-01-17,358.3
2017-01-18,362.5
2017-01-19,353.35
2017-01-20,346.8
2017-01-23,347.85
2017-01-24,350.5
2017-01-25,364.55
2017-01-27,361.85
2017-01-30,365.55
2017-01-31,363.5
2017-02-01,392.2
2017-02-02,424.25
2017-02-03,425.7
2017-02-06,435.4
2017-02-07,433.65
2017-02-08,443.7
2017-02-09,440.15
2017-02-10,436.85
2017-02-13,428.5
2017-02-14,427.0
2017-02-15,410.95
2017-02-16,431.95
2017-02-17,442.15
2017-02-20,441.95
2017-02-21,438.6
2017-02-22,430.4
2017-02-23,434.25
2017-02-27,438.15
2017-02-28,434.5
2017-03-01,433.25
2017-03-02,442.75
2017-03-03,459.0
2017-03-06,456.35
2017-03-07,448.65
2017-03-08,445.35
2017-03-09,440.6
2017-03-10,434.75
2017-03-14,437.2
2017-03-15,442.1
2017-03-16,444.0
2017-03-17,440.75
2017-03-20,440.5
2017-03-21,435.05
2017-03-22,422.5
2017-03-23,424.25
2017-03-24,422.4
2017-03-27,417.1
2017-03-28,420.05
2017-03-29,420.55
2017-03-30,430.15
2017-03-31,423.35
2017-04-03,418.9
2017-04-05,412.15
2017-04-06,400.6
2017-04-07,393.4
2017-04-10,386.75
2017-04-11,395.35
2017-04-12,390.8
2017-04-13,402.45
2017-04-17,397.75
2017-04-18,395.25
2017-04-19,404.35
2017-04-20,402.65
2017-04-21,402.6
2017-04-24,403.5
2017-04-25,403.3
2017-04-26,392.55
2017-04-27,403.7
2017-04-28,381.6
2017-05-02,357.05
2017-05-03,360.25
2017-05-04,355.6
2017-05-05,346.0
2017-05-08,340.0
2017-05-09,338.45
2017-05-10,346.75
2017-05-11,356.25
2017-05-12,349.5
2017-05-15,351.75
2017-05-16,350.25
2017-05-17,349.55
2017-05-18,340.15
2017-05-19,320.65
2017-05-22,314.2
2017-05-23,305.45
2017-05-24,301.15
2017-05-25,314.1
2017-05-26,309.6
2017-05-29,299.15
2017-05-30,304.0
2017-05-31,307.35
2017-06-01,306.2
2017-06-02,309.0
2017-06-05,305.25
2017-06-06,300.55
2017-06-07,301.7
2017-06-08,300.75
2017-06-09,297.8
2017-06-12,299.1
2017-06-13,297.05
2017-06-14,296.15
2017-06-15,304.05
2017-06-16,324.55
2017-06-19,321.25
2017-06-20,329.25
2017-06-21,324.2
2017-06-22,316.8
2017-06-23,310.3
2017-06-27,298.95
2017-06-28,298.9
2017-06-29,305.2
2017-06-30,309.55
2017-07-03,314.35
2017-07-04,309.55
2017-07-05,326.0
2017-07-06,322.05
2017-07-07,320.7
2017-07-10,326.75
2017-07-11,321.45
2017-07-12,331.9
2017-07-13,350.55
2017-07-14,346.95
2017-07-17,339.05
2017-07-18,338.95
2017-07-19,340.95
2017-07-20,335.85
2017-07-21,340.5
2017-07-24,336.35
2017-07-25,336.35
2017-07-26,325.4
2017-07-27,331.35
2017-07-28,323.0
2017-07-31,323.1
2017-08-01,317.55
2017-08-02,311.1
2017-08-03,308.75
2017-08-04,320.65
2017-08-07,330.2
2017-08-08,326.85
2017-08-09,316.95
2017-08-10,308.25
2017-08-11,310.05
2017-08-14,315.35
2017-08-16,323.25
2017-08-17,321.2
2017-08-18,321.3
2017-08-21,307.9
2017-08-22,303.85
2017-08-23,313.25
2017-08-24,314.4
2017-08-28,324.9
2017-08-29,325.95
2017-08-30,358.3
2017-08-31,366.5
2017-09-01,362.45
2017-09-04,351.4
2017-09-05,363.25
2017-09-06,374.3
2017-09-07,372.25
2017-09-08,368.65
2017-09-11,372.65
2017-09-12,369.5
2017-09-13,359.85
2017-09-14,355.45
2017-09-15,352.1
2017-09-18,351.7
2017-09-19,357.45
2017-09-20,359.75
2017-09-21,352.65
2017-09-22,336.7
2017-09-25,325.55
2017-09-26,330.35
2017-09-27,319.0
2017-09-28,314.8
2017-09-29,318.3
2017-10-03,318.95
2017-10-04,320.8
2017-10-05,327.45
2017-10-06,333.55
2017-10-09,340.5
2017-10-10,343.95
2017-10-11,330.85
2017-10-12,337.8
2017-10-13,337.4
2017-10-16,345.65
2017-10-17,348.3
2017-10-18,346.75
2017-10-19,342.7
2017-10-23,337.3
2017-10-24,335.85
2017-10-25,325.05
2017-10-26,322.1
2017-10-27,324.65
2017-10-30,329.2
2017-10-31,338.7
2017-11-01,344.5
2017-11-02,343.85
2017-11-03,373.35
2017-11-06,373.4
2017-11-07,360.3
2017-11-08,368.4
2017-11-09,378.7
2017-11-10,382.35
2017-11-13,370.95
2017-11-14,388.6
2017-11-15,380.3
2017-11-16,384.75
2017-11-17,389.95
2017-11-20,404.05
2017-11-21,398.55
2017-11-22,401.85
2017-11-23,402.6
2017-11-24,415.0
2017-11-27,409.2
2017-11-28,400.35
2017-11-29,396.75
2017-11-30,387.4
2017-12-01,376.0
2017-12-04,377.25
2017-12-05,373.0
2017-12-06,369.25
2017-12-07,380.95
2017-12-08,383.3
2017-12-11,381.45
2017-12-12,371.2
2017-12-13,361.45
2017-12-14,360.3
2017-12-15,363.05
2017-12-18,370.75
2017-12-19,376.15
2017-12-20,380.6
2017-12-21,391.4
2017-12-22,386.65
2017-12-26,385.9
2017-12-27,387.75
2017-12-28,392.0
2017-12-29,389.1
