Date,QUICKHEAL
2017-01-02,260.0
2017-01-03,260.8
2017-01-04,264.65
2017-01-05,268.1
2017-01-06,256.35
2017-01-09,257.55
2017-01-10,259.55
2017-01-11,255.65
2017-01-12,253.45
2017-01-13,257.9
2017-01-16,261.0
2017-01-17,265.35
2017-01-18,264.3
2017-01-19,276.15
2017-01-20,267.6
2017-01-23,268.25
2017-01-24,270.35
2017-01-25,271.5
2017-01-27,269.1
2017-01-30,273.8
2017-01-31,267.75
2017-02-01,270.5
2017-02-02,272.55
2017-02-03,278.0
2017-02-06,264.6
2017-02-07,261.5
2017-02-08,262.3
2017-02-09,260.35
2017-02-10,261.9
2017-02-13,258.2
2017-02-14,252.1
2017-02-15,250.1
2017-02-16,251.15
2017-02-17,252.25
2017-02-20,253.2
2017-02-21,257.85
2017-02-22,252.7
2017-02-23,250.8
2017-02-27,247.85
2017-02-28,248.05
2017-03-01,247.5
2017-03-02,245.35
2017-03-03,244.15
2017-03-06,244.85
2017-03-07,241.1
2017-03-08,239.9
2017-03-09,239.15
2017-03-10,240.55
2017-03-14,242.7
2017-03-15,243.5
2017-03-16,243.5
2017-03-17,239.5
2017-03-20,238.6
2017-03-21,234.9
2017-03-22,238.45
2017-03-23,238.1
2017-03-24,238.45
2017-03-27,237.05
2017-03-28,237.6
2017-03-29,236.5
2017-03-30,237.25
2017-03-31,236.3
2017-04-03,238.8
2017-04-05,250.5
2017-04-06,247.45
2017-04-07,252.9
2017-04-10,255.8
2017-04-11,254.75
2017-04-12,249.4
2017-04-13,250.5
2017-04-17,249.1
2017-04-18,246.5
2017-04-19,243.6
2017-04-20,245.85
2017-04-21,246.3
2017-04-24,244.25
2017-04-25,247.6
2017-04-26,245.45
2017-04-27,246.35
2017-04-28,245.7
2017-05-02,242.8
2017-05-03,247.05
2017-05-04,245.1
2017-05-05,239.15
2017-05-08,241.5
2017-05-09,243.15
2017-05-10,242.55
2017-05-11,244.25
2017-05-12,240.95
2017-05-15,233.4
2017-05-16,234.5
2017-05-17,232.1
2017-05-18,223.95
2017-05-19,217.95
2017-05-22,216.2
2017-05-23,211.55
2017-05-24,204.5
2017-05-25,209.05
2017-05-26,212.75
2017-05-29,205.45
2017-05-30,203.05
2017-05-31,209.0
2017-06-01,218.1
2017-06-02,214.6
2017-06-05,216.25
2017-06-06,216.5
2017-06-07,213.3
2017-06-08,213.8
2017-06-09,214.15
2017-06-12,210.1
2017-06-13,207.15
2017-06-14,210.25
2017-06-15,210.35
2017-06-16,211.5
2017-06-19,211.45
2017-06-20,210.35
2017-06-21,208.5
2017-06-22,211.65
2017-06-23,207.65
2017-06-27,206.8
2017-06-28,208.5
2017-06-29,208.7
2017-06-30,206.45
2017-07-03,206.75
2017-07-04,204.85
2017-07-05,202.0
2017-07-06,204.1
2017-07-07,221.35
2017-07-10,219.2
2017-07-11,224.3
2017-07-12,222.65
2017-07-13,227.55
2017-07-14,221.9
2017-07-17,222.5
2017-07-18,225.0
2017-07-19,226.65
2017-07-20,225.2
2017-07-21,221.9
2017-07-24,220.15
2017-07-25,218.9
2017-07-26,218.15
2017-07-27,213.75
2017-07-28,214.1
2017-07-31,212.85
2017-08-01,213.75
2017-08-02,211.35
2017-08-03,208.0
2017-08-04,209.35
2017-08-07,212.4
2017-08-08,209.25
2017-08-09,205.3
2017-08-10,191.4
2017-08-11,190.6
2017-08-14,182.8
2017-08-16,188.2
2017-08-17,187.65
2017-08-18,184.2
2017-08-21,180.2
2017-08-22,175.35
2017-08-23,176.75
2017-08-24,176.7
2017-08-28,174.6
2017-08-29,175.95
2017-08-30,182.6
2017-08-31,190.75
2017-09-01,196.4
2017-09-04,194.15
2017-09-05,195.25
2017-09-06,193.05
2017-09-07,199.25
2017-09-08,196.8
2017-09-11,194.8
2017-09-12,196.7
2017-09-13,193.5
2017-09-14,195.2
2017-09-15,190.0
2017-09-18,191.8
2017-09-19,193.7
2017-09-20,191.95
2017-09-21,189.8
2017-09-22,184.6
2017-09-25,180.8
2017-09-26,180.65
2017-09-27,176.95
2017-09-28,177.3
2017-09-29,178.8
2017-10-03,182.9
2017-10-04,183.95
2017-10-05,182.95
2017-10-06,185.8
2017-10-09,189.95
2017-10-10,191.2
2017-10-11,191.6
2017-10-12,192.7
2017-10-13,188.7
2017-10-16,186.35
2017-10-17,186.8
2017-10-18,183.7
2017-10-19,185.7
2017-10-23,186.15
2017-10-24,185.6
2017-10-25,185.25
2017-10-26,189.9
2017-10-27,192.8
2017-10-30,194.2
2017-10-31,195.4
2017-11-01,196.75
2017-11-02,198.25
2017-11-03,195.6
2017-11-06,193.85
2017-11-07,190.75
2017-11-08,187.9
2017-11-09,189.75
2017-11-10,198.05
2017-11-13,208.75
2017-11-14,216.25
2017-11-15,217.75
2017-11-16,223.75
2017-11-17,217.65
2017-11-20,218.45
2017-11-21,223.45
2017-11-22,222.05
2017-11-23,231.7
2017-11-24,225.5
2017-11-27,220.95
2017-11-28,222.55
2017-11-29,225.45
2017-11-30,225.6
2017-12-01,229.85
2017-12-04,229.5
2017-12-05,245.1
2017-12-06,238.3
2017-12-07,242.5
2017-12-08,257.0
2017-12-11,269.1
2017-12-12,259.5
2017-12-13,250.65
2017-12-14,250.15
2017-12-15,251.7
2017-12-18,272.4
2017-12-19,275.35
2017-12-20,278.6
2017-12-21,286.45
2017-12-22,291.1
2017-12-26,325.1
2017-12-27,313.2
2017-12-28,318.15
2017-12-29,313.8
