Date,SADBHIN
2017-01-02,96.25
2017-01-03,96.0
2017-01-04,96.9
2017-01-05,98.1
2017-01-06,96.5
2017-01-09,97.55
2017-01-10,99.05
2017-01-11,99.5
2017-01-12,101.3
2017-01-13,99.95
2017-01-16,101.35
2017-01-17,101.8
2017-01-18,100.2
2017-01-19,100.75
2017-01-20,100.2
2017-01-23,102.25
2017-01-24,100.7
2017-01-25,101.15
2017-01-27,101.8
2017-01-30,99.9
2017-01-31,100.55
2017-02-01,100.3
2017-02-02,100.95
2017-02-03,100.1
2017-02-06,99.85
2017-02-07,103.15
2017-02-08,101.5
2017-02-09,100.15
2017-02-10,98.95
2017-02-13,96.55
2017-02-14,97.15
2017-02-15,96.5
2017-02-16,94.65
2017-02-17,93.4
2017-02-20,94.1
2017-02-21,94.1
2017-02-22,92.8
2017-02-23,92.85
2017-02-27,93.05
2017-02-28,94.1
2017-03-01,95.0
2017-03-02,95.3
2017-03-03,94.9
2017-03-06,94.1
2017-03-07,95.6
2017-03-08,96.35
2017-03-09,95.6
2017-03-10,95.65
2017-03-14,95.3
2017-03-15,95.9
2017-03-16,95.4
2017-03-17,94.4
2017-03-20,96.55
2017-03-21,96.4
2017-03-22,97.1
2017-03-23,103.2
2017-03-24,101.0
2017-03-27,101.95
2017-03-28,100.1
2017-03-29,99.9
2017-03-30,98.0
2017-03-31,95.5
2017-04-03,98.15
2017-04-05,99.25
2017-04-06,100.45
2017-04-07,100.4
2017-04-10,100.45
2017-04-11,102.75
2017-04-12,101.1
2017-04-13,103.9
2017-04-17,102.1
2017-04-18,103.7
2017-04-19,102.35
2017-04-20,102.2
2017-04-21,101.9
2017-04-24,101.6
2017-04-25,101.95
2017-04-26,101.9
2017-04-27,101.8
2017-04-28,101.7
2017-05-02,100.95
2017-05-03,100.9
2017-05-04,101.45
2017-05-05,112.3
2017-05-08,111.45
2017-05-09,108.95
2017-05-10,106.9
2017-05-11,105.6
2017-05-12,112.85
2017-05-15,112.3
2017-05-16,111.2
2017-05-17,111.85
2017-05-18,111.05
2017-05-19,104.65
2017-05-22,102.9
2017-05-23,104.35
2017-05-24,101.6
2017-05-25,101.8
2017-05-26,103.25
2017-05-29,105.05
2017-05-30,103.05
2017-05-31,105.3
2017-06-01,103.15
2017-06-02,106.25
2017-06-05,108.55
2017-06-06,107.5
2017-06-07,110.4
2017-06-08,112.85
2017-06-09,113.0
2017-06-12,111.75
2017-06-13,110.0
2017-06-14,110.25
2017-06-15,110.3
2017-06-16,111.45
2017-06-19,109.8
2017-06-20,109.95
2017-06-21,113.7
2017-06-22,111.75
2017-06-23,109.2
2017-06-27,107.8
2017-06-28,107.45
2017-06-29,107.6
2017-06-30,108.65
2017-07-03,109.55
2017-07-04,107.75
2017-07-05,110.25
2017-07-06,109.25
2017-07-07,109.05
2017-07-10,107.65
2017-07-11,108.75
2017-07-12,107.0
2017-07-13,106.1
2017-07-14,106.65
2017-07-17,106.1
2017-07-18,106.7
2017-07-19,107.2
2017-07-20,107.6
2017-07-21,107.15
2017-07-24,106.55
2017-07-25,105.55
2017-07-26,105.55
2017-07-27,104.8
2017-07-28,105.05
2017-07-31,104.6
2017-08-01,105.3
2017-08-02,104.2
2017-08-03,103.05
2017-08-04,102.85
2017-08-07,102.1
2017-08-08,102.95
2017-08-09,101.35
2017-08-10,102.25
2017-08-11,101.25
2017-08-14,102.45
2017-08-16,103.7
2017-08-17,103.5
2017-08-18,101.55
2017-08-21,102.75
2017-08-22,101.2
2017-08-23,102.85
2017-08-24,102.85
2017-08-28,102.4
2017-08-29,101.75
2017-08-30,101.7
2017-08-31,102.0
2017-09-01,101.65
2017-09-04,100.6
2017-09-05,99.7
2017-09-06,99.95
2017-09-07,99.8
2017-09-08,99.8
2017-09-11,98.8
2017-09-12,100.0
2017-09-13,100.2
2017-09-14,100.0
2017-09-15,97.45
2017-09-18,98.3
2017-09-19,97.8
2017-09-20,95.85
2017-09-21,94.5
2017-09-22,95.2
2017-09-25,93.25
2017-09-26,94.45
2017-09-27,90.15
2017-09-28,99.6
2017-09-29,96.8
2017-10-03,95.5
2017-10-04,98.7
2017-10-05,96.4
2017-10-06,98.75
2017-10-09,103.0
2017-10-10,100.6
2017-10-11,97.25
2017-10-12,100.1
2017-10-13,98.95
2017-10-16,99.0
2017-10-17,98.8
2017-10-18,96.55
2017-10-19,96.65
2017-10-23,97.25
2017-10-24,98.6
2017-10-25,107.1
2017-10-26,107.15
2017-10-27,112.5
2017-10-30,114.75
2017-10-31,117.0
2017-11-01,118.45
2017-11-02,127.3
2017-11-03,128.2
2017-11-06,122.55
2017-11-07,123.9
2017-11-08,121.4
2017-11-09,122.7
2017-11-10,122.7
2017-11-13,114.9
2017-11-14,122.7
2017-11-15,120.75
2017-11-16,122.1
2017-11-17,128.7
2017-11-20,137.25
2017-11-21,137.95
2017-11-22,137.0
2017-11-23,135.55
2017-11-24,137.5
2017-11-27,134.4
2017-11-28,138.6
2017-11-29,136.35
2017-11-30,136.0
2017-12-01,136.05
2017-12-04,138.5
2017-12-05,136.5
2017-12-06,133.2
2017-12-07,133.3
2017-12-08,144.2
2017-12-11,146.65
2017-12-12,142.25
2017-12-13,136.9
2017-12-14,136.95
2017-12-15,138.2
2017-12-18,139.55
2017-12-19,144.85
2017-12-20,145.05
2017-12-21,145.95
2017-12-22,147.05
2017-12-26,150.8
2017-12-27,146.85
2017-12-28,143.85
2017-12-29,147.4
