Date,INFY
2017-01-02,1001.1
2017-01-03,993.85
2017-01-04,997.75
2017-01-05,996.15
2017-01-06,972.25
2017-01-09,970.35
2017-01-10,970.55
2017-01-11,969.1
2017-01-12,1000.05
2017-01-13,975.8
2017-01-16,955.65
2017-01-17,955.4
2017-01-18,950.8
2017-01-19,958.1
2017-01-20,948.7
2017-01-23,952.7
2017-01-24,945.55
2017-01-25,936.6
2017-01-27,942.15
2017-01-30,949.35
2017-01-31,928.6
2017-02-01,916.75
2017-02-02,935.9
2017-02-03,936.1
2017-02-06,935.25
2017-02-07,942.25
2017-02-08,936.5
2017-02-09,946.0
2017-02-10,968.3
2017-02-13,984.35
2017-02-14,987.7
2017-02-15,981.8
2017-02-16,1012.1
2017-02-17,1000.1
2017-02-20,1010.25
2017-02-21,1013.6
2017-02-22,990.15
2017-02-23,1008.85
2017-02-27,1012.4
2017-02-28,1012.4
2017-03-01,1025.15
2017-03-02,1023.3
2017-03-03,1031.2
2017-03-06,1033.9
2017-03-07,1019.8
2017-03-08,1007.8
2017-03-09,1011.55
2017-03-10,1021.85
2017-03-14,1034.8
2017-03-15,1011.95
2017-03-16,1028.85
2017-03-17,1040.3
2017-03-20,1021.5
2017-03-21,1032.85
2017-03-22,1027.7
2017-03-23,1040.45
2017-03-24,1031.4
2017-03-27,1028.85
2017-03-28,1035.15
2017-03-29,1031.85
2017-03-30,1025.5
2017-03-31,1022.25
2017-04-03,1008.8
2017-04-05,995.95
2017-04-06,999.6
2017-04-07,981.55
2017-04-10,953.4
2017-04-11,967.15
2017-04-12,968.85
2017-04-13,931.4
2017-04-17,924.9
2017-04-18,922.65
2017-04-19,919.2
2017-04-20,927.3
2017-04-21,923.7
2017-04-24,926.55
2017-04-25,929.35
2017-04-26,914.25
2017-04-27,925.25
2017-04-28,918.95
2017-05-02,922.6
2017-05-03,934.3
2017-05-04,937.65
2017-05-05,931.5
2017-05-08,945.5
2017-05-09,946.65
2017-05-10,943.65
2017-05-11,944.1
2017-05-12,964.25
2017-05-15,951.55
2017-05-16,955.0
2017-05-17,952.8
2017-05-18,961.75
2017-05-19,957.95
2017-05-22,961.45
2017-05-23,957.3
2017-05-24,954.8
2017-05-25,983.3
2017-05-26,995.7
2017-05-29,985.15
2017-05-30,996.2
2017-05-31,977.05
2017-06-01,971.4
2017-06-02,969.45
2017-06-05,958.75
2017-06-06,979.35
2017-06-07,961.3
2017-06-08,956.45
2017-06-09,948.6
2017-06-12,963.85
2017-06-13,957.8
2017-06-14,958.6
2017-06-15,952.1
2017-06-16,940.25
2017-06-19,929.85
2017-06-20,943.55
2017-06-21,943.35
2017-06-22,940.15
2017-06-23,943.25
2017-06-27,927.05
2017-06-28,924.7
2017-06-29,930.2
2017-06-30,935.55
2017-07-03,951.9
2017-07-04,962.15
2017-07-05,950.9
2017-07-06,947.0
2017-07-07,935.4
2017-07-10,957.05
2017-07-11,975.35
2017-07-12,972.35
2017-07-13,977.05
2017-07-14,972.05
2017-07-17,984.05
2017-07-18,985.6
2017-07-19,979.85
2017-07-20,969.45
2017-07-21,980.1
2017-07-24,990.55
2017-07-25,993.85
2017-07-26,994.05
2017-07-27,971.05
2017-07-28,997.35
2017-07-31,1011.2
2017-08-01,1005.55
2017-08-02,993.35
2017-08-03,984.0
2017-08-04,983.75
2017-08-07,968.25
2017-08-08,963.85
2017-08-09,969.35
2017-08-10,981.25
2017-08-11,987.7
2017-08-14,981.45
2017-08-16,975.2
2017-08-17,1020.85
2017-08-18,923.25
2017-08-21,873.4
2017-08-22,875.4
2017-08-23,892.8
2017-08-24,912.15
2017-08-28,941.0
2017-08-29,927.45
2017-08-30,926.65
2017-08-31,914.95
2017-09-01,919.95
2017-09-04,900.2
2017-09-05,901.9
2017-09-06,895.6
2017-09-07,895.75
2017-09-08,884.3
2017-09-11,878.7
2017-09-12,884.05
2017-09-13,883.75
2017-09-14,892.4
2017-09-15,908.25
2017-09-18,909.1
2017-09-19,912.25
2017-09-20,912.7
2017-09-21,909.55
2017-09-22,898.3
2017-09-25,895.35
2017-09-26,905.9
2017-09-27,899.8
2017-09-28,896.0
2017-09-29,899.9
2017-10-03,903.55
2017-10-04,899.6
2017-10-05,903.05
2017-10-06,920.15
2017-10-09,923.9
2017-10-10,935.45
2017-10-11,930.7
2017-10-12,927.3
2017-10-13,930.1
2017-10-16,939.0
2017-10-17,930.5
2017-10-18,924.35
2017-10-19,926.95
2017-10-23,939.5
2017-10-24,926.5
2017-10-25,935.3
2017-10-26,947.35
2017-10-27,946.35
2017-10-30,944.1
2017-10-31,921.85
2017-11-01,927.05
2017-11-02,922.9
2017-11-03,926.65
2017-11-06,928.7
2017-11-07,955.5
2017-11-08,952.3
2017-11-09,954.5
2017-11-10,962.05
2017-11-13,951.95
2017-11-14,949.1
2017-11-15,951.8
2017-11-16,988.4
2017-11-17,970.95
2017-11-20,960.55
2017-11-21,966.25
2017-11-22,966.3
2017-11-23,991.25
2017-11-24,1009.55
2017-11-27,998.75
2017-11-28,984.7
2017-11-29,982.7
2017-11-30,976.1
2017-12-01,958.8
2017-12-04,985.35
2017-12-05,984.35
2017-12-06,990.3
2017-12-07,999.8
2017-12-08,1001.85
2017-12-11,1005.3
2017-12-12,1010.5
2017-12-13,1003.75
2017-12-14,1013.1
2017-12-15,1022.9
2017-12-18,1016.6
2017-12-19,1003.95
2017-12-20,1015.85
2017-12-21,1022.05
2017-12-22,1039.35
2017-12-26,1035.6
2017-12-27,1034.25
2017-12-28,1033.25
2017-12-29,1042.05
