Date,ASTEC
2017-01-02,611.35
2017-01-03,620.55
2017-01-04,621.2
2017-01-05,620.8
2017-01-06,610.45
2017-01-09,612.3
2017-01-10,608.65
2017-01-11,614.7
2017-01-12,605.55
2017-01-13,599.85
2017-01-16,588.85
2017-01-17,603.65
2017-01-18,607.7
2017-01-19,601.45
2017-01-20,603.75
2017-01-23,604.9
2017-01-24,598.5
2017-01-25,597.9
2017-01-27,596.95
2017-01-30,586.0
2017-01-31,566.25
2017-02-01,569.85
2017-02-02,574.3
2017-02-03,571.2
2017-02-06,592.85
2017-02-07,585.25
2017-02-08,585.75
2017-02-09,582.65
2017-02-10,585.4
2017-02-13,590.35
2017-02-14,594.3
2017-02-15,587.7
2017-02-16,587.5
2017-02-17,585.15
2017-02-20,586.2
2017-02-21,596.25
2017-02-22,600.65
2017-02-23,590.7
2017-02-27,590.4
2017-02-28,592.5
2017-03-01,592.5
2017-03-02,589.55
2017-03-03,590.05
2017-03-06,589.95
2017-03-07,599.45
2017-03-08,590.7
2017-03-09,590.05
2017-03-10,590.05
2017-03-14,599.2
2017-03-15,592.75
2017-03-16,591.0
2017-03-17,608.6
2017-03-20,612.1
2017-03-21,607.2
2017-03-22,603.15
2017-03-23,601.15
2017-03-24,611.9
2017-03-27,602.25
2017-03-28,612.45
2017-03-29,606.1
2017-03-30,602.8
2017-03-31,603.4
2017-04-03,610.55
2017-04-05,613.3
2017-04-06,608.1
2017-04-07,602.5
2017-04-10,603.35
2017-04-11,607.7
2017-04-12,599.85
2017-04-13,591.3
2017-04-17,581.15
2017-04-18,567.7
2017-04-19,568.9
2017-04-20,569.25
2017-04-21,571.85
2017-04-24,561.45
2017-04-25,591.1
2017-04-26,580.35
2017-04-27,572.15
2017-04-28,588.15
2017-05-02,605.8
2017-05-03,603.65
2017-05-04,646.75
2017-05-05,596.25
2017-05-08,597.85
2017-05-09,585.65
2017-05-10,592.85
2017-05-11,585.55
2017-05-12,575.85
2017-05-15,572.3
2017-05-16,569.9
2017-05-17,581.55
2017-05-18,569.3
2017-05-19,572.1
2017-05-22,567.6
2017-05-23,559.3
2017-05-24,555.4
2017-05-25,558.05
2017-05-26,590.0
2017-05-29,576.7
2017-05-30,566.45
2017-05-31,568.55
2017-06-01,576.45
2017-06-02,578.1
2017-06-05,578.8
2017-06-06,563.3
2017-06-07,569.6
2017-06-08,567.05
2017-06-09,562.8
2017-06-12,569.1
2017-06-13,566.6
2017-06-14,563.3
2017-06-15,566.1
2017-06-16,567.1
2017-06-19,563.6
2017-06-20,565.7
2017-06-21,563.95
2017-06-22,559.25
2017-06-23,554.65
2017-06-27,560.85
2017-06-28,556.4
2017-06-29,564.4
2017-06-30,561.95
2017-07-03,570.8
2017-07-04,563.65
2017-07-05,567.95
2017-07-06,588.55
2017-07-07,582.05
2017-07-10,581.05
2017-07-11,570.45
2017-07-12,564.0
2017-07-13,562.6
2017-07-14,558.6
2017-07-17,560.95
2017-07-18,567.1
2017-07-19,562.9
2017-07-20,602.2
2017-07-21,608.95
2017-07-24,599.45
2017-07-25,597.05
2017-07-26,597.0
2017-07-27,588.7
2017-07-28,596.2
2017-07-31,582.5
2017-08-01,579.95
2017-08-02,581.25
2017-08-03,576.3
2017-08-04,574.9
2017-08-07,572.65
2017-08-08,561.55
2017-08-09,560.1
2017-08-10,551.0
2017-08-11,556.0
2017-08-14,571.35
2017-08-16,576.5
2017-08-17,587.45
2017-08-18,581.8
2017-08-21,579.5
2017-08-22,571.5
2017-08-23,574.0
2017-08-24,588.25
2017-08-28,585.1
2017-08-29,573.4
2017-08-30,580.5
2017-08-31,576.6
2017-09-01,579.55
2017-09-04,574.2
2017-09-05,576.65
2017-09-06,572.7
2017-09-07,569.85
2017-09-08,570.5
2017-09-11,571.85
2017-09-12,603.8
2017-09-13,596.6
2017-09-14,589.35
2017-09-15,583.85
2017-09-18,594.2
2017-09-19,594.45
2017-09-20,592.15
2017-09-21,588.55
2017-09-22,577.55
2017-09-25,592.3
2017-09-26,600.9
2017-09-27,584.65
2017-09-28,582.8
2017-09-29,599.95
2017-10-03,592.15
2017-10-04,585.3
2017-10-05,593.0
2017-10-06,626.55
2017-10-09,617.45
2017-10-10,602.05
2017-10-11,596.15
2017-10-12,610.05
2017-10-13,619.1
2017-10-16,587.45
2017-10-17,585.65
2017-10-18,568.65
2017-10-19,572.75
2017-10-23,562.6
2017-10-24,574.7
2017-10-25,566.95
2017-10-26,538.5
2017-10-27,508.5
2017-10-30,492.75
2017-10-31,506.9
2017-11-01,526.85
2017-11-02,525.05
2017-11-03,523.65
2017-11-06,517.7
2017-11-07,505.35
2017-11-08,497.35
2017-11-09,507.1
2017-11-10,502.9
2017-11-13,489.8
2017-11-14,484.45
2017-11-15,485.45
2017-11-16,490.45
2017-11-17,493.3
2017-11-20,501.85
2017-11-21,503.3
2017-11-22,492.35
2017-11-23,499.25
2017-11-24,502.7
2017-11-27,499.3
2017-11-28,510.1
2017-11-29,518.65
2017-11-30,542.3
2017-12-01,549.25
2017-12-04,551.4
2017-12-05,552.25
2017-12-06,534.85
2017-12-07,525.6
2017-12-08,548.8
2017-12-11,532.7
2017-12-12,526.1
2017-12-13,534.05
2017-12-14,535.35
2017-12-15,531.25
2017-12-18,540.15
2017-12-19,548.95
2017-12-20,540.9
2017-12-21,555.9
2017-12-22,559.75
2017-12-26,556.2
2017-12-27,555.55
2017-12-28,546.45
2017-12-29,551.0
