Date,PRAKASH
2017-01-02,48.2
2017-01-03,48.65
2017-01-04,49.85
2017-01-05,49.75
2017-01-06,51.25
2017-01-09,54.6
2017-01-10,59.05
2017-01-11,63.15
2017-01-12,66.6
2017-01-13,64.0
2017-01-16,65.6
2017-01-17,64.4
2017-01-18,64.15
2017-01-19,65.2
2017-01-20,68.5
2017-01-23,69.6
2017-01-24,67.1
2017-01-25,68.9
2017-01-27,73.4
2017-01-30,73.4
2017-01-31,71.4
2017-02-01,75.9
2017-02-02,74.7
2017-02-03,78.2
2017-02-06,83.55
2017-02-07,79.3
2017-02-08,79.95
2017-02-09,79.6
2017-02-10,81.6
2017-02-13,80.8
2017-02-14,78.0
2017-02-15,74.8
2017-02-16,80.95
2017-02-17,77.65
2017-02-20,82.9
2017-02-21,82.95
2017-02-22,80.6
2017-02-23,78.8
2017-02-27,77.75
2017-02-28,80.95
2017-03-01,80.7
2017-03-02,77.9
2017-03-03,79.35
2017-03-06,78.75
2017-03-07,78.95
2017-03-08,77.2
2017-03-09,77.5
2017-03-10,77.65
2017-03-14,77.4
2017-03-15,79.3
2017-03-16,80.4
2017-03-17,79.3
2017-03-20,79.85
2017-03-21,77.95
2017-03-22,77.5
2017-03-23,78.25
2017-03-24,78.0
2017-03-27,79.65
2017-03-28,78.6
2017-03-29,77.7
2017-03-30,77.35
2017-03-31,76.95
2017-04-03,80.7
2017-04-05,86.45
2017-04-06,87.45
2017-04-07,85.3
2017-04-10,87.05
2017-04-11,86.65
2017-04-12,86.0
2017-04-13,88.25
2017-04-17,89.9
2017-04-18,87.5
2017-04-19,87.15
2017-04-20,88.15
2017-04-21,87.4
2017-04-24,90.85
2017-04-25,88.85
2017-04-26,86.65
2017-04-27,90.85
2017-04-28,90.25
2017-05-02,88.4
2017-05-03,89.25
2017-05-04,87.6
2017-05-05,86.3
2017-05-08,86.55
2017-05-09,89.7
2017-05-10,91.85
2017-05-11,93.85
2017-05-12,94.8
2017-05-15,96.4
2017-05-16,95.5
2017-05-17,94.1
2017-05-18,91.4
2017-05-19,91.5
2017-05-22,89.35
2017-05-23,88.05
2017-05-24,84.35
2017-05-25,87.75
2017-05-26,94.3
2017-05-29,89.7
2017-05-30,91.4
2017-05-31,89.35
2017-06-01,91.65
2017-06-02,92.6
2017-06-05,91.75
2017-06-06,88.6
2017-06-07,92.05
2017-06-08,92.0
2017-06-09,90.8
2017-06-12,90.5
2017-06-13,90.3
2017-06-14,90.65
2017-06-15,90.2
2017-06-16,90.0
2017-06-19,91.05
2017-06-20,91.3
2017-06-21,98.15
2017-06-22,97.85
2017-06-23,95.25
2017-06-27,96.15
2017-06-28,97.7
2017-06-29,99.65
2017-06-30,98.6
2017-07-03,97.55
2017-07-04,97.0
2017-07-05,104.05
2017-07-06,108.25
2017-07-07,111.8
2017-07-10,114.95
2017-07-11,111.95
2017-07-12,113.5
2017-07-13,111.05
2017-07-14,115.75
2017-07-17,114.45
2017-07-18,116.9
2017-07-19,133.75
2017-07-20,133.7
2017-07-21,135.65
2017-07-24,135.75
2017-07-25,136.0
2017-07-26,139.15
2017-07-27,136.15
2017-07-28,142.3
2017-07-31,142.3
2017-08-01,139.1
2017-08-02,137.1
2017-08-03,133.25
2017-08-04,134.5
2017-08-07,139.3
2017-08-11,111.45
2017-08-14,103.3
2017-08-16,115.75
2017-08-17,115.4
2017-08-18,112.4
2017-08-21,110.25
2017-08-22,105.95
2017-08-23,111.7
2017-08-24,125.2
2017-08-28,121.85
2017-08-29,119.0
2017-08-30,120.6
2017-08-31,119.55
2017-09-01,118.8
2017-09-04,115.2
2017-09-05,115.45
2017-09-06,115.55
2017-09-07,111.95
2017-09-08,116.95
2017-09-11,115.75
2017-09-12,113.85
2017-09-13,109.95
2017-09-14,107.1
2017-09-15,103.95
2017-09-18,113.4
2017-09-19,114.4
2017-09-20,116.9
2017-09-21,109.7
2017-09-22,105.5
2017-09-25,103.9
2017-09-26,107.5
2017-09-27,103.4
2017-09-28,104.3
2017-09-29,103.65
2017-10-03,103.25
2017-10-04,103.05
2017-10-05,112.2
2017-10-06,117.4
2017-10-09,122.1
2017-10-10,129.6
2017-10-11,131.75
2017-10-12,137.9
2017-10-13,137.95
2017-10-16,136.8
2017-10-17,143.4
2017-10-18,140.65
2017-10-19,142.85
2017-10-23,139.05
2017-10-24,137.9
2017-10-25,136.65
2017-10-26,138.25
2017-10-27,138.45
2017-10-30,145.95
2017-10-31,148.25
2017-11-01,143.05
2017-11-02,143.5
2017-11-03,143.3
2017-11-06,140.55
2017-11-07,138.4
2017-11-08,132.25
2017-11-09,136.25
2017-11-10,135.8
2017-11-13,133.1
2017-11-14,134.4
2017-11-15,130.3
2017-11-16,130.85
2017-11-17,142.9
2017-11-20,144.75
2017-11-21,147.15
2017-11-22,145.35
2017-11-23,146.45
2017-11-24,142.3
2017-11-27,146.5
2017-11-28,143.7
2017-11-29,140.7
2017-11-30,140.35
2017-12-01,139.75
2017-12-04,135.05
2017-12-05,137.1
2017-12-06,132.4
2017-12-07,141.9
2017-12-08,151.4
2017-12-11,145.4
2017-12-12,148.1
2017-12-13,147.15
2017-12-14,144.1
2017-12-15,148.75
2017-12-18,157.55
2017-12-19,170.85
2017-12-20,172.6
2017-12-21,171.45
2017-12-22,170.75
2017-12-26,178.4
2017-12-27,180.25
2017-12-28,181.85
2017-12-29,195.8
