Date,TARAJEWELS
2017-01-02,38.1
2017-01-03,38.5
2017-01-04,38.7
2017-01-05,39.3
2017-01-06,38.85
2017-01-09,39.85
2017-01-10,40.9
2017-01-11,40.05
2017-01-12,39.45
2017-01-13,39.05
2017-01-16,39.8
2017-01-17,39.7
2017-01-18,39.6
2017-01-19,39.25
2017-01-20,38.9
2017-01-23,40.0
2017-01-24,42.0
2017-01-25,40.5
2017-01-27,40.85
2017-01-30,40.2
2017-01-31,39.55
2017-02-01,39.25
2017-02-02,39.0
2017-02-03,39.5
2017-02-06,40.15
2017-02-07,41.85
2017-02-08,42.05
2017-02-09,41.7
2017-02-10,45.45
2017-02-13,42.1
2017-02-14,40.7
2017-02-15,41.15
2017-02-16,41.9
2017-02-17,41.5
2017-02-20,41.8
2017-02-21,43.35
2017-02-22,43.2
2017-02-23,41.15
2017-02-27,40.7
2017-02-28,41.15
2017-03-01,41.0
2017-03-02,40.6
2017-03-03,40.3
2017-03-06,40.35
2017-03-07,39.9
2017-03-08,39.5
2017-03-09,38.7
2017-03-10,39.1
2017-03-14,38.8
2017-03-15,37.8
2017-03-16,38.9
2017-03-17,39.55
2017-03-20,39.85
2017-03-21,40.25
2017-03-22,38.9
2017-03-23,39.25
2017-03-24,39.0
2017-03-27,38.55
2017-03-28,38.85
2017-03-29,38.4
2017-03-30,38.55
2017-03-31,38.25
2017-04-03,39.0
2017-04-05,39.8
2017-04-06,39.75
2017-04-07,39.45
2017-04-10,40.45
2017-04-11,41.7
2017-04-12,41.2
2017-04-13,40.9
2017-04-17,43.45
2017-04-18,41.4
2017-04-19,42.4
2017-04-20,43.45
2017-04-21,43.15
2017-04-24,43.35
2017-04-25,43.3
2017-04-26,43.1
2017-04-27,42.9
2017-04-28,42.45
2017-05-02,41.65
2017-05-03,40.9
2017-05-04,40.75
2017-05-05,39.65
2017-05-08,39.95
2017-05-09,39.75
2017-05-10,38.85
2017-05-11,39.4
2017-05-12,39.4
2017-05-15,39.4
2017-05-16,38.85
2017-05-17,39.05
2017-05-18,39.2
2017-05-19,38.7
2017-05-22,33.0
2017-05-23,31.75
2017-05-24,30.65
2017-05-25,29.05
2017-05-26,31.15
2017-05-29,31.25
2017-05-30,28.9
2017-05-31,28.75
2017-06-01,28.65
2017-06-02,28.6
2017-06-05,29.9
2017-06-06,28.95
2017-06-07,29.1
2017-06-08,28.15
2017-06-09,27.55
2017-06-12,27.7
2017-06-13,27.1
2017-06-14,26.55
2017-06-15,26.8
2017-06-16,26.4
2017-06-19,26.8
2017-06-20,26.65
2017-06-21,27.15
2017-06-22,26.95
2017-06-23,26.6
2017-06-27,25.65
2017-06-28,25.25
2017-06-29,25.55
2017-06-30,26.15
2017-07-03,26.8
2017-07-04,26.25
2017-07-05,27.3
2017-07-06,28.15
2017-07-07,27.25
2017-07-10,27.3
2017-07-11,27.15
2017-07-12,26.85
2017-07-13,26.6
2017-07-14,26.7
2017-07-17,26.35
2017-07-18,26.4
2017-07-19,26.4
2017-07-20,27.45
2017-07-21,32.05
2017-07-24,31.65
2017-07-25,31.9
2017-07-26,32.85
2017-07-27,31.15
2017-07-28,31.5
2017-07-31,31.75
2017-08-01,31.6
2017-08-02,30.45
2017-08-03,30.35
2017-08-04,30.65
2017-08-07,30.15
2017-08-08,29.45
2017-08-09,26.95
2017-08-10,26.2
2017-08-11,25.1
2017-08-14,27.1
2017-08-16,27.75
2017-08-17,27.9
2017-08-18,27.15
2017-08-21,27.45
2017-08-22,27.4
2017-08-23,26.6
2017-08-24,26.15
2017-08-28,26.15
2017-08-29,26.05
2017-08-30,26.15
2017-08-31,26.4
2017-09-01,26.5
2017-09-04,26.4
2017-09-05,26.85
2017-09-06,27.5
2017-09-07,28.45
2017-09-08,29.05
2017-09-11,30.15
2017-09-12,29.6
2017-09-13,28.65
2017-09-14,28.7
2017-09-15,28.55
2017-09-18,28.8
2017-09-19,28.5
2017-09-20,28.45
2017-09-21,28.5
2017-09-22,28.5
2017-09-25,27.8
2017-09-26,27.8
2017-09-27,27.15
2017-09-28,27.2
2017-09-29,27.15
2017-10-03,26.8
2017-10-04,26.85
2017-10-05,27.55
2017-10-06,28.7
2017-10-09,28.55
2017-10-10,29.3
2017-10-11,28.45
2017-10-12,28.0
2017-10-13,27.7
2017-10-16,26.9
2017-10-17,26.95
2017-10-18,25.45
2017-10-19,25.15
2017-10-23,25.25
2017-10-24,24.05
2017-10-25,23.7
2017-10-26,22.5
2017-10-27,22.35
2017-10-30,22.55
2017-10-31,22.2
2017-11-01,22.1
2017-11-02,22.1
2017-11-03,21.95
2017-11-06,22.4
2017-11-07,21.85
2017-11-08,21.85
2017-11-09,21.25
2017-11-10,21.0
2017-11-13,21.0
2017-11-14,23.4
2017-11-15,23.45
2017-11-16,21.8
2017-11-17,21.65
2017-11-20,21.95
2017-11-21,20.7
2017-11-22,18.8
2017-11-23,18.95
2017-11-24,22.15
2017-11-27,23.0
2017-11-28,21.95
2017-11-29,21.6
2017-11-30,20.2
2017-12-01,19.55
2017-12-04,19.9
2017-12-05,20.2
2017-12-06,19.6
2017-12-07,19.7
2017-12-08,19.8
2017-12-11,19.75
2017-12-12,19.55
2017-12-13,19.25
2017-12-14,19.05
2017-12-15,19.45
2017-12-18,19.1
2017-12-19,19.25
2017-12-20,18.7
2017-12-21,17.0
2017-12-22,16.6
2017-12-26,16.55
2017-12-27,17.1
2017-12-28,16.9
2017-12-29,16.85
