Date,ZYDUSWELL
2017-01-02,875.3
2017-01-03,868.05
2017-01-04,872.7
2017-01-05,869.4
2017-01-06,867.95
2017-01-09,865.45
2017-01-10,871.65
2017-01-11,873.8
2017-01-12,858.3
2017-01-13,852.1
2017-01-16,853.55
2017-01-17,855.5
2017-01-18,856.75
2017-01-19,855.2
2017-01-20,866.5
2017-01-23,864.95
2017-01-24,866.1
2017-01-25,866.25
2017-01-27,869.3
2017-01-30,886.15
2017-01-31,867.2
2017-02-01,870.05
2017-02-02,860.45
2017-02-03,865.6
2017-02-06,866.0
2017-02-07,859.35
2017-02-08,844.8
2017-02-09,844.3
2017-02-10,842.5
2017-02-13,832.5
2017-02-14,817.1
2017-02-15,821.75
2017-02-16,823.4
2017-02-17,821.75
2017-02-20,820.55
2017-02-21,839.6
2017-02-22,838.75
2017-02-23,837.6
2017-02-27,848.35
2017-02-28,854.15
2017-03-01,851.2
2017-03-02,850.05
2017-03-03,851.35
2017-03-06,856.95
2017-03-07,850.85
2017-03-08,851.55
2017-03-09,850.2
2017-03-10,850.9
2017-03-14,861.1
2017-03-15,848.9
2017-03-16,853.65
2017-03-17,850.15
2017-03-20,857.4
2017-03-21,850.1
2017-03-22,856.3
2017-03-23,850.5
2017-03-24,850.55
2017-03-27,878.6
2017-03-28,870.6
2017-03-29,882.85
2017-03-30,889.9
2017-03-31,871.35
2017-04-03,866.55
2017-04-05,867.65
2017-04-06,865.15
2017-04-07,866.05
2017-04-10,870.8
2017-04-11,875.45
2017-04-12,867.45
2017-04-13,866.8
2017-04-17,865.05
2017-04-18,865.5
2017-04-19,867.1
2017-04-20,863.55
2017-04-21,865.65
2017-04-24,865.5
2017-04-25,867.3
2017-04-26,865.2
2017-04-27,865.1
2017-04-28,867.35
2017-05-02,867.8
2017-05-03,865.0
2017-05-04,867.45
2017-05-05,865.65
2017-05-08,873.7
2017-05-09,865.7
2017-05-10,866.1
2017-05-11,855.2
2017-05-12,838.9
2017-05-15,854.65
2017-05-16,850.9
2017-05-17,843.5
2017-05-18,836.2
2017-05-19,813.65
2017-05-22,826.5
2017-05-23,829.95
2017-05-24,824.65
2017-05-25,826.15
2017-05-26,831.5
2017-05-29,861.65
2017-05-30,842.1
2017-05-31,839.85
2017-06-01,830.1
2017-06-02,840.5
2017-06-05,842.65
2017-06-06,830.8
2017-06-07,827.05
2017-06-08,826.25
2017-06-09,829.05
2017-06-12,837.35
2017-06-13,839.95
2017-06-14,838.45
2017-06-15,842.05
2017-06-16,850.8
2017-06-19,855.25
2017-06-20,850.3
2017-06-21,852.25
2017-06-22,850.55
2017-06-23,850.2
2017-06-27,834.4
2017-06-28,844.95
2017-06-29,852.15
2017-06-30,849.2
2017-07-03,854.45
2017-07-04,849.9
2017-07-05,850.95
2017-07-06,862.0
2017-07-07,854.05
2017-07-10,853.35
2017-07-11,857.05
2017-07-12,894.05
2017-07-13,877.85
2017-07-14,887.75
2017-07-17,899.3
2017-07-18,889.35
2017-07-19,897.45
2017-07-20,892.25
2017-07-21,881.45
2017-07-24,886.1
2017-07-25,881.0
2017-07-26,890.1
2017-07-27,875.8
2017-07-28,881.95
2017-07-31,892.65
2017-08-01,890.15
2017-08-02,889.25
2017-08-03,886.1
2017-08-04,885.2
2017-08-07,892.15
2017-08-08,885.3
2017-08-09,885.05
2017-08-10,882.1
2017-08-11,859.35
2017-08-14,863.8
2017-08-16,867.4
2017-08-17,860.35
2017-08-18,861.45
2017-08-21,860.85
2017-08-22,865.5
2017-08-23,865.4
2017-08-24,871.45
2017-08-28,878.35
2017-08-29,862.55
2017-08-30,864.8
2017-08-31,868.7
2017-09-01,865.4
2017-09-04,864.55
2017-09-05,875.25
2017-09-06,865.3
2017-09-07,865.7
2017-09-08,881.5
2017-09-11,875.35
2017-09-12,878.5
2017-09-13,882.75
2017-09-14,882.85
2017-09-15,890.75
2017-09-18,882.6
2017-09-19,892.9
2017-09-20,881.0
2017-09-21,890.45
2017-09-22,881.05
2017-09-25,897.65
2017-09-26,899.85
2017-09-27,900.75
2017-09-28,887.4
2017-09-29,898.3
2017-10-03,897.95
2017-10-04,904.05
2017-10-05,896.8
2017-10-06,887.75
2017-10-09,890.15
2017-10-10,890.8
2017-10-11,885.7
2017-10-12,890.1
2017-10-13,880.2
2017-10-16,883.3
2017-10-17,896.15
2017-10-18,903.9
2017-10-19,909.5
2017-10-23,893.05
2017-10-24,894.85
2017-10-25,904.55
2017-10-26,898.2
2017-10-27,900.65
2017-10-30,919.1
2017-10-31,911.45
2017-11-01,908.4
2017-11-02,926.2
2017-11-03,917.15
2017-11-06,916.9
2017-11-07,907.45
2017-11-08,899.0
2017-11-09,906.7
2017-11-10,912.05
2017-11-13,911.9
2017-11-14,902.75
2017-11-15,893.45
2017-11-16,890.8
2017-11-17,891.8
2017-11-20,910.3
2017-11-21,920.6
2017-11-22,914.85
2017-11-23,907.55
2017-11-24,915.8
2017-11-27,911.5
2017-11-28,903.25
2017-11-29,911.45
2017-11-30,909.15
2017-12-01,925.65
2017-12-04,934.95
2017-12-05,938.4
2017-12-06,934.8
2017-12-07,938.65
2017-12-08,936.65
2017-12-11,935.9
2017-12-12,926.15
2017-12-13,930.55
2017-12-14,929.65
2017-12-15,942.85
2017-12-18,948.0
2017-12-19,952.1
2017-12-20,953.55
2017-12-21,964.65
2017-12-22,954.5
2017-12-26,961.8
2017-12-27,979.75
2017-12-28,1023.1
2017-12-29,1043.2
