Date,EVEREADY
2017-01-02,219.2
2017-01-03,220.05
2017-01-04,222.8
2017-01-05,223.95
2017-01-06,222.05
2017-01-09,221.85
2017-01-10,224.0
2017-01-11,233.5
2017-01-12,235.75
2017-01-13,235.9
2017-01-16,234.95
2017-01-17,237.75
2017-01-18,239.5
2017-01-19,236.45
2017-01-20,235.95
2017-01-23,237.25
2017-01-24,242.3
2017-01-25,241.5
2017-01-27,242.1
2017-01-30,247.5
2017-01-31,243.45
2017-02-01,242.45
2017-02-02,241.75
2017-02-03,246.1
2017-02-06,249.95
2017-02-07,249.35
2017-02-08,251.45
2017-02-09,248.25
2017-02-10,252.7
2017-02-13,253.25
2017-02-14,249.55
2017-02-15,248.5
2017-02-16,251.25
2017-02-17,247.8
2017-02-20,254.35
2017-02-21,254.1
2017-02-22,255.15
2017-02-23,250.75
2017-02-27,248.9
2017-02-28,249.95
2017-03-01,248.25
2017-03-02,243.3
2017-03-03,242.45
2017-03-06,240.4
2017-03-07,236.5
2017-03-08,229.45
2017-03-09,231.4
2017-03-10,230.4
2017-03-14,231.1
2017-03-15,245.8
2017-03-16,250.7
2017-03-17,246.5
2017-03-20,246.6
2017-03-21,245.1
2017-03-22,243.3
2017-03-23,245.95
2017-03-24,248.8
2017-03-27,248.5
2017-03-28,249.2
2017-03-29,244.7
2017-03-30,251.1
2017-03-31,262.3
2017-04-03,271.45
2017-04-05,276.75
2017-04-06,277.45
2017-04-07,280.9
2017-04-10,279.45
2017-04-11,285.1
2017-04-12,285.2
2017-04-13,291.5
2017-04-17,291.8
2017-04-18,288.1
2017-04-19,300.6
2017-04-20,302.1
2017-04-21,304.75
2017-04-24,302.25
2017-04-25,303.65
2017-04-26,306.2
2017-04-27,301.0
2017-04-28,307.45
2017-05-02,304.0
2017-05-03,302.15
2017-05-04,301.9
2017-05-05,305.0
2017-05-08,306.35
2017-05-09,309.15
2017-05-10,315.55
2017-05-11,319.9
2017-05-12,319.5
2017-05-15,321.7
2017-05-16,320.5
2017-05-17,322.25
2017-05-18,321.3
2017-05-19,325.65
2017-05-22,328.15
2017-05-23,319.9
2017-05-24,316.05
2017-05-25,317.75
2017-05-26,322.25
2017-05-29,320.55
2017-05-30,320.25
2017-05-31,319.4
2017-06-01,318.55
2017-06-02,315.7
2017-06-05,325.15
2017-06-06,319.35
2017-06-07,321.55
2017-06-08,318.7
2017-06-09,325.25
2017-06-12,328.2
2017-06-13,329.6
2017-06-14,333.7
2017-06-15,335.65
2017-06-16,341.5
2017-06-19,344.9
2017-06-20,353.45
2017-06-21,353.3
2017-06-22,353.9
2017-06-23,350.6
2017-06-27,339.9
2017-06-28,345.95
2017-06-29,346.95
2017-06-30,340.1
2017-07-03,347.95
2017-07-04,349.5
2017-07-05,351.55
2017-07-06,352.15
2017-07-07,352.15
2017-07-10,348.55
2017-07-11,348.85
2017-07-12,349.05
2017-07-13,344.35
2017-07-14,340.75
2017-07-17,336.1
2017-07-18,329.6
2017-07-19,326.75
2017-07-20,332.7
2017-07-21,327.9
2017-07-24,329.6
2017-07-25,326.65
2017-07-26,321.55
2017-07-27,320.25
2017-07-28,316.35
2017-07-31,307.8
2017-08-01,303.2
2017-08-02,295.65
2017-08-03,305.65
2017-08-04,303.1
2017-08-07,310.1
2017-08-08,307.5
2017-08-09,303.7
2017-08-10,307.85
2017-08-11,301.0
2017-08-14,304.75
2017-08-16,302.9
2017-08-17,301.0
2017-08-18,304.65
2017-08-21,301.5
2017-08-22,297.65
2017-08-23,296.4
2017-08-24,295.65
2017-08-28,294.6
2017-08-29,297.5
2017-08-30,295.5
2017-08-31,303.75
2017-09-01,305.75
2017-09-04,302.5
2017-09-05,301.9
2017-09-06,306.85
2017-09-07,300.4
2017-09-08,309.8
2017-09-11,302.4
2017-09-12,304.9
2017-09-13,304.7
2017-09-14,305.05
2017-09-15,305.2
2017-09-18,307.5
2017-09-19,309.15
2017-09-20,306.35
2017-09-21,306.8
2017-09-22,292.25
2017-09-25,298.4
2017-09-26,298.7
2017-09-27,298.55
2017-09-28,295.0
2017-09-29,296.05
2017-10-03,295.6
2017-10-04,296.95
2017-10-05,299.55
2017-10-06,320.1
2017-10-09,341.0
2017-10-10,330.65
2017-10-11,324.8
2017-10-12,333.2
2017-10-13,339.8
2017-10-16,333.25
2017-10-17,327.45
2017-10-18,326.6
2017-10-19,328.15
2017-10-23,321.55
2017-10-24,328.75
2017-10-25,327.05
2017-10-26,327.2
2017-10-27,327.7
2017-10-30,334.65
2017-10-31,337.3
2017-11-01,339.25
2017-11-02,341.1
2017-11-03,350.1
2017-11-06,348.25
2017-11-07,352.75
2017-11-08,341.4
2017-11-09,342.1
2017-11-10,350.1
2017-11-13,373.05
2017-11-14,380.55
2017-11-15,369.0
2017-11-16,372.4
2017-11-17,398.2
2017-11-20,410.1
2017-11-21,406.25
2017-11-22,403.9
2017-11-23,412.4
2017-11-24,422.0
2017-11-27,416.3
2017-11-28,435.65
2017-11-29,432.4
2017-11-30,435.95
2017-12-01,434.1
2017-12-04,434.95
2017-12-05,435.35
2017-12-06,433.1
2017-12-07,439.3
2017-12-08,437.0
2017-12-11,430.65
2017-12-12,433.0
2017-12-13,421.95
2017-12-14,424.7
2017-12-15,433.05
2017-12-18,432.05
2017-12-19,428.55
2017-12-20,435.3
2017-12-21,438.4
2017-12-22,438.35
2017-12-26,438.7
2017-12-27,436.6
2017-12-28,442.6
2017-12-29,439.15
