Date,NFL
2017-01-02,36.15
2017-01-03,35.9
2017-01-04,38.05
2017-01-05,38.95
2017-01-06,40.05
2017-01-09,43.0
2017-01-10,43.6
2017-01-11,43.0
2017-01-12,42.95
2017-01-13,44.7
2017-01-16,47.15
2017-01-17,46.8
2017-01-18,46.2
2017-01-19,46.15
2017-01-20,43.85
2017-01-23,43.95
2017-01-24,45.5
2017-01-25,46.65
2017-01-27,47.3
2017-01-30,52.4
2017-01-31,51.5
2017-02-01,54.75
2017-02-02,56.95
2017-02-03,61.25
2017-02-06,60.6
2017-02-07,60.75
2017-02-08,64.8
2017-02-09,65.5
2017-02-10,63.85
2017-02-13,69.9
2017-02-14,66.75
2017-02-15,67.5
2017-02-16,66.7
2017-02-17,70.65
2017-02-20,73.7
2017-02-21,73.35
2017-02-22,73.0
2017-02-23,70.4
2017-02-27,74.6
2017-02-28,77.6
2017-03-01,75.5
2017-03-02,74.85
2017-03-03,72.5
2017-03-06,73.05
2017-03-07,74.5
2017-03-08,72.35
2017-03-09,71.85
2017-03-10,71.25
2017-03-14,73.0
2017-03-15,72.05
2017-03-16,71.5
2017-03-17,69.9
2017-03-20,69.95
2017-03-21,70.25
2017-03-22,69.45
2017-03-23,70.05
2017-03-24,69.15
2017-03-27,69.4
2017-03-28,73.95
2017-03-29,73.85
2017-03-30,75.2
2017-03-31,76.6
2017-04-03,75.45
2017-04-05,76.75
2017-04-06,77.0
2017-04-07,77.1
2017-04-10,75.55
2017-04-11,77.05
2017-04-12,75.6
2017-04-13,74.2
2017-04-17,78.2
2017-04-18,78.35
2017-04-19,77.8
2017-04-20,79.9
2017-04-21,78.9
2017-04-24,79.1
2017-04-25,78.8
2017-04-26,77.85
2017-04-27,78.5
2017-04-28,78.85
2017-05-02,78.95
2017-05-03,81.6
2017-05-04,85.7
2017-05-05,84.55
2017-05-08,85.65
2017-05-09,85.55
2017-05-10,86.95
2017-05-11,87.75
2017-05-12,86.7
2017-05-15,87.4
2017-05-16,86.65
2017-05-17,87.0
2017-05-18,84.3
2017-05-19,84.0
2017-05-22,83.1
2017-05-23,81.8
2017-05-24,80.4
2017-05-25,83.15
2017-05-26,84.95
2017-05-29,81.55
2017-05-30,81.15
2017-05-31,81.75
2017-06-01,80.9
2017-06-02,82.0
2017-06-05,82.85
2017-06-06,81.45
2017-06-07,82.85
2017-06-08,81.9
2017-06-09,81.25
2017-06-12,80.75
2017-06-13,79.4
2017-06-14,80.05
2017-06-15,79.7
2017-06-16,79.0
2017-06-19,79.1
2017-06-20,77.7
2017-06-21,77.5
2017-06-22,75.1
2017-06-23,72.5
2017-06-27,72.4
2017-06-28,74.65
2017-06-29,72.45
2017-06-30,70.65
2017-07-03,73.15
2017-07-04,71.85
2017-07-05,72.8
2017-07-06,78.05
2017-07-07,75.05
2017-07-10,76.0
2017-07-11,79.0
2017-07-12,79.55
2017-07-13,80.35
2017-07-14,80.35
2017-07-17,81.4
2017-07-18,77.6
2017-07-19,80.2
2017-07-20,79.6
2017-07-21,79.05
2017-07-24,79.25
2017-07-25,78.7
2017-07-26,73.2
2017-07-27,71.15
2017-07-28,69.45
2017-07-31,69.4
2017-08-01,69.25
2017-08-02,69.5
2017-08-03,67.85
2017-08-04,70.05
2017-08-07,70.05
2017-08-08,68.5
2017-08-09,66.85
2017-08-10,64.7
2017-08-11,62.5
2017-08-14,63.7
2017-08-16,63.95
2017-08-17,64.6
2017-08-18,68.3
2017-08-21,68.95
2017-08-22,66.75
2017-08-23,67.0
2017-08-24,68.2
2017-08-28,67.65
2017-08-29,68.75
2017-08-30,69.3
2017-08-31,68.9
2017-09-01,68.9
2017-09-04,67.7
2017-09-05,67.9
2017-09-06,67.85
2017-09-07,67.75
2017-09-08,67.25
2017-09-11,68.0
2017-09-12,67.8
2017-09-13,67.0
2017-09-14,66.95
2017-09-15,66.65
2017-09-18,66.7
2017-09-19,65.65
2017-09-20,65.2
2017-09-21,63.75
2017-09-22,63.15
2017-09-25,60.85
2017-09-26,61.65
2017-09-27,59.5
2017-09-28,59.75
2017-09-29,59.55
2017-10-03,59.35
2017-10-04,59.15
2017-10-05,59.05
2017-10-06,64.35
2017-10-09,65.05
2017-10-10,64.0
2017-10-11,62.55
2017-10-12,63.3
2017-10-13,62.45
2017-10-16,61.9
2017-10-17,61.9
2017-10-18,61.65
2017-10-19,61.4
2017-10-23,60.9
2017-10-24,61.85
2017-10-25,64.45
2017-10-26,64.55
2017-10-27,63.1
2017-10-30,62.95
2017-10-31,62.4
2017-11-01,63.9
2017-11-02,65.0
2017-11-03,65.35
2017-11-06,64.6
2017-11-07,63.6
2017-11-08,62.9
2017-11-09,62.4
2017-11-10,61.85
2017-11-13,61.95
2017-11-14,61.2
2017-11-15,60.4
2017-11-16,61.85
2017-11-17,62.15
2017-11-20,61.7
2017-11-21,62.1
2017-11-22,60.85
2017-11-23,60.95
2017-11-24,60.85
2017-11-27,60.7
2017-11-28,61.55
2017-11-29,62.2
2017-11-30,62.7
2017-12-01,62.45
2017-12-04,61.45
2017-12-05,60.9
2017-12-06,61.3
2017-12-07,62.2
2017-12-08,64.4
2017-12-11,65.55
2017-12-12,65.2
2017-12-13,62.95
2017-12-14,64.0
2017-12-15,64.3
2017-12-18,63.95
2017-12-19,64.95
2017-12-20,66.4
2017-12-21,65.9
2017-12-22,67.2
2017-12-26,69.85
2017-12-27,68.25
2017-12-28,69.25
2017-12-29,73.55
