Date,MAHLIFE
2017-01-02,358.2
2017-01-03,356.8
2017-01-04,359.15
2017-01-05,362.15
2017-01-06,359.2
2017-01-09,361.65
2017-01-10,361.75
2017-01-11,360.3
2017-01-12,358.75
2017-01-13,363.6
2017-01-16,362.45
2017-01-17,362.65
2017-01-18,366.05
2017-01-19,367.15
2017-01-20,361.55
2017-01-23,365.45
2017-01-24,366.45
2017-01-25,369.5
2017-01-27,367.7
2017-01-30,355.25
2017-01-31,353.55
2017-02-01,355.9
2017-02-02,356.95
2017-02-03,354.9
2017-02-06,354.8
2017-02-07,353.5
2017-02-08,355.15
2017-02-09,352.6
2017-02-10,351.9
2017-02-13,348.4
2017-02-14,348.4
2017-02-15,344.65
2017-02-16,342.2
2017-02-17,347.35
2017-02-20,348.1
2017-02-21,347.4
2017-02-22,346.0
2017-02-23,348.15
2017-02-27,346.5
2017-02-28,344.5
2017-03-01,345.95
2017-03-02,345.35
2017-03-03,345.05
2017-03-06,347.05
2017-03-07,350.3
2017-03-08,361.35
2017-03-09,369.9
2017-03-10,373.65
2017-03-14,379.0
2017-03-15,376.3
2017-03-16,378.75
2017-03-17,380.15
2017-03-20,375.2
2017-03-21,380.35
2017-03-22,383.15
2017-03-23,405.5
2017-03-24,410.65
2017-03-27,414.05
2017-03-28,436.25
2017-03-29,435.6
2017-03-30,393.6
2017-03-31,387.5
2017-04-03,392.65
2017-04-05,404.7
2017-04-06,409.9
2017-04-07,404.75
2017-04-10,408.15
2017-04-11,410.55
2017-04-12,400.2
2017-04-13,407.05
2017-04-17,411.1
2017-04-18,412.15
2017-04-19,407.6
2017-04-20,416.75
2017-04-21,411.9
2017-04-24,403.8
2017-04-25,428.6
2017-04-26,423.1
2017-04-27,437.75
2017-04-28,442.0
2017-05-02,446.55
2017-05-03,467.95
2017-05-04,480.65
2017-05-05,477.3
2017-05-08,467.5
2017-05-09,468.8
2017-05-10,468.25
2017-05-11,459.85
2017-05-12,451.2
2017-05-15,449.05
2017-05-16,453.5
2017-05-17,454.35
2017-05-18,443.85
2017-05-19,431.55
2017-05-22,425.45
2017-05-23,412.35
2017-05-24,414.5
2017-05-25,426.55
2017-05-26,433.3
2017-05-29,420.15
2017-05-30,427.5
2017-05-31,426.9
2017-06-01,422.7
2017-06-02,432.25
2017-06-05,422.85
2017-06-06,417.35
2017-06-07,419.55
2017-06-08,421.7
2017-06-09,418.3
2017-06-12,413.55
2017-06-13,455.2
2017-06-14,445.7
2017-06-15,444.25
2017-06-16,440.35
2017-06-19,437.55
2017-06-20,443.95
2017-06-21,440.9
2017-06-22,432.2
2017-06-23,427.4
2017-06-27,425.2
2017-06-28,426.45
2017-06-29,431.75
2017-06-30,430.5
2017-07-03,449.2
2017-07-04,446.35
2017-07-05,438.7
2017-07-06,441.1
2017-07-07,439.65
2017-07-10,435.7
2017-07-11,438.45
2017-07-12,442.3
2017-07-13,444.45
2017-07-14,443.7
2017-07-17,438.95
2017-07-18,439.1
2017-07-19,439.75
2017-07-20,439.6
2017-07-21,436.6
2017-07-24,436.6
2017-07-25,430.6
2017-07-26,427.35
2017-07-27,428.8
2017-07-28,423.25
2017-07-31,422.3
2017-08-01,424.55
2017-08-02,423.85
2017-08-03,422.2
2017-08-04,421.3
2017-08-07,429.15
2017-08-08,422.15
2017-08-09,420.9
2017-08-10,409.15
2017-08-11,414.95
2017-08-14,413.7
2017-08-16,415.05
2017-08-17,411.85
2017-08-18,404.3
2017-08-21,407.7
2017-08-22,411.3
2017-08-23,408.8
2017-08-24,425.25
2017-08-28,439.55
2017-08-29,435.15
2017-08-30,435.0
2017-08-31,442.3
2017-09-01,452.05
2017-09-04,449.05
2017-09-05,444.8
2017-09-06,440.5
2017-09-07,440.95
2017-09-08,445.3
2017-09-11,436.95
2017-09-12,434.5
2017-09-13,449.4
2017-09-14,459.2
2017-09-15,464.25
2017-09-18,506.85
2017-09-19,524.8
2017-09-20,517.5
2017-09-21,509.9
2017-09-22,495.25
2017-09-25,479.8
2017-09-26,481.9
2017-09-27,466.3
2017-09-28,461.0
2017-09-29,461.65
2017-10-03,470.45
2017-10-04,469.65
2017-10-05,469.65
2017-10-06,467.95
2017-10-09,468.6
2017-10-10,466.15
2017-10-11,467.7
2017-10-12,461.35
2017-10-13,457.85
2017-10-16,453.5
2017-10-17,450.95
2017-10-18,448.55
2017-10-19,468.0
2017-10-23,463.25
2017-10-24,463.45
2017-10-25,467.9
2017-10-26,460.35
2017-10-27,461.2
2017-10-30,448.1
2017-10-31,442.45
2017-11-01,437.2
2017-11-02,433.85
2017-11-03,430.85
2017-11-06,442.6
2017-11-07,444.15
2017-11-08,432.35
2017-11-09,431.8
2017-11-10,433.15
2017-11-13,438.2
2017-11-14,429.9
2017-11-15,430.9
2017-11-16,436.7
2017-11-17,445.85
2017-11-20,443.2
2017-11-21,448.2
2017-11-22,447.9
2017-11-23,449.1
2017-11-24,449.7
2017-11-27,483.05
2017-11-28,474.9
2017-11-29,489.1
2017-11-30,477.0
2017-12-01,469.1
2017-12-04,468.25
2017-12-05,465.1
2017-12-06,457.8
2017-12-07,459.75
2017-12-08,461.55
2017-12-11,457.95
2017-12-12,449.45
2017-12-13,456.8
2017-12-14,456.35
2017-12-15,458.9
2017-12-18,467.35
2017-12-19,470.3
2017-12-20,465.45
2017-12-21,466.9
2017-12-22,468.65
2017-12-26,468.1
2017-12-27,468.3
2017-12-28,462.0
2017-12-29,459.25
