Date,IDFCBANK
2017-01-02,60.8
2017-01-03,60.75
2017-01-04,59.9
2017-01-05,60.65
2017-01-06,60.65
2017-01-09,61.9
2017-01-10,61.85
2017-01-11,62.95
2017-01-12,63.05
2017-01-13,63.25
2017-01-16,63.9
2017-01-17,64.6
2017-01-18,64.85
2017-01-19,64.75
2017-01-20,63.1
2017-01-23,63.35
2017-01-24,63.65
2017-01-25,65.6
2017-01-27,62.5
2017-01-30,61.8
2017-01-31,59.95
2017-02-01,60.85
2017-02-02,60.3
2017-02-03,61.65
2017-02-06,62.35
2017-02-07,63.05
2017-02-08,63.0
2017-02-09,62.45
2017-02-10,62.75
2017-02-13,63.35
2017-02-14,62.35
2017-02-15,61.75
2017-02-16,61.85
2017-02-17,62.9
2017-02-20,63.4
2017-02-21,63.0
2017-02-22,63.1
2017-02-23,62.75
2017-02-27,62.1
2017-02-28,62.5
2017-03-01,62.15
2017-03-02,60.15
2017-03-03,60.3
2017-03-06,60.9
2017-03-07,60.65
2017-03-08,60.25
2017-03-09,60.1
2017-03-10,59.85
2017-03-14,60.8
2017-03-15,61.45
2017-03-16,61.75
2017-03-17,61.85
2017-03-20,61.6
2017-03-21,61.35
2017-03-22,60.3
2017-03-23,60.5
2017-03-24,60.95
2017-03-27,60.75
2017-03-28,60.5
2017-03-29,60.45
2017-03-30,59.65
2017-03-31,59.3
2017-04-03,59.8
2017-04-05,60.45
2017-04-06,60.55
2017-04-07,60.25
2017-04-10,60.25
2017-04-11,60.9
2017-04-12,60.3
2017-04-13,60.05
2017-04-17,59.4
2017-04-18,59.1
2017-04-19,58.55
2017-04-20,58.65
2017-04-21,58.8
2017-04-24,58.75
2017-04-25,59.4
2017-04-26,61.2
2017-04-27,65.2
2017-04-28,65.75
2017-05-02,65.3
2017-05-03,65.15
2017-05-04,65.9
2017-05-05,64.95
2017-05-08,65.15
2017-05-09,64.95
2017-05-10,65.15
2017-05-11,65.25
2017-05-12,64.35
2017-05-15,63.7
2017-05-16,63.35
2017-05-17,63.4
2017-05-18,61.6
2017-05-19,60.65
2017-05-22,59.75
2017-05-23,58.4
2017-05-24,56.85
2017-05-25,57.4
2017-05-26,58.35
2017-05-29,57.15
2017-05-30,57.95
2017-05-31,57.55
2017-06-01,57.85
2017-06-02,58.7
2017-06-05,59.15
2017-06-06,59.05
2017-06-07,59.05
2017-06-08,58.8
2017-06-09,58.7
2017-06-12,57.95
2017-06-13,57.9
2017-06-14,58.0
2017-06-15,57.9
2017-06-16,57.3
2017-06-19,57.2
2017-06-20,57.25
2017-06-21,57.15
2017-06-22,57.15
2017-06-23,56.85
2017-06-27,55.7
2017-06-28,55.3
2017-06-29,54.9
2017-06-30,54.7
2017-07-03,54.95
2017-07-04,56.65
2017-07-05,62.35
2017-07-06,63.3
2017-07-07,64.7
2017-07-10,65.2
2017-07-11,62.0
2017-07-12,63.85
2017-07-13,62.75
2017-07-14,62.75
2017-07-17,61.65
2017-07-18,62.0
2017-07-19,61.95
2017-07-20,61.35
2017-07-21,60.35
2017-07-24,60.5
2017-07-25,60.5
2017-07-26,60.35
2017-07-27,59.15
2017-07-28,60.55
2017-07-31,59.45
2017-08-01,59.1
2017-08-02,58.35
2017-08-03,58.05
2017-08-04,57.3
2017-08-07,57.55
2017-08-08,56.65
2017-08-09,56.3
2017-08-10,54.1
2017-08-11,53.25
2017-08-14,54.45
2017-08-16,55.75
2017-08-17,56.4
2017-08-18,55.85
2017-08-21,54.65
2017-08-22,54.45
2017-08-23,55.7
2017-08-24,55.2
2017-08-28,56.0
2017-08-29,55.2
2017-08-30,55.55
2017-08-31,54.85
2017-09-01,57.25
2017-09-04,57.15
2017-09-05,57.45
2017-09-06,57.75
2017-09-07,57.25
2017-09-08,56.2
2017-09-11,56.25
2017-09-12,57.4
2017-09-13,58.9
2017-09-14,60.8
2017-09-15,60.45
2017-09-18,60.75
2017-09-19,59.9
2017-09-20,60.0
2017-09-21,59.2
2017-09-22,57.55
2017-09-25,56.6
2017-09-26,57.15
2017-09-27,56.35
2017-09-28,56.35
2017-09-29,56.4
2017-10-03,56.35
2017-10-04,56.0
2017-10-05,56.65
2017-10-06,57.4
2017-10-09,59.6
2017-10-10,59.05
2017-10-11,57.95
2017-10-12,59.35
2017-10-13,59.2
2017-10-16,57.95
2017-10-17,57.45
2017-10-18,56.3
2017-10-19,56.25
2017-10-23,56.4
2017-10-24,57.05
2017-10-25,57.45
2017-10-26,57.15
2017-10-27,56.95
2017-10-30,55.85
2017-10-31,56.65
2017-11-01,62.3
2017-11-02,59.45
2017-11-03,58.8
2017-11-06,57.25
2017-11-07,56.35
2017-11-08,56.1
2017-11-09,56.3
2017-11-10,55.9
2017-11-13,55.5
2017-11-14,55.3
2017-11-15,54.6
2017-11-16,54.25
2017-11-17,54.95
2017-11-20,54.9
2017-11-21,54.85
2017-11-22,54.8
2017-11-23,54.55
2017-11-24,54.65
2017-11-27,55.1
2017-11-28,55.2
2017-11-29,56.0
2017-11-30,54.9
2017-12-01,54.6
2017-12-04,54.35
2017-12-05,53.8
2017-12-06,53.2
2017-12-07,53.55
2017-12-08,53.55
2017-12-11,54.0
2017-12-12,53.35
2017-12-13,52.35
2017-12-14,52.1
2017-12-15,52.55
2017-12-18,52.25
2017-12-19,53.65
2017-12-20,53.7
2017-12-21,55.2
2017-12-22,55.0
2017-12-26,55.05
2017-12-27,55.2
2017-12-28,54.1
2017-12-29,54.25
