Date,BHAGERIA
2017-01-02,349.05
2017-01-03,365.3
2017-01-04,363.0
2017-01-05,357.95
2017-01-06,352.1
2017-01-09,347.15
2017-01-10,347.2
2017-01-11,355.25
2017-01-12,349.95
2017-01-13,348.5
2017-01-16,352.7
2017-01-17,353.8
2017-01-18,350.9
2017-01-19,341.35
2017-01-20,331.6
2017-01-23,348.15
2017-01-24,365.55
2017-01-25,358.2
2017-01-27,352.7
2017-01-30,352.3
2017-01-31,341.1
2017-02-01,351.15
2017-02-02,353.05
2017-02-03,348.95
2017-02-06,366.35
2017-02-07,377.1
2017-02-08,386.65
2017-02-09,381.9
2017-02-10,383.95
2017-02-13,331.7
2017-02-14,334.9
2017-02-15,322.8
2017-02-16,332.9
2017-02-17,333.7
2017-02-20,333.45
2017-02-21,332.5
2017-02-22,327.9
2017-02-23,321.95
2017-02-27,322.7
2017-02-28,318.2
2017-03-01,316.75
2017-03-02,298.9
2017-03-03,290.6
2017-03-06,287.95
2017-03-07,315.1
2017-03-08,307.5
2017-03-09,302.95
2017-03-10,299.45
2017-03-14,301.2
2017-03-15,295.85
2017-03-16,306.9
2017-03-17,319.0
2017-03-20,322.65
2017-03-21,317.85
2017-03-22,312.2
2017-03-23,314.5
2017-03-24,316.15
2017-03-27,324.25
2017-03-28,322.55
2017-03-29,318.35
2017-03-30,317.95
2017-03-31,316.8
2017-04-03,326.65
2017-04-05,331.85
2017-04-06,342.25
2017-04-07,336.1
2017-04-10,335.75
2017-04-11,335.95
2017-04-12,332.65
2017-04-13,331.0
2017-04-17,328.1
2017-04-18,325.05
2017-04-19,323.8
2017-04-20,321.5
2017-04-21,321.05
2017-04-24,321.5
2017-04-25,320.5
2017-04-26,315.9
2017-04-27,314.7
2017-04-28,309.8
2017-05-02,308.35
2017-05-03,320.05
2017-05-04,333.4
2017-05-05,333.85
2017-05-08,332.6
2017-05-09,340.8
2017-05-10,358.25
2017-05-11,349.9
2017-05-12,337.0
2017-05-15,330.8
2017-05-16,329.85
2017-05-17,322.55
2017-05-18,312.4
2017-05-19,309.8
2017-05-22,307.0
2017-05-23,294.65
2017-05-24,292.75
2017-05-25,298.9
2017-05-26,306.0
2017-05-29,299.55
2017-05-30,300.65
2017-05-31,296.4
2017-06-01,296.85
2017-06-02,296.55
2017-06-05,297.6
2017-06-06,293.35
2017-06-07,293.75
2017-06-08,318.15
2017-06-09,317.75
2017-06-12,310.1
2017-06-13,313.55
2017-06-14,305.85
2017-06-15,312.05
2017-06-16,316.5
2017-06-19,313.4
2017-06-20,318.3
2017-06-21,317.3
2017-06-22,312.4
2017-06-23,311.05
2017-06-27,299.8
2017-06-28,300.5
2017-06-29,298.2
2017-06-30,295.15
2017-07-03,296.9
2017-07-04,303.35
2017-07-05,316.9
2017-07-06,324.15
2017-07-07,318.85
2017-07-10,316.65
2017-07-11,312.9
2017-07-12,319.35
2017-07-13,317.2
2017-07-14,313.1
2017-07-17,314.7
2017-07-18,316.0
2017-07-19,319.7
2017-07-20,324.5
2017-07-21,319.0
2017-07-24,319.75
2017-07-25,320.3
2017-07-26,320.5
2017-07-27,319.3
2017-07-28,321.85
2017-07-31,284.0
2017-08-01,285.2
2017-08-02,274.4
2017-08-03,263.7
2017-08-04,255.35
2017-08-07,263.45
2017-08-08,255.5
2017-08-09,251.0
2017-08-10,239.3
2017-08-11,235.25
2017-08-14,263.75
2017-08-16,265.3
2017-08-17,260.15
2017-08-18,256.95
2017-08-21,261.7
2017-08-22,259.15
2017-08-23,261.8
2017-08-24,262.95
2017-08-28,258.7
2017-08-29,257.95
2017-08-30,256.3
2017-08-31,275.95
2017-09-01,270.2
2017-09-04,273.75
2017-09-05,272.3
2017-09-06,272.5
2017-09-07,269.15
2017-09-08,266.55
2017-09-11,263.75
2017-09-12,266.4
2017-09-13,261.7
2017-09-14,280.95
2017-09-15,275.2
2017-09-18,274.8
2017-09-19,271.25
2017-09-20,282.2
2017-09-21,290.85
2017-09-22,276.75
2017-09-25,275.6
2017-09-26,275.85
2017-09-27,266.7
2017-09-28,269.45
2017-09-29,270.3
2017-10-03,269.25
2017-10-04,279.35
2017-10-05,276.05
2017-10-06,278.85
2017-10-09,305.1
2017-10-10,300.6
2017-10-11,299.4
2017-10-12,309.85
2017-10-13,303.25
2017-10-16,298.55
2017-10-17,297.55
2017-10-18,298.9
2017-10-19,298.2
2017-10-23,303.0
2017-10-24,303.55
2017-10-25,301.75
2017-10-26,304.9
2017-10-27,312.85
2017-10-30,300.95
2017-10-31,298.65
2017-11-01,304.55
2017-11-02,299.5
2017-11-03,301.1
2017-11-06,301.6
2017-11-07,296.45
2017-11-08,291.55
2017-11-09,291.5
2017-11-10,285.2
2017-11-13,280.9
2017-11-14,283.65
2017-11-15,278.15
2017-11-16,277.9
2017-11-17,275.75
2017-11-20,287.95
2017-11-21,288.35
2017-11-22,287.75
2017-11-23,289.25
2017-11-24,283.6
2017-11-27,287.95
2017-11-28,289.85
2017-11-29,285.35
2017-11-30,287.1
2017-12-01,289.55
2017-12-04,282.65
2017-12-05,282.4
2017-12-06,274.9
2017-12-07,275.55
2017-12-08,272.15
2017-12-11,271.45
2017-12-12,271.15
2017-12-13,266.65
2017-12-14,264.35
2017-12-15,261.05
2017-12-18,267.35
2017-12-19,271.35
2017-12-20,273.35
2017-12-21,271.65
2017-12-22,273.1
2017-12-26,278.65
2017-12-27,275.9
2017-12-28,274.4
2017-12-29,277.25
