Date,NAHARSPING
2017-01-02,118.0
2017-01-03,119.3
2017-01-04,121.2
2017-01-05,124.0
2017-01-06,122.45
2017-01-09,128.3
2017-01-10,129.35
2017-01-11,131.0
2017-01-12,129.5
2017-01-13,134.1
2017-01-16,139.8
2017-01-17,143.7
2017-01-18,154.4
2017-01-19,148.05
2017-01-20,145.15
2017-01-23,146.95
2017-01-24,148.7
2017-01-25,148.6
2017-01-27,150.0
2017-01-30,147.3
2017-01-31,141.85
2017-02-01,145.7
2017-02-02,146.2
2017-02-03,149.1
2017-02-06,154.45
2017-02-07,160.75
2017-02-08,159.9
2017-02-09,154.9
2017-02-10,153.15
2017-02-13,148.6
2017-02-14,134.35
2017-02-15,127.15
2017-02-16,132.15
2017-02-17,130.8
2017-02-20,130.6
2017-02-21,132.95
2017-02-22,130.9
2017-02-23,132.0
2017-02-27,131.0
2017-02-28,132.8
2017-03-01,135.75
2017-03-02,132.9
2017-03-03,132.2
2017-03-06,131.85
2017-03-07,130.2
2017-03-08,130.4
2017-03-09,129.35
2017-03-10,126.85
2017-03-14,132.45
2017-03-15,130.5
2017-03-16,132.75
2017-03-17,132.25
2017-03-20,130.95
2017-03-21,132.45
2017-03-22,131.1
2017-03-23,134.6
2017-03-24,137.55
2017-03-27,137.85
2017-03-28,136.75
2017-03-29,135.25
2017-03-30,137.75
2017-03-31,135.6
2017-04-03,143.95
2017-04-05,144.75
2017-04-06,141.6
2017-04-07,142.55
2017-04-10,144.15
2017-04-11,144.75
2017-04-12,141.55
2017-04-13,141.7
2017-04-17,145.15
2017-04-18,142.9
2017-04-19,142.75
2017-04-20,146.05
2017-04-21,145.85
2017-04-24,147.35
2017-04-25,150.65
2017-04-26,147.3
2017-04-27,145.75
2017-04-28,145.15
2017-05-02,144.65
2017-05-03,144.9
2017-05-04,145.25
2017-05-05,140.6
2017-05-08,141.7
2017-05-09,141.85
2017-05-10,142.65
2017-05-11,145.45
2017-05-12,146.6
2017-05-15,146.25
2017-05-16,144.3
2017-05-17,143.85
2017-05-18,139.0
2017-05-19,136.1
2017-05-22,134.15
2017-05-23,129.0
2017-05-24,123.65
2017-05-25,129.3
2017-05-26,131.2
2017-05-29,130.85
2017-05-30,129.85
2017-05-31,127.4
2017-06-01,124.45
2017-06-02,126.0
2017-06-05,128.5
2017-06-06,125.55
2017-06-07,126.35
2017-06-08,127.1
2017-06-09,126.45
2017-06-12,125.15
2017-06-13,124.1
2017-06-14,124.75
2017-06-15,124.45
2017-06-16,128.5
2017-06-19,127.25
2017-06-20,126.5
2017-06-21,126.4
2017-06-22,124.65
2017-06-23,123.45
2017-06-27,120.05
2017-06-28,120.4
2017-06-29,123.25
2017-06-30,122.15
2017-07-03,123.55
2017-07-04,121.9
2017-07-05,123.7
2017-07-06,123.9
2017-07-07,124.45
2017-07-10,125.15
2017-07-11,124.15
2017-07-12,124.25
2017-07-13,131.5
2017-07-14,128.2
2017-07-17,130.85
2017-07-18,131.75
2017-07-19,133.8
2017-07-20,131.95
2017-07-21,131.55
2017-07-24,132.1
2017-07-25,130.55
2017-07-26,128.55
2017-07-27,126.15
2017-07-28,126.2
2017-07-31,125.65
2017-08-01,125.1
2017-08-02,124.4
2017-08-03,123.35
2017-08-04,121.8
2017-08-07,122.55
2017-08-08,120.1
2017-08-09,115.15
2017-08-10,110.95
2017-08-11,112.15
2017-08-14,105.65
2017-08-16,104.95
2017-08-17,106.25
2017-08-18,105.7
2017-08-21,103.5
2017-08-22,102.1
2017-08-23,107.4
2017-08-24,108.35
2017-08-28,109.7
2017-08-29,106.75
2017-08-30,107.5
2017-08-31,110.45
2017-09-01,112.2
2017-09-04,111.5
2017-09-05,115.05
2017-09-06,115.85
2017-09-07,116.2
2017-09-08,113.8
2017-09-11,115.4
2017-09-12,117.35
2017-09-13,113.5
2017-09-14,112.65
2017-09-15,111.5
2017-09-18,107.85
2017-09-19,109.25
2017-09-20,106.7
2017-09-21,107.85
2017-09-22,104.4
2017-09-25,101.4
2017-09-26,102.9
2017-09-27,99.25
2017-09-28,100.1
2017-09-29,101.6
2017-10-03,101.45
2017-10-04,101.05
2017-10-05,107.15
2017-10-06,107.25
2017-10-09,109.0
2017-10-10,109.4
2017-10-11,109.1
2017-10-12,108.35
2017-10-13,109.25
2017-10-16,108.95
2017-10-17,106.4
2017-10-18,107.9
2017-10-19,109.6
2017-10-23,107.45
2017-10-24,108.55
2017-10-25,115.45
2017-10-26,112.25
2017-10-27,111.1
2017-10-30,123.0
2017-10-31,119.9
2017-11-01,124.4
2017-11-02,121.95
2017-11-03,118.95
2017-11-06,124.0
2017-11-07,122.8
2017-11-08,116.85
2017-11-09,116.8
2017-11-10,118.1
2017-11-13,113.5
2017-11-14,114.4
2017-11-15,107.15
2017-11-16,107.6
2017-11-17,107.85
2017-11-20,107.5
2017-11-21,109.65
2017-11-22,107.7
2017-11-23,112.5
2017-11-24,113.35
2017-11-27,116.5
2017-11-28,113.8
2017-11-29,111.35
2017-11-30,109.15
2017-12-01,109.3
2017-12-04,108.6
2017-12-05,108.0
2017-12-06,107.4
2017-12-07,108.9
2017-12-08,108.9
2017-12-11,109.3
2017-12-12,107.6
2017-12-13,107.5
2017-12-14,106.8
2017-12-15,107.95
2017-12-18,108.25
2017-12-19,111.25
2017-12-20,111.05
2017-12-21,121.95
2017-12-22,122.0
2017-12-26,124.45
2017-12-27,125.4
2017-12-28,125.8
2017-12-29,127.2
