Date,ENIL
2017-01-02,810.25
2017-01-03,783.05
2017-01-04,782.0
2017-01-05,776.35
2017-01-06,770.25
2017-01-09,781.95
2017-01-10,768.55
2017-01-11,771.2
2017-01-12,768.5
2017-01-13,757.35
2017-01-16,743.35
2017-01-17,750.1
2017-01-18,749.75
2017-01-19,749.4
2017-01-20,765.25
2017-01-23,770.35
2017-01-24,777.25
2017-01-25,777.05
2017-01-27,774.9
2017-01-30,776.35
2017-01-31,786.1
2017-02-01,785.55
2017-02-02,798.15
2017-02-03,809.1
2017-02-06,822.65
2017-02-07,802.95
2017-02-08,808.05
2017-02-09,815.0
2017-02-10,810.5
2017-02-13,806.6
2017-02-14,817.8
2017-02-15,812.55
2017-02-16,810.35
2017-02-17,799.6
2017-02-20,786.55
2017-02-21,790.95
2017-02-22,772.95
2017-02-23,774.2
2017-02-27,806.0
2017-02-28,828.2
2017-03-01,838.45
2017-03-02,833.45
2017-03-03,830.25
2017-03-06,837.6
2017-03-07,839.2
2017-03-08,818.05
2017-03-09,827.8
2017-03-10,830.3
2017-03-14,839.3
2017-03-15,846.45
2017-03-16,834.35
2017-03-17,819.25
2017-03-20,818.8
2017-03-21,828.5
2017-03-22,823.75
2017-03-23,816.6
2017-03-24,828.3
2017-03-27,820.0
2017-03-28,837.4
2017-03-29,816.65
2017-03-30,820.3
2017-03-31,839.0
2017-04-03,816.75
2017-04-05,828.9
2017-04-06,835.55
2017-04-07,825.25
2017-04-10,831.1
2017-04-11,813.25
2017-04-12,811.3
2017-04-13,815.25
2017-04-17,836.1
2017-04-18,818.45
2017-04-19,817.25
2017-04-20,812.1
2017-04-21,817.9
2017-04-24,822.4
2017-04-25,821.2
2017-04-26,816.65
2017-04-27,812.55
2017-04-28,809.6
2017-05-02,805.7
2017-05-03,795.3
2017-05-04,794.9
2017-05-05,791.65
2017-05-08,790.1
2017-05-09,790.6
2017-05-10,798.25
2017-05-11,793.85
2017-05-12,783.65
2017-05-15,787.25
2017-05-16,810.85
2017-05-17,791.0
2017-05-18,792.25
2017-05-19,786.0
2017-05-22,780.0
2017-05-23,777.6
2017-05-24,743.1
2017-05-25,753.15
2017-05-26,763.05
2017-05-29,750.0
2017-05-30,797.9
2017-05-31,801.35
2017-06-01,821.75
2017-06-02,816.25
2017-06-05,857.85
2017-06-06,856.15
2017-06-07,905.1
2017-06-08,918.85
2017-06-09,904.85
2017-06-12,914.95
2017-06-13,914.65
2017-06-14,926.8
2017-06-15,913.9
2017-06-16,933.4
2017-06-19,913.5
2017-06-20,907.9
2017-06-21,909.15
2017-06-22,953.15
2017-06-23,925.0
2017-06-27,887.7
2017-06-28,906.5
2017-06-29,913.2
2017-06-30,897.55
2017-07-03,915.0
2017-07-04,957.95
2017-07-05,969.3
2017-07-06,966.55
2017-07-07,957.95
2017-07-10,968.6
2017-07-11,938.3
2017-07-12,935.5
2017-07-13,928.3
2017-07-14,928.35
2017-07-17,932.05
2017-07-18,902.8
2017-07-19,905.3
2017-07-20,923.2
2017-07-21,911.75
2017-07-24,902.5
2017-07-25,930.0
2017-07-26,922.75
2017-07-27,911.7
2017-07-28,905.35
2017-07-31,911.85
2017-08-01,902.3
2017-08-02,922.35
2017-08-03,880.4
2017-08-04,876.9
2017-08-07,870.5
2017-08-08,841.7
2017-08-09,841.35
2017-08-10,817.25
2017-08-11,797.3
2017-08-14,810.05
2017-08-16,806.7
2017-08-17,795.45
2017-08-18,795.25
2017-08-21,799.7
2017-08-22,800.0
2017-08-23,819.45
2017-08-24,845.65
2017-08-28,846.3
2017-08-29,826.3
2017-08-30,835.35
2017-08-31,831.35
2017-09-01,825.3
2017-09-04,851.15
2017-09-05,876.85
2017-09-06,861.4
2017-09-07,866.5
2017-09-08,872.9
2017-09-11,853.25
2017-09-12,847.15
2017-09-13,845.4
2017-09-14,853.4
2017-09-15,847.0
2017-09-18,843.8
2017-09-19,839.2
2017-09-20,833.3
2017-09-21,832.75
2017-09-22,825.05
2017-09-25,804.4
2017-09-26,799.9
2017-09-27,796.3
2017-09-28,806.7
2017-09-29,809.8
2017-10-03,808.2
2017-10-04,802.8
2017-10-05,807.1
2017-10-06,819.5
2017-10-09,819.85
2017-10-10,814.5
2017-10-11,817.5
2017-10-12,790.75
2017-10-13,804.45
2017-10-16,807.55
2017-10-17,790.4
2017-10-18,771.3
2017-10-19,769.35
2017-10-23,778.2
2017-10-24,786.3
2017-10-25,794.75
2017-10-26,790.55
2017-10-27,801.8
2017-10-30,791.0
2017-10-31,800.05
2017-11-01,801.2
2017-11-02,833.6
2017-11-03,825.15
2017-11-06,801.7
2017-11-07,805.0
2017-11-08,806.35
2017-11-09,804.9
2017-11-10,812.95
2017-11-13,792.85
2017-11-14,778.3
2017-11-15,774.05
2017-11-16,778.7
2017-11-17,792.45
2017-11-20,779.85
2017-11-21,796.75
2017-11-22,791.95
2017-11-23,796.05
2017-11-24,788.35
2017-11-27,776.65
2017-11-28,769.7
2017-11-29,758.25
2017-11-30,747.35
2017-12-01,741.45
2017-12-04,745.55
2017-12-05,743.95
2017-12-06,735.0
2017-12-07,738.75
2017-12-08,749.75
2017-12-11,738.75
2017-12-12,739.95
2017-12-13,738.4
2017-12-14,729.4
2017-12-15,761.3
2017-12-18,745.4
2017-12-19,756.95
2017-12-20,777.2
2017-12-21,759.65
2017-12-22,758.4
2017-12-26,757.45
2017-12-27,760.8
2017-12-28,756.3
2017-12-29,752.7
