Date,VIDHIING
2017-01-02,52.2
2017-01-03,53.25
2017-01-04,53.5
2017-01-05,53.45
2017-01-06,52.8
2017-01-09,53.15
2017-01-10,53.75
2017-01-11,53.75
2017-01-12,53.4
2017-01-13,53.25
2017-01-16,54.3
2017-01-17,54.8
2017-01-18,55.0
2017-01-19,55.45
2017-01-20,55.2
2017-01-23,55.8
2017-01-24,57.35
2017-01-25,56.5
2017-01-27,56.4
2017-01-30,55.1
2017-01-31,55.8
2017-02-01,55.5
2017-02-02,56.95
2017-02-03,56.5
2017-02-06,55.9
2017-02-07,55.65
2017-02-08,55.95
2017-02-09,57.0
2017-02-10,57.4
2017-02-13,52.65
2017-02-14,52.45
2017-02-15,51.55
2017-02-16,52.0
2017-02-17,52.5
2017-02-20,53.2
2017-02-21,52.7
2017-02-22,52.15
2017-02-23,52.8
2017-02-27,52.75
2017-02-28,53.1
2017-03-01,52.85
2017-03-02,51.45
2017-03-03,51.85
2017-03-06,51.95
2017-03-07,51.4
2017-03-08,51.1
2017-03-09,50.95
2017-03-10,51.2
2017-03-14,51.0
2017-03-15,51.0
2017-03-16,53.75
2017-03-17,54.15
2017-03-20,54.45
2017-03-21,54.4
2017-03-22,53.75
2017-03-23,54.45
2017-03-24,55.1
2017-03-27,56.1
2017-03-28,58.6
2017-03-29,59.3
2017-03-30,58.15
2017-03-31,57.0
2017-04-03,57.8
2017-04-05,59.65
2017-04-06,59.7
2017-04-07,60.95
2017-04-10,65.3
2017-04-11,63.95
2017-04-12,61.65
2017-04-13,61.75
2017-04-17,62.2
2017-04-18,60.85
2017-04-19,60.6
2017-04-20,60.75
2017-04-21,60.15
2017-04-24,60.7
2017-04-25,60.5
2017-04-26,60.0
2017-04-27,59.05
2017-04-28,59.0
2017-05-02,58.05
2017-05-03,59.25
2017-05-04,59.75
2017-05-05,58.25
2017-05-08,57.8
2017-05-09,58.15
2017-05-10,56.8
2017-05-11,57.65
2017-05-12,57.85
2017-05-15,57.1
2017-05-16,58.05
2017-05-17,58.55
2017-05-18,57.85
2017-05-19,57.4
2017-05-22,57.35
2017-05-23,55.95
2017-05-24,54.25
2017-05-25,54.2
2017-05-26,55.25
2017-05-29,55.0
2017-05-30,54.35
2017-05-31,54.35
2017-06-01,55.0
2017-06-02,55.55
2017-06-05,56.2
2017-06-06,57.0
2017-06-07,56.2
2017-06-08,58.7
2017-06-09,61.35
2017-06-12,59.5
2017-06-13,58.65
2017-06-14,57.45
2017-06-15,57.15
2017-06-16,57.05
2017-06-19,57.25
2017-06-20,56.75
2017-06-21,56.6
2017-06-22,58.65
2017-06-23,57.7
2017-06-27,59.2
2017-06-28,56.9
2017-06-29,57.25
2017-06-30,65.5
2017-07-03,65.75
2017-07-04,64.5
2017-07-05,63.4
2017-07-06,68.3
2017-07-07,65.95
2017-07-10,65.65
2017-07-11,63.0
2017-07-12,63.1
2017-07-13,65.25
2017-07-14,64.65
2017-07-17,65.3
2017-07-18,65.6
2017-07-19,68.35
2017-07-20,69.45
2017-07-21,67.9
2017-07-24,66.6
2017-07-25,65.05
2017-07-26,65.9
2017-07-27,64.45
2017-07-28,64.65
2017-07-31,67.1
2017-08-01,65.1
2017-08-02,63.95
2017-08-03,62.2
2017-08-04,62.5
2017-08-07,62.1
2017-08-08,60.75
2017-08-09,59.3
2017-08-10,55.95
2017-08-11,55.85
2017-08-14,58.75
2017-08-16,59.15
2017-08-17,59.8
2017-08-18,59.15
2017-08-21,57.85
2017-08-22,56.65
2017-08-23,60.25
2017-08-24,61.4
2017-08-28,62.55
2017-08-29,60.65
2017-08-30,61.45
2017-08-31,61.35
2017-09-01,63.55
2017-09-04,66.6
2017-09-05,68.15
2017-09-06,66.85
2017-09-07,65.55
2017-09-08,65.8
2017-09-11,65.6
2017-09-12,65.15
2017-09-13,64.9
2017-09-14,69.4
2017-09-15,67.8
2017-09-18,71.7
2017-09-19,72.1
2017-09-20,70.8
2017-09-21,69.6
2017-09-22,68.1
2017-09-25,67.95
2017-09-26,71.05
2017-09-27,67.85
2017-09-28,68.75
2017-09-29,70.1
2017-10-03,70.05
2017-10-04,70.8
2017-10-05,74.7
2017-10-06,75.6
2017-10-09,74.3
2017-10-10,73.65
2017-10-11,71.15
2017-10-12,72.65
2017-10-13,72.15
2017-10-16,73.95
2017-10-17,73.65
2017-10-18,72.65
2017-10-19,72.65
2017-10-23,71.3
2017-10-24,71.6
2017-10-25,70.6
2017-10-26,74.45
2017-10-27,74.4
2017-10-30,75.7
2017-10-31,74.0
2017-11-01,75.4
2017-11-02,75.5
2017-11-03,81.0
2017-11-06,96.85
2017-11-07,91.6
2017-11-08,90.25
2017-11-09,100.3
2017-11-10,94.1
2017-11-13,91.2
2017-11-14,92.1
2017-11-15,86.5
2017-11-16,88.65
2017-11-17,93.1
2017-11-20,93.9
2017-11-21,93.8
2017-11-22,99.55
2017-11-23,98.4
2017-11-24,95.85
2017-11-27,94.75
2017-11-28,93.85
2017-11-29,94.25
2017-11-30,95.0
2017-12-01,92.95
2017-12-04,92.75
2017-12-05,90.2
2017-12-06,105.0
2017-12-07,109.7
2017-12-08,104.95
2017-12-11,107.55
2017-12-12,105.3
2017-12-13,100.0
2017-12-14,99.9
2017-12-15,101.15
2017-12-18,100.85
2017-12-19,109.15
2017-12-20,112.45
2017-12-21,111.45
2017-12-22,111.65
2017-12-26,108.7
2017-12-27,104.4
2017-12-28,105.85
2017-12-29,104.1
