Date,HIGHGROUND
2017-01-02,33.7
2017-01-03,36.65
2017-01-04,36.8
2017-01-05,36.6
2017-01-06,35.85
2017-01-09,35.15
2017-01-10,34.6
2017-01-11,35.25
2017-01-12,34.65
2017-01-13,33.05
2017-01-16,34.45
2017-01-17,33.9
2017-01-18,33.0
2017-01-19,32.95
2017-01-20,32.85
2017-01-23,32.35
2017-01-24,31.85
2017-01-25,31.75
2017-01-27,28.75
2017-01-30,29.25
2017-01-31,28.5
2017-02-01,28.9
2017-02-02,30.15
2017-02-03,28.5
2017-02-06,29.35
2017-02-07,29.65
2017-02-08,29.95
2017-02-09,34.35
2017-02-10,33.75
2017-02-13,34.0
2017-02-14,33.0
2017-02-15,31.2
2017-02-16,34.05
2017-02-17,33.3
2017-02-20,31.75
2017-02-21,30.95
2017-02-22,30.05
2017-02-23,29.15
2017-02-27,28.2
2017-02-28,29.15
2017-03-01,27.5
2017-03-02,27.2
2017-03-03,26.55
2017-03-06,26.1
2017-03-07,27.55
2017-03-08,25.85
2017-03-09,24.75
2017-03-10,24.2
2017-03-14,22.85
2017-03-15,21.95
2017-03-16,24.6
2017-03-17,24.35
2017-03-20,24.0
2017-03-21,23.3
2017-03-22,22.65
2017-03-23,24.9
2017-03-24,27.0
2017-03-27,27.0
2017-03-28,27.2
2017-03-29,29.3
2017-03-30,30.45
2017-03-31,29.05
2017-04-03,28.25
2017-04-05,26.6
2017-04-06,26.7
2017-04-07,26.55
2017-04-10,25.4
2017-04-11,25.5
2017-04-12,24.85
2017-04-13,24.4
2017-04-17,24.1
2017-04-18,25.15
2017-04-19,24.7
2017-04-20,25.1
2017-04-21,25.05
2017-04-24,28.3
2017-04-25,26.8
2017-04-26,26.2
2017-04-27,25.7
2017-04-28,24.55
2017-05-02,23.85
2017-05-03,23.4
2017-05-04,24.0
2017-05-05,23.1
2017-05-08,23.35
2017-05-09,22.5
2017-05-10,22.6
2017-05-11,22.5
2017-05-12,22.1
2017-05-15,22.3
2017-05-16,22.3
2017-05-17,24.7
2017-05-18,23.95
2017-05-19,25.7
2017-05-22,23.65
2017-05-23,23.4
2017-05-24,22.7
2017-05-25,25.4
2017-05-26,25.15
2017-05-29,22.55
2017-05-30,21.6
2017-05-31,21.3
2017-06-01,22.3
2017-06-02,24.0
2017-06-05,21.75
2017-06-06,21.15
2017-06-07,21.25
2017-06-08,19.45
2017-06-09,19.8
2017-06-12,20.05
2017-06-13,18.25
2017-06-14,18.15
2017-06-15,18.25
2017-06-16,17.25
2017-06-19,17.0
2017-06-20,17.55
2017-06-21,16.55
2017-06-22,15.85
2017-06-23,15.55
2017-06-27,14.5
2017-06-28,14.45
2017-06-29,16.05
2017-06-30,15.75
2017-07-03,15.1
2017-07-04,15.15
2017-07-05,14.35
2017-07-06,14.1
2017-07-07,14.5
2017-07-10,15.25
2017-07-11,14.0
2017-07-12,14.4
2017-07-13,13.3
2017-07-14,13.0
2017-07-17,13.2
2017-07-18,13.4
2017-07-19,12.45
2017-07-20,12.2
2017-07-21,12.35
2017-07-24,12.2
2017-07-25,11.75
2017-07-26,12.3
2017-07-27,12.1
2017-07-28,12.0
2017-07-31,12.0
2017-08-01,11.95
2017-08-02,11.65
2017-08-03,11.55
2017-08-04,11.5
2017-08-07,11.1
2017-08-08,11.1
2017-08-09,9.9
2017-08-10,9.05
2017-08-11,8.75
2017-08-14,9.95
2017-08-16,10.85
2017-08-17,11.1
2017-08-18,10.8
2017-08-21,11.5
2017-08-22,12.2
2017-08-23,12.1
2017-08-24,11.3
2017-08-28,11.7
2017-08-29,10.8
2017-08-30,11.35
2017-08-31,10.2
2017-09-01,10.55
2017-09-04,10.45
2017-09-05,10.1
2017-09-06,10.45
2017-09-07,10.8
2017-09-08,10.15
2017-09-11,11.1
2017-09-12,10.75
2017-09-13,11.25
2017-09-14,11.75
2017-09-15,12.15
2017-09-18,10.55
2017-09-19,10.3
2017-09-20,11.65
2017-09-21,11.1
2017-09-22,11.4
2017-09-25,11.3
2017-09-26,11.6
2017-09-27,10.6
2017-09-28,10.5
2017-09-29,10.55
2017-10-03,10.25
2017-10-04,10.4
2017-10-05,10.3
2017-10-06,10.0
2017-10-09,9.7
2017-10-10,9.75
2017-10-11,9.7
2017-10-12,9.7
2017-10-13,9.45
2017-10-16,9.7
2017-10-17,9.55
2017-10-18,9.3
2017-10-19,9.3
2017-10-23,9.0
2017-10-24,8.95
2017-10-25,8.9
2017-10-26,8.8
2017-10-27,8.85
2017-10-30,9.35
2017-10-31,9.1
2017-11-01,9.15
2017-11-02,9.1
2017-11-03,8.9
2017-11-06,8.85
2017-11-07,8.9
2017-11-08,8.8
2017-11-09,8.7
2017-11-10,8.6
2017-11-13,8.7
2017-11-14,8.7
2017-11-15,8.5
2017-11-16,8.25
2017-11-17,8.2
2017-11-20,8.25
2017-11-21,8.65
2017-11-22,8.6
2017-11-23,9.2
2017-11-24,11.0
2017-11-27,13.2
2017-11-28,12.95
2017-11-29,13.3
2017-11-30,14.2
2017-12-01,14.65
2017-12-04,16.1
2017-12-05,17.15
2017-12-06,17.4
2017-12-07,18.25
2017-12-08,18.85
2017-12-11,19.4
2017-12-12,18.45
2017-12-13,17.55
2017-12-14,16.7
2017-12-15,15.9
2017-12-18,15.15
2017-12-19,15.9
2017-12-20,16.65
2017-12-21,17.1
2017-12-22,16.25
2017-12-26,16.05
2017-12-27,16.5
2017-12-28,15.7
2017-12-29,16.35
