Date,GITANJALI
2017-01-02,58.0
2017-01-03,59.25
2017-01-04,59.8
2017-01-05,62.15
2017-01-06,61.5
2017-01-09,61.45
2017-01-10,61.3
2017-01-11,64.35
2017-01-12,63.6
2017-01-13,66.3
2017-01-16,71.25
2017-01-17,69.8
2017-01-18,67.15
2017-01-19,67.8
2017-01-20,66.65
2017-01-23,70.3
2017-01-24,71.35
2017-01-25,69.35
2017-01-27,69.0
2017-01-30,68.75
2017-01-31,67.15
2017-02-01,69.2
2017-02-02,69.75
2017-02-03,70.9
2017-02-06,69.5
2017-02-07,69.45
2017-02-08,70.8
2017-02-09,72.7
2017-02-10,73.55
2017-02-13,75.7
2017-02-14,72.5
2017-02-15,66.3
2017-02-16,67.4
2017-02-17,67.85
2017-02-20,67.8
2017-02-21,66.25
2017-02-22,65.25
2017-02-23,65.25
2017-02-27,64.75
2017-02-28,64.95
2017-03-01,69.4
2017-03-02,66.75
2017-03-03,67.0
2017-03-06,67.4
2017-03-07,66.05
2017-03-08,65.6
2017-03-09,64.85
2017-03-10,63.35
2017-03-14,66.95
2017-03-15,66.05
2017-03-16,67.4
2017-03-17,67.0
2017-03-20,68.4
2017-03-21,68.4
2017-03-22,66.75
2017-03-23,67.0
2017-03-24,66.5
2017-03-27,66.25
2017-03-28,66.85
2017-03-29,65.8
2017-03-30,66.1
2017-03-31,65.95
2017-04-03,67.7
2017-04-05,69.05
2017-04-06,68.4
2017-04-07,67.05
2017-04-10,67.0
2017-04-11,67.3
2017-04-12,66.0
2017-04-13,65.35
2017-04-17,71.45
2017-04-18,66.9
2017-04-19,68.3
2017-04-20,68.4
2017-04-21,68.55
2017-04-24,70.1
2017-04-25,72.75
2017-04-26,70.65
2017-04-27,71.15
2017-04-28,69.9
2017-05-02,70.0
2017-05-03,69.5
2017-05-04,69.75
2017-05-05,68.8
2017-05-08,68.75
2017-05-09,70.25
2017-05-10,69.5
2017-05-11,68.5
2017-05-12,68.75
2017-05-15,68.4
2017-05-16,68.6
2017-05-17,68.1
2017-05-18,66.65
2017-05-19,66.15
2017-05-22,64.7
2017-05-23,61.9
2017-05-24,60.65
2017-05-25,62.15
2017-05-26,63.9
2017-05-29,67.3
2017-05-30,67.45
2017-05-31,64.9
2017-06-01,67.0
2017-06-02,67.1
2017-06-05,69.2
2017-06-06,66.5
2017-06-07,66.45
2017-06-08,65.15
2017-06-09,64.95
2017-06-12,66.15
2017-06-13,65.7
2017-06-14,67.95
2017-06-15,67.1
2017-06-16,66.3
2017-06-19,65.95
2017-06-20,65.8
2017-06-21,66.1
2017-06-22,64.85
2017-06-23,63.6
2017-06-27,61.25
2017-06-28,61.55
2017-06-29,62.5
2017-06-30,62.25
2017-07-03,63.0
2017-07-04,62.5
2017-07-05,64.45
2017-07-06,65.2
2017-07-07,64.05
2017-07-10,63.55
2017-07-11,63.0
2017-07-12,63.05
2017-07-13,62.5
2017-07-14,62.45
2017-07-17,62.9
2017-07-18,62.0
2017-07-19,62.5
2017-07-20,63.55
2017-07-21,63.25
2017-07-24,63.2
2017-07-25,62.5
2017-07-26,63.6
2017-07-27,62.75
2017-07-28,63.65
2017-07-31,64.15
2017-08-01,63.5
2017-08-02,62.9
2017-08-03,62.45
2017-08-04,62.8
2017-08-07,62.8
2017-08-08,60.9
2017-08-09,58.7
2017-08-10,56.05
2017-08-11,55.85
2017-08-14,61.65
2017-08-16,62.7
2017-08-17,62.4
2017-08-18,61.5
2017-08-21,61.15
2017-08-22,60.6
2017-08-23,60.8
2017-08-24,60.5
2017-08-28,61.25
2017-08-29,60.75
2017-08-30,61.15
2017-08-31,60.95
2017-09-01,61.1
2017-09-04,62.0
2017-09-05,63.2
2017-09-06,67.35
2017-09-07,74.4
2017-09-08,73.7
2017-09-11,71.4
2017-09-12,72.5
2017-09-13,70.6
2017-09-14,70.05
2017-09-15,70.5
2017-09-18,70.05
2017-09-19,68.2
2017-09-20,67.8
2017-09-21,71.1
2017-09-22,69.75
2017-09-25,67.05
2017-09-26,67.8
2017-09-27,66.1
2017-09-28,67.5
2017-09-29,65.2
2017-10-03,67.3
2017-10-04,66.05
2017-10-05,69.1
2017-10-06,69.9
2017-10-09,72.5
2017-10-10,70.55
2017-10-11,68.7
2017-10-12,68.7
2017-10-13,69.55
2017-10-16,70.2
2017-10-17,68.5
2017-10-18,66.75
2017-10-19,66.85
2017-10-23,66.3
2017-10-24,66.45
2017-10-25,65.85
2017-10-26,65.95
2017-10-27,65.6
2017-10-30,65.7
2017-10-31,65.6
2017-11-01,65.8
2017-11-02,65.8
2017-11-03,66.2
2017-11-06,68.5
2017-11-07,68.0
2017-11-08,67.8
2017-11-09,68.9
2017-11-10,71.25
2017-11-13,71.5
2017-11-14,71.4
2017-11-15,69.45
2017-11-16,69.15
2017-11-17,69.25
2017-11-20,71.75
2017-11-21,82.75
2017-11-22,81.05
2017-11-23,91.2
2017-11-24,94.6
2017-11-27,93.15
2017-11-28,90.15
2017-11-29,85.7
2017-11-30,80.95
2017-12-01,79.25
2017-12-04,80.75
2017-12-05,77.9
2017-12-06,75.8
2017-12-07,74.2
2017-12-08,75.15
2017-12-11,75.3
2017-12-12,75.3
2017-12-13,72.1
2017-12-14,69.3
2017-12-15,70.5
2017-12-18,69.05
2017-12-19,69.5
2017-12-20,69.65
2017-12-21,68.5
2017-12-22,68.7
2017-12-26,68.95
2017-12-27,67.85
2017-12-28,68.8
2017-12-29,68.25
