Date,BSE
2017-02-03,1069.2
2017-02-06,1029.2
2017-02-07,1006.8
2017-02-08,1022.6
2017-02-09,1010.05
2017-02-10,1005.0
2017-02-13,1001.8
2017-02-14,1004.0
2017-02-15,981.7
2017-02-16,963.9
2017-02-17,967.2
2017-02-20,971.15
2017-02-21,984.25
2017-02-22,974.25
2017-02-23,965.9
2017-02-27,954.1
2017-02-28,946.95
2017-03-01,934.1
2017-03-02,917.2
2017-03-03,890.7
2017-03-06,947.2
2017-03-07,938.7
2017-03-08,923.85
2017-03-09,944.95
2017-03-10,936.6
2017-03-14,944.95
2017-03-15,945.35
2017-03-16,945.25
2017-03-17,943.9
2017-03-20,938.35
2017-03-21,938.8
2017-03-22,934.4
2017-03-23,937.6
2017-03-24,945.05
2017-03-27,935.75
2017-03-28,939.25
2017-03-29,951.35
2017-03-30,966.7
2017-03-31,977.65
2017-04-03,977.45
2017-04-05,979.4
2017-04-06,970.8
2017-04-07,991.95
2017-04-10,1030.1
2017-04-11,1043.65
2017-04-12,1047.7
2017-04-13,1029.6
2017-04-17,1011.45
2017-04-18,997.75
2017-04-19,1000.3
2017-04-20,1010.9
2017-04-21,1010.4
2017-04-24,1009.75
2017-04-25,1005.2
2017-04-26,1009.55
2017-04-27,1007.8
2017-04-28,1004.45
2017-05-02,1004.25
2017-05-03,1002.75
2017-05-04,1001.15
2017-05-05,995.1
2017-05-08,1006.3
2017-05-09,994.7
2017-05-10,997.1
2017-05-11,999.95
2017-05-12,981.8
2017-05-15,998.0
2017-05-16,1058.95
2017-05-17,1071.4
2017-05-18,1080.6
2017-05-19,1073.3
2017-05-22,1067.05
2017-05-23,1055.05
2017-05-24,1055.75
2017-05-25,1042.65
2017-05-26,1054.25
2017-05-29,1067.65
2017-05-30,1064.95
2017-05-31,1093.4
2017-06-01,1090.1
2017-06-02,1107.15
2017-06-05,1131.55
2017-06-06,1104.35
2017-06-07,1101.45
2017-06-08,1092.0
2017-06-09,1118.7
2017-06-12,1110.4
2017-06-13,1098.4
2017-06-14,1094.3
2017-06-15,1083.15
2017-06-16,1075.4
2017-06-19,1110.0
2017-06-20,1101.35
2017-06-21,1104.15
2017-06-22,1091.05
2017-06-23,1065.0
2017-06-27,1048.3
2017-06-28,1074.05
2017-06-29,1098.7
2017-06-30,1073.55
2017-07-03,1072.95
2017-07-04,1066.5
2017-07-05,1063.6
2017-07-06,1060.55
2017-07-07,1066.9
2017-07-10,1085.1
2017-07-11,1097.05
2017-07-12,1100.95
2017-07-13,1111.9
2017-07-14,1120.7
2017-07-17,1102.05
2017-07-18,1085.6
2017-07-19,1098.55
2017-07-20,1089.2
2017-07-21,1084.05
2017-07-24,1085.7
2017-07-25,1084.4
2017-07-26,1096.45
2017-07-27,1085.8
2017-07-28,1083.95
2017-07-31,1083.7
2017-08-01,1083.5
2017-08-02,1067.2
2017-08-03,1069.6
2017-08-04,1071.4
2017-08-07,1085.35
2017-08-08,1066.45
2017-08-09,1049.2
2017-08-10,1012.7
2017-08-11,997.1
2017-08-14,997.55
2017-08-16,1012.45
2017-08-17,1011.65
2017-08-18,998.9
2017-08-21,1006.9
2017-08-22,1004.6
2017-08-23,1004.8
2017-08-24,998.1
2017-08-28,985.05
2017-08-29,979.7
2017-08-30,980.05
2017-08-31,973.3
2017-09-01,976.9
2017-09-04,973.95
2017-09-05,974.9
2017-09-06,970.5
2017-09-07,1000.8
2017-09-08,995.2
2017-09-11,1022.65
2017-09-12,1023.65
2017-09-13,1019.5
2017-09-14,1030.35
2017-09-15,1018.7
2017-09-18,1018.05
2017-09-19,1018.75
2017-09-20,1017.55
2017-09-21,1014.9
2017-09-22,1000.15
2017-09-25,978.9
2017-09-26,978.15
2017-09-27,976.9
2017-09-28,983.35
2017-09-29,976.35
2017-10-03,986.1
2017-10-04,984.55
2017-10-05,985.3
2017-10-06,978.15
2017-10-09,984.4
2017-10-10,995.2
2017-10-11,985.8
2017-10-12,980.55
2017-10-13,977.4
2017-10-16,974.45
2017-10-17,972.6
2017-10-18,965.1
2017-10-19,972.65
2017-10-23,968.9
2017-10-24,971.95
2017-10-25,976.55
2017-10-26,989.1
2017-10-27,989.9
2017-10-30,985.35
2017-10-31,990.45
2017-11-01,987.25
2017-11-02,984.45
2017-11-03,984.55
2017-11-06,989.15
2017-11-07,987.25
2017-11-08,979.5
2017-11-09,977.1
2017-11-10,973.05
2017-11-13,978.05
2017-11-14,972.55
2017-11-15,967.2
2017-11-16,967.65
2017-11-17,962.3
2017-11-20,961.65
2017-11-21,951.0
2017-11-22,949.25
2017-11-23,948.95
2017-11-24,943.4
2017-11-27,940.35
2017-11-28,937.8
2017-11-29,930.9
2017-11-30,928.1
2017-12-01,929.85
2017-12-04,929.95
2017-12-05,921.95
2017-12-06,913.85
2017-12-07,922.2
2017-12-08,916.6
2017-12-11,905.4
2017-12-12,905.4
2017-12-13,903.7
2017-12-14,899.6
2017-12-15,899.75
2017-12-18,899.15
2017-12-19,894.2
2017-12-20,890.75
2017-12-21,903.5
2017-12-22,904.2
2017-12-26,907.45
2017-12-27,910.95
2017-12-28,925.05
2017-12-29,909.45
