Date,EQUITAS
2017-01-02,149.9
2017-01-03,149.35
2017-01-04,148.6
2017-01-05,150.1
2017-01-06,147.95
2017-01-09,149.9
2017-01-10,148.9
2017-01-11,150.7
2017-01-12,149.25
2017-01-13,149.6
2017-01-16,151.75
2017-01-17,155.05
2017-01-18,160.2
2017-01-19,162.75
2017-01-20,158.35
2017-01-23,158.65
2017-01-24,159.95
2017-01-25,163.25
2017-01-27,167.45
2017-01-30,167.1
2017-01-31,164.35
2017-02-01,170.5
2017-02-02,176.45
2017-02-03,183.35
2017-02-06,181.05
2017-02-07,180.15
2017-02-08,186.35
2017-02-09,186.05
2017-02-10,186.55
2017-02-13,183.7
2017-02-14,178.9
2017-02-15,172.9
2017-02-16,177.25
2017-02-17,183.8
2017-02-20,179.65
2017-02-21,182.2
2017-02-22,179.55
2017-02-23,179.9
2017-02-27,176.8
2017-02-28,177.25
2017-03-01,175.85
2017-03-02,173.7
2017-03-03,174.05
2017-03-06,172.35
2017-03-07,170.5
2017-03-08,165.75
2017-03-09,164.35
2017-03-10,162.15
2017-03-14,164.4
2017-03-15,167.1
2017-03-16,169.3
2017-03-17,166.15
2017-03-20,162.85
2017-03-21,160.75
2017-03-22,157.15
2017-03-23,158.95
2017-03-24,158.35
2017-03-27,159.05
2017-03-28,160.85
2017-03-29,159.95
2017-03-30,164.3
2017-03-31,169.55
2017-04-03,170.65
2017-04-05,169.85
2017-04-06,168.45
2017-04-07,165.35
2017-04-10,162.15
2017-04-11,165.0
2017-04-12,165.2
2017-04-13,166.65
2017-04-17,165.25
2017-04-18,164.4
2017-04-19,165.05
2017-04-20,172.1
2017-04-21,171.45
2017-04-24,168.85
2017-04-25,168.9
2017-04-26,167.3
2017-04-27,169.15
2017-04-28,166.15
2017-05-02,162.75
2017-05-03,161.85
2017-05-04,163.55
2017-05-05,159.95
2017-05-08,161.3
2017-05-09,165.0
2017-05-10,165.05
2017-05-11,165.3
2017-05-12,162.05
2017-05-15,162.95
2017-05-16,165.0
2017-05-17,165.95
2017-05-18,161.75
2017-05-19,158.1
2017-05-22,154.1
2017-05-23,151.25
2017-05-24,146.6
2017-05-25,152.15
2017-05-26,153.65
2017-05-29,149.4
2017-05-30,153.85
2017-05-31,156.5
2017-06-01,156.7
2017-06-02,160.25
2017-06-05,160.1
2017-06-06,159.75
2017-06-07,157.85
2017-06-08,156.95
2017-06-09,156.3
2017-06-12,154.1
2017-06-13,153.05
2017-06-14,152.65
2017-06-15,152.35
2017-06-16,156.45
2017-06-19,155.15
2017-06-20,158.15
2017-06-21,156.55
2017-06-22,154.2
2017-06-23,152.65
2017-06-27,150.95
2017-06-28,149.1
2017-06-29,149.75
2017-06-30,150.0
2017-07-03,150.0
2017-07-04,150.4
2017-07-05,158.7
2017-07-06,157.9
2017-07-07,159.1
2017-07-10,160.0
2017-07-11,157.2
2017-07-12,168.0
2017-07-13,170.25
2017-07-14,169.95
2017-07-17,168.45
2017-07-18,167.3
2017-07-19,170.0
2017-07-20,168.95
2017-07-21,168.0
2017-07-24,167.6
2017-07-25,168.35
2017-07-26,168.9
2017-07-27,166.1
2017-07-28,167.85
2017-07-31,167.5
2017-08-01,163.05
2017-08-02,163.65
2017-08-03,161.6
2017-08-04,167.8
2017-08-07,167.8
2017-08-08,165.6
2017-08-09,164.1
2017-08-10,153.85
2017-08-11,155.75
2017-08-14,155.95
2017-08-16,157.0
2017-08-17,160.5
2017-08-18,158.8
2017-08-21,155.8
2017-08-22,155.4
2017-08-23,157.4
2017-08-24,157.75
2017-08-28,160.05
2017-08-29,159.6
2017-08-30,168.6
2017-08-31,175.25
2017-09-01,172.75
2017-09-04,169.75
2017-09-05,172.7
2017-09-06,179.15
2017-09-07,173.5
2017-09-08,172.25
2017-09-11,172.15
2017-09-12,170.8
2017-09-13,166.85
2017-09-14,164.65
2017-09-15,162.15
2017-09-18,161.4
2017-09-19,162.95
2017-09-20,162.0
2017-09-21,158.85
2017-09-22,155.45
2017-09-25,155.95
2017-09-26,156.5
2017-09-27,154.95
2017-09-28,151.95
2017-09-29,152.2
2017-10-03,152.0
2017-10-04,150.35
2017-10-05,152.15
2017-10-06,154.25
2017-10-09,154.4
2017-10-10,154.3
2017-10-11,151.0
2017-10-12,151.9
2017-10-13,152.4
2017-10-16,153.0
2017-10-17,155.75
2017-10-18,154.3
2017-10-19,152.55
2017-10-23,152.05
2017-10-24,152.8
2017-10-25,150.75
2017-10-26,146.1
2017-10-27,144.05
2017-10-30,145.1
2017-10-31,147.35
2017-11-01,146.05
2017-11-02,144.35
2017-11-03,146.5
2017-11-06,144.45
2017-11-07,140.0
2017-11-08,136.8
2017-11-09,139.1
2017-11-10,140.0
2017-11-13,140.0
2017-11-14,140.65
2017-11-15,138.15
2017-11-16,138.65
2017-11-17,140.85
2017-11-20,146.5
2017-11-21,145.4
2017-11-22,145.15
2017-11-23,144.9
2017-11-24,146.05
2017-11-27,145.9
2017-11-28,149.25
2017-11-29,147.6
2017-11-30,147.6
2017-12-01,140.4
2017-12-04,137.7
2017-12-05,139.4
2017-12-06,138.8
2017-12-07,140.95
2017-12-08,142.0
2017-12-11,141.2
2017-12-12,139.05
2017-12-13,136.65
2017-12-14,135.65
2017-12-15,139.45
2017-12-18,139.6
2017-12-19,140.8
2017-12-20,144.05
2017-12-21,145.6
2017-12-22,143.95
2017-12-26,142.45
2017-12-27,147.35
2017-12-28,148.65
2017-12-29,148.05
