Date,CENTUM
2017-01-02,596.6
2017-01-03,620.2
2017-01-04,634.0
2017-01-05,639.75
2017-01-06,638.8
2017-01-09,672.1
2017-01-10,687.15
2017-01-11,688.7
2017-01-12,675.7
2017-01-13,655.85
2017-01-16,666.6
2017-01-17,658.45
2017-01-18,657.3
2017-01-19,652.85
2017-01-20,650.9
2017-01-23,652.8
2017-01-24,669.8
2017-01-25,655.6
2017-01-27,649.95
2017-01-30,643.4
2017-01-31,640.15
2017-02-01,635.05
2017-02-02,623.7
2017-02-03,617.6
2017-02-06,637.35
2017-02-07,647.45
2017-02-08,660.2
2017-02-09,663.8
2017-02-10,633.9
2017-02-13,636.0
2017-02-14,625.3
2017-02-15,598.4
2017-02-16,603.3
2017-02-17,594.9
2017-02-20,600.35
2017-02-21,611.5
2017-02-22,606.2
2017-02-23,602.9
2017-02-27,598.4
2017-02-28,591.0
2017-03-01,598.25
2017-03-02,611.2
2017-03-03,609.45
2017-03-06,600.5
2017-03-07,603.45
2017-03-08,601.15
2017-03-09,604.05
2017-03-10,598.6
2017-03-14,600.15
2017-03-15,597.15
2017-03-16,597.25
2017-03-17,595.3
2017-03-20,599.4
2017-03-21,600.0
2017-03-22,602.5
2017-03-23,599.65
2017-03-24,598.05
2017-03-27,591.05
2017-03-28,594.25
2017-03-29,579.9
2017-03-30,584.15
2017-03-31,586.1
2017-04-03,599.7
2017-04-05,612.1
2017-04-06,616.25
2017-04-07,611.75
2017-04-10,642.8
2017-04-11,645.95
2017-04-12,648.45
2017-04-13,631.45
2017-04-17,623.8
2017-04-18,610.7
2017-04-19,611.7
2017-04-20,648.45
2017-04-21,636.3
2017-04-24,622.65
2017-04-25,618.5
2017-04-26,615.25
2017-04-27,616.55
2017-04-28,616.25
2017-05-02,611.45
2017-05-03,643.95
2017-05-04,631.6
2017-05-05,618.55
2017-05-08,621.35
2017-05-09,628.3
2017-05-10,623.65
2017-05-11,610.25
2017-05-12,604.75
2017-05-15,608.4
2017-05-16,613.95
2017-05-17,604.45
2017-05-18,601.15
2017-05-19,610.55
2017-05-22,614.2
2017-05-23,593.55
2017-05-24,573.0
2017-05-25,610.3
2017-05-26,613.75
2017-05-29,600.3
2017-05-30,619.25
2017-05-31,626.35
2017-06-01,615.35
2017-06-02,642.7
2017-06-05,645.05
2017-06-06,640.1
2017-06-07,708.2
2017-06-08,700.5
2017-06-09,700.75
2017-06-12,673.7
2017-06-13,706.4
2017-06-14,700.1
2017-06-15,700.0
2017-06-16,726.0
2017-06-19,743.9
2017-06-20,718.15
2017-06-21,721.25
2017-06-22,705.75
2017-06-23,678.25
2017-06-27,692.7
2017-06-28,686.95
2017-06-29,680.4
2017-06-30,685.3
2017-07-03,672.2
2017-07-04,670.45
2017-07-05,669.0
2017-07-06,667.45
2017-07-07,686.5
2017-07-10,700.7
2017-07-11,701.1
2017-07-12,697.55
2017-07-13,684.1
2017-07-14,678.6
2017-07-17,667.8
2017-07-18,663.45
2017-07-19,654.0
2017-07-20,658.9
2017-07-21,662.15
2017-07-24,665.0
2017-07-25,680.25
2017-07-26,676.35
2017-07-27,672.65
2017-07-28,662.5
2017-07-31,660.1
2017-08-01,660.05
2017-08-02,639.25
2017-08-03,623.95
2017-08-04,637.05
2017-08-07,632.15
2017-08-08,619.0
2017-08-09,606.0
2017-08-10,589.25
2017-08-11,587.1
2017-08-14,600.85
2017-08-16,613.45
2017-08-17,623.55
2017-08-18,606.5
2017-08-21,614.85
2017-08-22,628.0
2017-08-23,639.8
2017-08-24,656.2
2017-08-28,661.4
2017-08-29,652.5
2017-08-30,676.75
2017-08-31,665.1
2017-09-01,661.3
2017-09-04,662.8
2017-09-05,662.95
2017-09-06,655.25
2017-09-07,671.45
2017-09-08,677.4
2017-09-11,706.0
2017-09-12,698.25
2017-09-13,675.4
2017-09-14,672.4
2017-09-15,666.4
2017-09-18,670.05
2017-09-19,652.25
2017-09-20,644.4
2017-09-21,637.15
2017-09-22,632.0
2017-09-25,621.4
2017-09-26,624.1
2017-09-27,613.5
2017-09-28,618.65
2017-09-29,618.9
2017-10-03,619.6
2017-10-04,623.25
2017-10-05,619.95
2017-10-06,615.25
2017-10-09,612.55
2017-10-10,611.05
2017-10-11,614.35
2017-10-12,623.9
2017-10-13,613.25
2017-10-16,619.6
2017-10-17,615.75
2017-10-18,612.8
2017-10-19,617.15
2017-10-23,621.75
2017-10-24,643.8
2017-10-25,640.0
2017-10-26,640.1
2017-10-27,642.5
2017-10-30,634.1
2017-10-31,639.0
2017-11-01,640.9
2017-11-02,655.0
2017-11-03,656.55
2017-11-06,640.2
2017-11-07,640.0
2017-11-08,649.0
2017-11-09,640.1
2017-11-10,644.2
2017-11-13,641.8
2017-11-14,619.4
2017-11-15,629.55
2017-11-16,625.0
2017-11-17,625.35
2017-11-20,622.65
2017-11-21,643.0
2017-11-22,650.9
2017-11-23,650.4
2017-11-24,653.6
2017-11-27,690.85
2017-11-28,699.45
2017-11-29,682.55
2017-11-30,668.35
2017-12-01,657.85
2017-12-04,654.45
2017-12-05,658.65
2017-12-06,640.6
2017-12-07,632.25
2017-12-08,630.8
2017-12-11,633.35
2017-12-12,626.2
2017-12-13,640.0
2017-12-14,640.05
2017-12-15,640.55
2017-12-18,641.85
2017-12-19,643.9
2017-12-20,659.9
2017-12-21,651.75
2017-12-22,653.35
2017-12-26,662.25
2017-12-27,656.6
2017-12-28,644.0
2017-12-29,649.65
