Date,COALINDIA
2017-01-02,300.05
2017-01-03,305.3
2017-01-04,306.15
2017-01-05,308.3
2017-01-06,306.2
2017-01-09,300.0
2017-01-10,300.6
2017-01-11,316.85
2017-01-12,313.2
2017-01-13,315.0
2017-01-16,313.8
2017-01-17,307.0
2017-01-18,308.7
2017-01-19,307.35
2017-01-20,303.7
2017-01-23,303.4
2017-01-24,309.45
2017-01-25,317.2
2017-01-27,317.75
2017-01-30,314.7
2017-01-31,309.2
2017-02-01,313.05
2017-02-02,320.45
2017-02-03,326.15
2017-02-06,325.05
2017-02-07,315.05
2017-02-08,321.75
2017-02-09,322.15
2017-02-10,324.5
2017-02-13,320.9
2017-02-14,320.2
2017-02-15,319.95
2017-02-16,318.3
2017-02-17,316.25
2017-02-20,319.9
2017-02-21,319.6
2017-02-22,328.35
2017-02-23,327.7
2017-02-27,329.95
2017-02-28,321.9
2017-03-01,320.2
2017-03-02,321.4
2017-03-03,321.25
2017-03-06,322.9
2017-03-07,322.8
2017-03-08,320.2
2017-03-09,318.1
2017-03-10,316.3
2017-03-14,294.95
2017-03-15,292.7
2017-03-16,291.95
2017-03-17,289.25
2017-03-20,291.8
2017-03-21,292.25
2017-03-22,292.15
2017-03-23,295.9
2017-03-24,297.85
2017-03-27,291.5
2017-03-28,290.35
2017-03-29,294.1
2017-03-30,289.5
2017-03-31,292.65
2017-04-03,295.0
2017-04-05,290.05
2017-04-06,286.4
2017-04-07,283.9
2017-04-10,286.75
2017-04-11,288.9
2017-04-12,290.0
2017-04-13,291.05
2017-04-17,285.8
2017-04-18,279.25
2017-04-19,282.7
2017-04-20,279.4
2017-04-21,277.0
2017-04-24,277.15
2017-04-25,278.3
2017-04-26,276.65
2017-04-27,274.15
2017-04-28,276.65
2017-05-02,274.55
2017-05-03,279.55
2017-05-04,280.25
2017-05-05,278.5
2017-05-08,279.1
2017-05-09,278.15
2017-05-10,278.55
2017-05-11,274.2
2017-05-12,276.6
2017-05-15,277.75
2017-05-16,275.95
2017-05-17,276.35
2017-05-18,276.45
2017-05-19,276.25
2017-05-22,273.85
2017-05-23,267.85
2017-05-24,261.75
2017-05-25,265.45
2017-05-26,268.25
2017-05-29,267.3
2017-05-30,267.7
2017-05-31,262.55
2017-06-01,265.35
2017-06-02,268.8
2017-06-05,264.55
2017-06-06,262.3
2017-06-07,264.4
2017-06-08,262.9
2017-06-09,261.5
2017-06-12,260.3
2017-06-13,259.05
2017-06-14,257.05
2017-06-15,254.2
2017-06-16,255.7
2017-06-19,253.95
2017-06-20,253.55
2017-06-21,250.45
2017-06-22,245.7
2017-06-23,244.9
2017-06-27,244.35
2017-06-28,245.75
2017-06-29,245.15
2017-06-30,244.25
2017-07-03,248.85
2017-07-04,246.75
2017-07-05,247.5
2017-07-06,251.45
2017-07-07,251.1
2017-07-10,258.8
2017-07-11,254.5
2017-07-12,253.45
2017-07-13,253.65
2017-07-14,250.45
2017-07-17,247.0
2017-07-18,248.5
2017-07-19,254.7
2017-07-20,255.3
2017-07-21,262.35
2017-07-24,261.55
2017-07-25,258.3
2017-07-26,260.65
2017-07-27,255.25
2017-07-28,251.55
2017-07-31,249.1
2017-08-01,251.45
2017-08-02,250.85
2017-08-03,241.75
2017-08-04,249.2
2017-08-07,251.5
2017-08-08,245.05
2017-08-09,242.5
2017-08-10,238.95
2017-08-11,235.9
2017-08-14,238.15
2017-08-16,237.95
2017-08-17,246.95
2017-08-18,243.35
2017-08-21,238.45
2017-08-22,240.55
2017-08-23,241.1
2017-08-24,241.3
2017-08-28,243.6
2017-08-29,238.25
2017-08-30,241.8
2017-08-31,237.4
2017-09-01,238.65
2017-09-04,246.5
2017-09-05,253.85
2017-09-06,255.8
2017-09-07,253.3
2017-09-08,255.0
2017-09-11,257.05
2017-09-12,257.55
2017-09-13,256.35
2017-09-14,255.05
2017-09-15,259.8
2017-09-18,264.55
2017-09-19,258.55
2017-09-20,256.55
2017-09-21,254.05
2017-09-22,253.8
2017-09-25,257.05
2017-09-26,260.4
2017-09-27,260.85
2017-09-28,267.8
2017-09-29,270.85
2017-10-03,272.0
2017-10-04,270.0
2017-10-05,273.25
2017-10-06,276.7
2017-10-09,281.35
2017-10-10,285.65
2017-10-11,282.95
2017-10-12,282.4
2017-10-13,287.25
2017-10-16,290.7
2017-10-17,290.05
2017-10-18,290.0
2017-10-19,285.8
2017-10-23,289.85
2017-10-24,289.7
2017-10-25,289.15
2017-10-26,293.35
2017-10-27,289.15
2017-10-30,288.9
2017-10-31,286.45
2017-11-01,286.55
2017-11-02,291.2
2017-11-03,286.55
2017-11-06,286.35
2017-11-07,284.65
2017-11-08,288.05
2017-11-09,283.25
2017-11-10,284.35
2017-11-13,274.95
2017-11-14,274.15
2017-11-15,272.35
2017-11-16,268.35
2017-11-17,272.8
2017-11-20,278.35
2017-11-21,273.8
2017-11-22,271.8
2017-11-23,270.45
2017-11-24,271.5
2017-11-27,271.65
2017-11-28,274.35
2017-11-29,276.3
2017-11-30,275.8
2017-12-01,272.05
2017-12-04,265.9
2017-12-05,265.25
2017-12-06,265.1
2017-12-07,262.8
2017-12-08,264.85
2017-12-11,269.85
2017-12-12,263.4
2017-12-13,263.15
2017-12-14,262.85
2017-12-15,271.0
2017-12-18,267.65
2017-12-19,267.6
2017-12-20,269.45
2017-12-21,267.9
2017-12-22,265.9
2017-12-26,263.75
2017-12-27,262.55
2017-12-28,263.15
2017-12-29,262.95
