Date,ORIENTHOT
2017-01-02,21.7
2017-01-03,22.15
2017-01-04,21.9
2017-01-05,22.1
2017-01-06,22.0
2017-01-09,22.35
2017-01-10,22.85
2017-01-11,22.7
2017-01-12,23.35
2017-01-13,22.95
2017-01-16,23.15
2017-01-17,22.75
2017-01-18,23.05
2017-01-19,23.05
2017-01-20,22.3
2017-01-23,26.75
2017-01-24,25.5
2017-01-25,25.75
2017-01-27,27.05
2017-01-30,26.7
2017-01-31,26.05
2017-02-01,26.35
2017-02-02,26.3
2017-02-03,27.55
2017-02-06,26.8
2017-02-07,26.5
2017-02-08,26.85
2017-02-09,27.0
2017-02-10,27.0
2017-02-13,26.8
2017-02-14,26.45
2017-02-15,26.45
2017-02-16,26.45
2017-02-17,26.3
2017-02-20,27.25
2017-02-21,28.0
2017-02-22,27.25
2017-02-23,26.8
2017-02-27,26.65
2017-02-28,26.4
2017-03-01,26.65
2017-03-02,26.25
2017-03-03,26.15
2017-03-06,26.15
2017-03-07,26.1
2017-03-08,26.1
2017-03-09,26.65
2017-03-10,26.2
2017-03-14,26.15
2017-03-15,25.65
2017-03-16,26.5
2017-03-17,28.75
2017-03-20,34.5
2017-03-21,35.3
2017-03-22,33.75
2017-03-23,35.6
2017-03-24,36.95
2017-03-27,38.25
2017-03-28,37.2
2017-03-29,36.1
2017-03-30,36.4
2017-03-31,35.5
2017-04-03,35.1
2017-04-05,37.1
2017-04-06,36.8
2017-04-07,36.05
2017-04-10,36.5
2017-04-11,38.55
2017-04-12,39.8
2017-04-13,43.7
2017-04-17,42.25
2017-04-18,43.0
2017-04-19,43.05
2017-04-20,42.3
2017-04-21,41.95
2017-04-24,42.7
2017-04-25,42.2
2017-04-26,41.35
2017-04-27,41.25
2017-04-28,40.95
2017-05-02,40.6
2017-05-03,40.6
2017-05-04,42.15
2017-05-05,41.35
2017-05-08,40.7
2017-05-09,40.5
2017-05-10,40.9
2017-05-11,41.35
2017-05-12,46.65
2017-05-15,43.65
2017-05-16,41.7
2017-05-17,43.6
2017-05-18,42.55
2017-05-19,41.95
2017-05-22,41.45
2017-05-23,40.0
2017-05-24,38.85
2017-05-25,39.8
2017-05-26,40.05
2017-05-29,38.95
2017-05-30,40.55
2017-05-31,39.75
2017-06-01,39.3
2017-06-02,39.3
2017-06-05,39.65
2017-06-06,38.85
2017-06-07,39.2
2017-06-08,39.4
2017-06-09,38.85
2017-06-12,38.6
2017-06-13,39.3
2017-06-14,39.05
2017-06-15,38.6
2017-06-16,38.65
2017-06-19,38.5
2017-06-20,38.35
2017-06-21,38.05
2017-06-22,38.05
2017-06-23,37.4
2017-06-27,37.25
2017-06-28,36.55
2017-06-29,36.4
2017-06-30,36.05
2017-07-03,35.65
2017-07-04,35.75
2017-07-05,36.6
2017-07-06,37.35
2017-07-07,37.5
2017-07-10,37.7
2017-07-11,38.2
2017-07-12,38.0
2017-07-13,37.85
2017-07-14,37.55
2017-07-17,37.1
2017-07-18,37.95
2017-07-19,37.9
2017-07-20,41.6
2017-07-21,40.35
2017-07-24,41.55
2017-07-25,38.55
2017-07-26,38.05
2017-07-27,37.65
2017-07-28,37.75
2017-07-31,36.55
2017-08-01,35.8
2017-08-02,36.3
2017-08-03,35.6
2017-08-04,35.7
2017-08-07,35.65
2017-08-08,34.75
2017-08-09,33.8
2017-08-10,33.75
2017-08-11,32.8
2017-08-14,33.7
2017-08-16,33.95
2017-08-17,34.6
2017-08-18,33.85
2017-08-21,33.0
2017-08-22,33.0
2017-08-23,32.6
2017-08-24,33.5
2017-08-28,34.55
2017-08-29,34.25
2017-08-30,34.25
2017-08-31,34.4
2017-09-01,34.5
2017-09-04,34.5
2017-09-05,34.6
2017-09-06,34.45
2017-09-07,34.4
2017-09-08,34.5
2017-09-11,34.5
2017-09-12,34.6
2017-09-13,34.3
2017-09-14,34.55
2017-09-15,33.9
2017-09-18,34.35
2017-09-19,33.85
2017-09-20,34.6
2017-09-21,37.05
2017-09-22,36.9
2017-09-25,35.8
2017-09-26,37.1
2017-09-27,35.6
2017-09-28,36.7
2017-09-29,37.1
2017-10-03,38.2
2017-10-04,37.95
2017-10-05,39.3
2017-10-06,40.05
2017-10-09,38.1
2017-10-10,38.25
2017-10-11,37.8
2017-10-12,37.75
2017-10-13,36.15
2017-10-16,37.05
2017-10-17,36.75
2017-10-18,36.75
2017-10-19,36.85
2017-10-23,36.95
2017-10-24,40.2
2017-10-25,38.3
2017-10-26,38.9
2017-10-27,38.7
2017-10-30,38.65
2017-10-31,38.75
2017-11-01,38.6
2017-11-02,40.8
2017-11-03,40.3
2017-11-06,39.65
2017-11-07,39.25
2017-11-08,39.95
2017-11-09,39.05
2017-11-10,38.75
2017-11-13,39.4
2017-11-14,38.8
2017-11-15,38.25
2017-11-16,38.1
2017-11-17,38.1
2017-11-20,38.7
2017-11-21,39.05
2017-11-22,38.8
2017-11-23,38.95
2017-11-24,39.55
2017-11-27,40.95
2017-11-28,40.0
2017-11-29,39.35
2017-11-30,41.75
2017-12-01,41.15
2017-12-04,39.8
2017-12-05,39.3
2017-12-06,38.65
2017-12-07,38.8
2017-12-08,38.9
2017-12-11,38.25
2017-12-12,38.4
2017-12-13,37.9
2017-12-14,37.65
2017-12-15,40.1
2017-12-18,39.15
2017-12-19,40.9
2017-12-20,40.1
2017-12-21,41.05
2017-12-22,43.25
2017-12-26,41.75
2017-12-27,41.9
2017-12-28,42.15
2017-12-29,41.7
